region,source,Rx1day (mm),Rx5day (mm),R20mm (days),R50mm (days),SDII (mm/d),wet-day freq
Kenya,CHIRPS (obs),39.62,87.78,4.42,0.33,9.31,0.42
Kenya,ERA5 (obs),33.35,81.18,3.54,0.19,7.62,0.41
Kenya,TAMSAT (obs),36.04,76.5,3.5,0.29,9.0,0.41
Kenya,GenCast,33.23,69.1,3.53,0.38,7.55,0.37
Kenya,GraphCast,31.3,67.35,2.38,0.1,5.78,0.47
Kenya,FourCastNet,16.5,39.23,0.77,0.0,4.38,0.37
Kenya,Climatology,32.82,68.69,2.54,0.15,8.24,0.31
Tanzania,CHIRPS (obs),36.71,84.0,4.59,0.36,9.22,0.48
Tanzania,ERA5 (obs),38.44,92.44,3.7,0.33,8.25,0.55
Tanzania,TAMSAT (obs),31.87,67.37,3.4,0.2,8.43,0.42
Tanzania,GenCast,36.98,87.95,4.07,0.49,8.07,0.49
Tanzania,GraphCast,33.7,78.42,3.17,0.16,6.53,0.56
Tanzania,FourCastNet,18.82,45.42,0.37,0.03,4.64,0.5
Tanzania,Climatology,40.33,89.0,3.97,0.32,8.94,0.45
