region,model,ref,bias (mm),RMSE (mm),raw corr,anom corr,skill vs clim
Domain,GenCast,CHIRPS,-24.3,184.7,0.643,0.197,-0.839
Domain,GraphCast,CHIRPS,-29.3,134.0,0.739,0.281,-0.334
Domain,FourCastNet,CHIRPS,-116.2,195.6,0.575,0.109,-0.947
Domain,Climatology,CHIRPS,-33.5,100.4,0.859,,0.0
Domain,GenCast,ERA5,-18.1,132.6,0.836,0.673,0.023
Domain,GraphCast,ERA5,-23.2,106.3,0.888,0.669,0.217
Domain,FourCastNet,ERA5,-110.0,187.4,0.73,0.366,-0.38
Domain,Climatology,ERA5,-27.4,135.8,0.81,,0.0
Domain,GenCast,TAMSAT,-12.2,192.8,0.585,0.041,-1.217
Domain,GraphCast,TAMSAT,-17.3,129.7,0.715,0.253,-0.491
Domain,FourCastNet,TAMSAT,-104.1,183.5,0.535,0.125,-1.11
Domain,Climatology,TAMSAT,-21.4,87.0,0.857,,0.0
Kenya,GenCast,CHIRPS,-83.6,159.9,0.752,0.362,0.098
Kenya,GraphCast,CHIRPS,-72.8,168.2,0.657,-0.051,0.051
Kenya,FourCastNet,CHIRPS,-193.7,234.8,0.726,0.284,-0.324
Kenya,Climatology,CHIRPS,-125.5,177.3,0.771,,0.0
Kenya,GenCast,ERA5,-45.8,141.2,0.808,0.367,0.059
Kenya,GraphCast,ERA5,-35.0,103.6,0.917,0.601,0.31
Kenya,FourCastNet,ERA5,-155.9,200.1,0.86,0.337,-0.334
Kenya,Climatology,ERA5,-87.7,150.0,0.922,,0.0
Kenya,GenCast,TAMSAT,-55.0,155.1,0.668,0.073,-0.135
Kenya,GraphCast,TAMSAT,-44.2,144.2,0.628,-0.214,-0.056
Kenya,FourCastNet,TAMSAT,-165.1,205.0,0.645,0.168,-0.501
Kenya,Climatology,TAMSAT,-96.9,136.6,0.748,,0.0
Tanzania,GenCast,CHIRPS,-17.1,323.2,0.304,0.053,-1.322
Tanzania,GraphCast,CHIRPS,-57.1,197.2,0.496,0.156,-0.417
Tanzania,FourCastNet,CHIRPS,-189.2,287.2,0.175,-0.223,-1.064
Tanzania,Climatology,CHIRPS,-82.3,139.2,0.826,,0.0
Tanzania,GenCast,ERA5,-31.5,209.5,0.808,0.815,-0.191
Tanzania,GraphCast,ERA5,-71.5,112.3,0.898,0.861,0.362
Tanzania,FourCastNet,ERA5,-203.6,244.1,0.71,0.622,-0.388
Tanzania,Climatology,ERA5,-96.7,175.9,0.637,,0.0
Tanzania,GenCast,TAMSAT,67.7,347.6,0.214,-0.002,-1.408
Tanzania,GraphCast,TAMSAT,27.7,180.4,0.564,0.367,-0.25
Tanzania,FourCastNet,TAMSAT,-104.3,249.4,0.128,-0.095,-0.728
Tanzania,Climatology,TAMSAT,2.5,144.3,0.647,,0.0
