model,obs,lead_day,threshold_mm_day,season,brier_score,event_rate,bss,reliability,resolution,uncertainty
gencast,CHIRPS,1,1,JF,0.10110250248569684,0.2787292991299512,0.4981334413508577,0.006928514232619791,0.10696437782239451,0.20082141708553747
gencast,CHIRPS,1,5,JF,0.09118364776738558,0.16289088138111732,0.33271759376511034,0.010391937676016849,0.05574109015526804,0.13629923192840374
gencast,CHIRPS,1,10,JF,0.07153966818786081,0.08781311631939735,0.10812064022066559,0.01109607637139871,0.01976366080681317,0.08016586303710938
gencast,CHIRPS,1,20,JF,0.030476714044138157,0.027236505695698222,-0.14965229245110812,0.006399956543885915,0.0024244770979175096,0.02656477479131973
gencast,CHIRPS,3,1,JF,0.10061663314818586,0.276446984119276,0.49811126246628434,0.006412634610175488,0.10594122434902542,0.19981196419060435
gencast,CHIRPS,3,5,JF,0.08852435800329031,0.16002297049862246,0.34306048072692463,0.00755697134894971,0.05365278854149933,0.1343664449337777
gencast,CHIRPS,3,10,JF,0.06631898375986021,0.08664522498073489,0.16329565524219747,0.006530190448409403,0.019463904080172904,0.07920427284228981
gencast,CHIRPS,3,20,JF,0.026452744749843347,0.026620177211663078,-0.020223543604913186,0.0028304014215825755,0.0023049895592036464,0.025980207655164927
gencast,CHIRPS,5,1,JF,0.10350418601722511,0.2744992437625747,0.4813077910139826,0.006848934330748379,0.1026015661565974,0.19894261762130358
gencast,CHIRPS,5,5,JF,0.08737599811894795,0.1584825579116871,0.3464383519001323,0.006542635915498283,0.05272997122146095,0.13332050291959904
gencast,CHIRPS,5,10,JF,0.06612519965645053,0.08536077133376395,0.15445183732444923,0.006749946711362251,0.018818857924882398,0.07814028905442923
gencast,CHIRPS,5,20,JF,0.025398833758707412,0.025355061889895718,-0.02697800457447541,0.002793513830687673,0.0021250083748508963,0.02477964795325413
gencast,CHIRPS,7,1,JF,0.10819976600434258,0.2735262383039796,0.45656956498359513,0.006522472368657069,0.09715258789262857,0.19850231481642433
gencast,CHIRPS,7,5,JF,0.0900390377366702,0.15689661237766245,0.3210905936169094,0.006177167682307088,0.0486384945557496,0.13224095541117836
gencast,CHIRPS,7,10,JF,0.0663212694453062,0.08482453132316585,0.14708342282359677,0.0052091370237762015,0.016637032015321233,0.07769668921324314
gencast,CHIRPS,7,20,JF,0.02484527010611976,0.024952059960613664,-0.020377356137891933,0.0020341589246858213,0.0015370328461735336,0.024396004817714128
gencast,ERA5,1,1,JF,0.06071366789764021,0.311865617549778,0.7178668044213045,0.004103057917556501,0.15801938630170606,0.2144079200155055
gencast,ERA5,1,5,JF,0.05726094484986569,0.18658093099729342,0.6238252397017046,0.003232801280951878,0.09785495771947529,0.15168055156564206
gencast,ERA5,1,10,JF,0.04954819830753068,0.1063378312002176,0.4798060847281327,0.0013111684740398596,0.04692902993822715,0.0950756209980856
gencast,ERA5,1,20,JF,0.020617953376755673,0.027662117567331848,0.23490927293367558,0.0015044234110923127,0.007840263107558396,0.026971432916805066
gencast,ERA5,3,1,JF,0.06229896921436494,0.31058023594688045,0.7098812561019285,0.0007491122886071047,0.1526108265281297,0.21392551632285595
