n,obs_mean,fc_mean,bias,mae,rmse,pooled_corr,model,obs,lead_day,season
30208,2.549874084455792,1.7541418059285228,-0.7957322785272695,2.1139159782940413,5.265910296380891,0.536227175381013,fourcastnet,CHIRPS,1,JF
30208,2.549874084455792,2.737303119419313,0.1874290349635206,2.2864844209718767,5.793319798703429,0.5632498846983097,gencast,CHIRPS,1,JF
30208,2.549874084455792,2.5839720231226417,0.034097938666849355,2.612114452930448,6.0494167260787455,0.4583355908926699,graphcast,CHIRPS,1,JF
30208,2.549874084455792,2.866970678081164,0.31709659362537146,2.39940467610505,5.324107458881242,0.5680653654743506,neuralgcm,CHIRPS,1,JF
29184,2.5234935777197856,1.8408226940498256,-0.68267088366996,2.1367109968894296,5.3119914665168695,0.5200673717582657,fourcastnet,CHIRPS,3,JF
29184,2.5234935777197856,2.7164997735550034,0.1930061958352177,2.2149066471199705,5.182624375241241,0.5944791354898672,gencast,CHIRPS,3,JF
29184,2.5234935777197856,2.4988582306012566,-0.024635347118529036,2.7411241866385923,5.873970041746954,0.39970978824324294,graphcast,CHIRPS,3,JF
29184,2.5234935777197856,2.7590227683680686,0.23552919064828287,2.3600290901419454,5.174644831433203,0.5730435432420885,neuralgcm,CHIRPS,3,JF
28160,2.473469784409706,1.586882201816402,-0.8865875825933041,2.106256877752072,5.265024652659604,0.49995478040753055,fourcastnet,CHIRPS,5,JF
28160,2.473469784409706,2.7829731485551292,0.30950336414542323,2.233495199406144,5.168138899429271,0.583036926060971,gencast,CHIRPS,5,JF
28160,2.473469784409706,2.4168419907381966,-0.0566277936715097,2.878249634690349,5.844418744026903,0.3261222770655559,graphcast,CHIRPS,5,JF
28160,2.473469784409706,2.5036429350820493,0.03017315067234312,2.1977906244311662,4.906356506245812,0.5866732196094148,neuralgcm,CHIRPS,5,JF
27136,2.4484662193234534,1.50882753852889,-0.9396386807945633,2.1169914352267645,5.306984656205871,0.47345220872490007,fourcastnet,CHIRPS,7,JF
27136,2.4484662193234534,2.6087353308360357,0.16026911151258252,2.2320560748635554,5.0508300557006445,0.564354672466496,gencast,CHIRPS,7,JF
27136,2.4484662193234534,2.901277914131896,0.4528116948084427,3.305301277722644,6.228146953672837,0.23511796548481176,graphcast,CHIRPS,7,JF
27136,2.4484662193234534,2.692421135654893,0.2439549163314401,2.2809231960728806,4.907033337994367,0.5824921603979843,neuralgcm,CHIRPS,7,JF
30208,2.889386453356043,1.7541418059285228,-1.13524464742752,1.7949640160922122,4.580815394672029,0.7223840759622016,fourcastnet,ERA5,1,JF
30208,2.889386453356043,2.737303119419313,-0.15208333393672993,1.5018029209980104,4.021695321860546,0.794958849406095,gencast,ERA5,1,JF
30208,2.889386453356043,2.5839720231226417,-0.30541443023340115,2.1557600801862566,5.025287044368124,0.6433028245858892,graphcast,ERA5,1,JF
30208,2.889386453356043,2.866970678081164,-0.02241577527487908,2.023176591291341,4.672133863975292,0.6838529748237132,neuralgcm,ERA5,1,JF
29184,2.8450011532249255,1.8408226940498256,-1.0041784591750995,1.8277512502569164,4.67612468282696,0.6927301506186229,fourcastnet,ERA5,3,JF
29184,2.8450011532249255,2.7164997735550034,-0.1285013796699222,1.6390897458305365,4.100582137418382,0.7594085176687537,gencast,ERA5,3,JF
