hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,observed_event_rate,forecast_event_rate,model,obs,lead_day,threshold_mm_day,season
6688,1717,2559,19244,0.7957168352171327,0.27673840164377633,0.6099963516964612,1.100178465199286,0.2782375529661017,0.3061109639830508,fourcastnet,CHIRPS,1,1,JF
2243,2675,1324,23966,0.45607970719804797,0.3711802635267732,0.3593399551425825,0.725294835298902,0.16280455508474576,0.1180813029661017,fourcastnet,CHIRPS,1,5,JF
616,2039,665,26888,0.232015065913371,0.5191256830601093,0.1855421686746988,0.4824858757062147,0.087890625,0.042405985169491525,fourcastnet,CHIRPS,1,10,JF
53,772,129,29254,0.06424242424242424,0.7087912087912088,0.05555555555555555,0.2206060606060606,0.027310646186440676,0.006024894067796611,fourcastnet,CHIRPS,1,20,JF
6893,1512,2246,19557,0.8201070791195717,0.2457599299704563,0.6471692798798235,1.0873289708506841,0.2782375529661017,0.3025357521186441,gencast,CHIRPS,1,1,JF
3333,1585,1995,23295,0.6777145180967873,0.3744369369369369,0.48213510776797336,1.0833672224481496,0.16280455508474576,0.1763771186440678,gencast,CHIRPS,1,5,JF
1300,1355,1587,25966,0.4896421845574388,0.5497055767232422,0.30645921735030646,1.087382297551789,0.087890625,0.0955707097457627,gencast,CHIRPS,1,10,JF
189,636,570,28813,0.2290909090909091,0.7509881422924901,0.13548387096774195,0.92,0.027310646186440676,0.025125794491525424,gencast,CHIRPS,1,20,JF
6784,1621,2925,18878,0.8071386079714455,0.30126686579462353,0.5987643424536628,1.155145746579417,0.2782375529661017,0.3214049258474576,graphcast,CHIRPS,1,1,JF
2552,2366,1975,23315,0.5189101260675071,0.4362712613209631,0.3702306687944291,0.9204961366409109,0.16280455508474576,0.14986096398305085,graphcast,CHIRPS,1,5,JF
911,1744,1380,26173,0.3431261770244821,0.6023570493234396,0.22577447335811648,0.8629001883239171,0.087890625,0.07584083686440678,graphcast,CHIRPS,1,10,JF
121,704,438,28945,0.14666666666666667,0.7835420393559929,0.0958036421219319,0.6775757575757576,0.027310646186440676,0.018505031779661018,graphcast,CHIRPS,1,20,JF
7473,932,3861,17942,0.8891136228435456,0.3406564319745897,0.609245067666721,1.348483045806068,0.2782375529661017,0.3751986228813559,neuralgcm,CHIRPS,1,1,JF
3379,1539,2686,22604,0.6870679137860919,0.44286892003297607,0.4443713834823777,1.2332248881659211,0.16280455508474576,0.20077462923728814,neuralgcm,CHIRPS,1,5,JF
1186,1469,1696,25857,0.44670433145009414,0.5884802220680083,0.27258101585842337,1.0854990583804143,0.087890625,0.0954051906779661,neuralgcm,CHIRPS,1,10,JF
135,690,353,29030,0.16363636363636364,0.7233606557377049,0.11460101867572156,0.5915151515151515,0.027310646186440676,0.01615466101694915,neuralgcm,CHIRPS,1,20,JF
6740,1314,2939,18191,0.836851254035262,0.3036470709784069,0.6131174383698718,1.2017630990812018,0.2759731359649123,0.33165433114035087,fourcastnet,CHIRPS,3,1,JF
2236,2432,1445,23071,0.47900599828620394,0.39255637055148057,0.3657778504825781,0.788560411311054,0.15995065789473684,0.12613075657894737,fourcastnet,CHIRPS,3,5,JF
585,1946,670,25983,0.23113393915448438,0.5338645418326693,0.18275538894095594,0.49585144211774,0.08672560307017543,0.043003015350877194,fourcastnet,CHIRPS,3,10,JF
45,734,125,28280,0.057766367137355584,0.7352941176470589,0.049778761061946904,0.21822849807445444,0.026692708333333332,0.005825109649122807,fourcastnet,CHIRPS,3,20,JF
6985,1069,2941,18189,0.8672709212813509,0.2962925649808584,0.6352887676216462,1.2324310901415445,0.2759731359649123,0.34011787280701755,gencast,CHIRPS,3,1,JF
3386,1282,2353,22163,0.7253641816623821,0.41000174246384385,0.48226748326449226,1.2294344473007712,0.15995065789473684,0.19664884868421054,gencast,CHIRPS,3,5,JF
1212,1319,1593,25060,0.4788621098380087,0.5679144385026738,0.2938894277400582,1.1082576056894509,0.08672560307017543,0.09611430921052631,gencast,CHIRPS,3,10,JF
128,651,316,28089,0.1643132220795892,0.7117117117117117,0.11689497716894977,0.5699614890885751,0.026692708333333332,0.015213815789473685,gencast,CHIRPS,3,20,JF
7023,1031,5160,15970,0.8719890737521728,0.42354099975375525,0.531481761767822,1.512664514526943,0.2759731359649123,0.4174547697368421,graphcast,CHIRPS,3,1,JF
2239,2429,2609,21907,0.4796486718080548,0.5381600660066007,0.30768173697952456,1.038560411311054,0.15995065789473684,0.16611842105263158,graphcast,CHIRPS,3,5,JF
499,2032,1178,25475,0.19715527459502172,0.7024448419797257,0.13453761121596117,0.6625839589095219,0.08672560307017543,0.057462993421052634,graphcast,CHIRPS,3,10,JF
38,741,148,28257,0.04878048780487805,0.7956989247311828,0.040992448759439054,0.23876765083440307,0.026692708333333332,0.006373355263157895,graphcast,CHIRPS,3,20,JF
7184,870,4110,17020,0.8919791407996027,0.36391004072959093,0.5905951989477146,1.402284579091135,0.2759731359649123,0.38699287280701755,neuralgcm,CHIRPS,3,1,JF
3260,1408,2813,21703,0.6983718937446444,0.4631977605796147,0.43577061890121643,1.3009854327335046,0.15995065789473684,0.20809347587719298,neuralgcm,CHIRPS,3,5,JF
995,1536,1515,25138,0.3931252469379692,0.603585657370518,0.24592189817103313,0.99170288423548,0.08672560307017543,0.08600603070175439,neuralgcm,CHIRPS,3,10,JF
104,675,189,28216,0.13350449293966624,0.6450511945392492,0.10743801652892562,0.3761232349165597,0.026692708333333332,0.010039747807017545,neuralgcm,CHIRPS,3,20,JF
6336,1381,2857,17586,0.8210444473240897,0.3107799412596541,0.5992055986381691,1.1912660360243619,0.2740411931818182,0.32645596590909093,fourcastnet,CHIRPS,5,1,JF
1733,2728,1113,22586,0.3884779197489352,0.3910751932536894,0.31090778614998205,0.6379735485317194,0.15841619318181818,0.1010653409090909,fourcastnet,CHIRPS,5,5,JF
369,2037,403,25351,0.15336658354114713,0.522020725388601,0.1313634745461018,0.32086450540315875,0.0854403409090909,0.02741477272727273,fourcastnet,CHIRPS,5,10,JF
29,687,85,27359,0.040502793296089384,0.7456140350877193,0.03620474406991261,0.15921787709497207,0.025426136363636363,0.004048295454545455,fourcastnet,CHIRPS,5,20,JF
