nominal_coverage,empirical_coverage,mean_width,model,obs,lead_day,season
0.5,0.31251708353711255,1.696981026693755,gencast,CHIRPS,1,JF
0.8,0.4467872003324782,3.1688226264949857,gencast,CHIRPS,1,JF
0.9,0.47995012340150317,4.031556432223397,gencast,CHIRPS,1,JF
0.5,0.31402012031431037,2.003975810849486,gencast,CHIRPS,3,JF
0.8,0.46636278398366215,3.8339721647054508,gencast,CHIRPS,3,JF
0.9,0.5032634807419138,4.946426030818429,gencast,CHIRPS,3,JF
0.5,0.3189573437115322,2.1906630254811064,gencast,CHIRPS,5,JF
0.8,0.4814672859935025,4.1095930960938,gencast,CHIRPS,5,JF
0.9,0.5213164239540267,5.359969713310002,gencast,CHIRPS,5,JF
0.5,0.3286354646273334,2.2562665444433967,gencast,CHIRPS,7,JF
0.8,0.49710063922703024,4.265850524674844,gencast,CHIRPS,7,JF
0.9,0.5313558309553755,5.454446162577264,gencast,CHIRPS,7,JF
0.5,0.3763615932739224,1.696981026693755,gencast,ERA5,1,JF
0.8,0.5916543697805043,3.1688226264949857,gencast,ERA5,1,JF
0.9,0.6592931340369503,4.031556432223397,gencast,ERA5,1,JF
0.5,0.3990292390160791,2.003975810849486,gencast,ERA5,3,JF
0.8,0.6214938804824561,3.8339721647054508,gencast,ERA5,3,JF
0.9,0.6893236733636998,4.946426030818429,gencast,ERA5,3,JF
0.5,0.40027835113361954,2.1906630254811064,gencast,ERA5,5,JF
0.8,0.6243749842318794,4.1095930960938,gencast,ERA5,5,JF
0.9,0.6873329884862609,5.359969713310002,gencast,ERA5,5,JF
0.5,0.41049750600954105,2.2562665444433967,gencast,ERA5,7,JF
0.8,0.6364047298882548,4.265850524674844,gencast,ERA5,7,JF
0.9,0.6967997195855088,5.454446162577264,gencast,ERA5,7,JF
0.5,0.31378589878770596,1.5425893224739047,neuralgcm,CHIRPS,1,JF
0.8,0.4868966747294385,2.8655388051819255,neuralgcm,CHIRPS,1,JF
0.9,0.5288365777763162,3.6524660354423664,neuralgcm,CHIRPS,1,JF
0.5,0.3954373279585134,2.1032450006531156,neuralgcm,CHIRPS,3,JF
0.8,0.5831573643976217,3.7423523573692052,neuralgcm,CHIRPS,3,JF
0.9,0.6186632489509742,4.619776830075166,neuralgcm,CHIRPS,3,JF
0.5,0.39257994918544203,1.793444807399007,neuralgcm,CHIRPS,5,JF
0.8,0.5853015106280095,3.3218429347188434,neuralgcm,CHIRPS,5,JF
0.9,0.6215644174521585,4.127907467306383,neuralgcm,CHIRPS,5,JF
0.5,0.38765626431879735,2.0129043091286967,neuralgcm,CHIRPS,7,JF
0.8,0.57038628425262,3.701610983814368,neuralgcm,CHIRPS,7,JF
0.9,0.6085895565245093,4.634073905503467,neuralgcm,CHIRPS,7,JF
0.5,0.35427395158661784,1.5425893224739047,neuralgcm,ERA5,1,JF
0.8,0.5575715662162435,2.8655388051819255,neuralgcm,ERA5,1,JF
0.9,0.6219731298565936,3.6524660354423664,neuralgcm,ERA5,1,JF
0.5,0.4335923645255978,2.1032450006531156,neuralgcm,ERA5,3,JF
0.8,0.6483763957653825,3.7423523573692052,neuralgcm,ERA5,3,JF
0.9,0.6992344026154341,4.619776830075166,neuralgcm,ERA5,3,JF
0.5,0.41590773426409317,1.793444807399007,neuralgcm,ERA5,5,JF
0.8,0.6329837987448635,3.3218429347188434,neuralgcm,ERA5,5,JF
0.9,0.6888082388077431,4.127907467306383,neuralgcm,ERA5,5,JF
0.5,0.4168282146781847,2.0129043091286967,neuralgcm,ERA5,7,JF
0.8,0.6331826105101815,3.701610983814368,neuralgcm,ERA5,7,JF
0.9,0.6910488416991917,4.634073905503467,neuralgcm,ERA5,7,JF
