model,obs,lead_day,season,n,mean_crps,rmse_ensemble_mean,mean_ensemble_spread,spread_skill_ratio
gencast,CHIRPS,1,JF,30208,1.6628788526868363,5.793319798703429,3.569552121124245,0.6161496767230297
gencast,CHIRPS,3,JF,29184,1.5034902342166634,5.182624375241241,4.110787062103046,0.7931863790363345
gencast,CHIRPS,5,JF,28160,1.4763051603060018,5.168138899429271,4.64530692998189,0.898835542228728
gencast,CHIRPS,7,JF,27136,1.4708050009945395,5.0508300557006445,4.452978517548317,0.8816330124832532
gencast,ERA5,1,JF,30208,1.0492035717140413,4.021695321860546,3.569552121124245,0.8875739794910354
gencast,ERA5,3,JF,29184,1.1043090694693647,4.100582137418382,4.110787062103046,1.0024886526699568
gencast,ERA5,5,JF,28160,1.1143455681737682,4.161349800579014,4.64530692998189,1.1162981130150458
gencast,ERA5,7,JF,27136,1.2152795533518561,4.427658225247656,4.452978517548317,1.0057186645880385
neuralgcm,CHIRPS,1,JF,30208,1.8009586477656798,5.324107458881242,2.494855994160738,0.4685961005537224
neuralgcm,CHIRPS,3,JF,29184,1.6248201378526175,5.174644831433203,3.1975458113855257,0.6179256578078833
neuralgcm,CHIRPS,5,JF,28160,1.548549311213245,4.906356506245812,2.8913386293548857,0.5893046348495466
neuralgcm,CHIRPS,7,JF,27136,1.565161227699896,4.907033337994367,3.250229075379206,0.6623613192543868
neuralgcm,ERA5,1,JF,30208,1.492608427480455,4.672133863975292,2.494855994160738,0.5339864110909669
neuralgcm,ERA5,3,JF,29184,1.3920884895212506,4.651739535323195,3.1975458113855257,0.6873871133808798
neuralgcm,ERA5,5,JF,28160,1.3782068105205563,4.6045774751227135,2.8913386293548857,0.6279270237010901
neuralgcm,ERA5,7,JF,27136,1.403503782665193,4.633816930439917,3.250229075379206,0.7014150805199466
