model,obs,lead_day,season,n,delta_flatness
gencast,CHIRPS,1,JF,30208,1.0278371710310126
gencast,CHIRPS,3,JF,29184,1.0056909926097848
gencast,CHIRPS,5,JF,28160,0.9686541145728835
gencast,CHIRPS,7,JF,27136,0.9286312884034195
gencast,ERA5,1,JF,30208,0.3455966029408032
gencast,ERA5,3,JF,29184,0.3032655106840831
gencast,ERA5,5,JF,28160,0.29359851819813265
gencast,ERA5,7,JF,27136,0.24982477486424756
gencast,TAMSAT,1,JF,30149,1.1658468474380044
gencast,TAMSAT,3,JF,29127,1.1451168346316867
gencast,TAMSAT,5,JF,28105,1.1146462698801174
gencast,TAMSAT,7,JF,27083,1.071051641271698
neuralgcm,CHIRPS,1,JF,30208,0.9066526256603675
neuralgcm,CHIRPS,3,JF,29184,0.7782176807095125
neuralgcm,CHIRPS,5,JF,28160,0.7191701657585055
neuralgcm,CHIRPS,7,JF,27136,0.7545137617629601
neuralgcm,ERA5,1,JF,30208,0.46347840854458944
neuralgcm,ERA5,3,JF,29184,0.32771845899107793
neuralgcm,ERA5,5,JF,28160,0.260118123144623
neuralgcm,ERA5,7,JF,27136,0.2650343218236426
neuralgcm,TAMSAT,1,JF,30149,1.0257404065857127
neuralgcm,TAMSAT,3,JF,29127,0.8952774309935372
neuralgcm,TAMSAT,5,JF,28105,0.8400510533815108
neuralgcm,TAMSAT,7,JF,27083,0.8744402872256007
