model,obs,lead_day,threshold_mm_day,season,forecast_probability,observed_frequency,count,abs_calibration_gap,weighted_abs_gap,ece
gencast,CHIRPS,1,1,JF,0.0,0.04182171618994724,18005,0.04182171618994724,0.024927171610169493,0.07050781250000002
gencast,CHIRPS,1,1,JF,0.1,0.21286173633440514,1555,0.11286173633440513,0.005809719279661016,0.07050781250000002
gencast,CHIRPS,1,1,JF,0.2,0.28600823045267487,972,0.08600823045267486,0.0027674788135593205,0.07050781250000002
gencast,CHIRPS,1,1,JF,0.3,0.3541963015647226,703,0.054196301564722604,0.0012612552966101691,0.07050781250000002
gencast,CHIRPS,1,1,JF,0.4,0.47254575707154745,601,0.07254575707154742,0.0014433262711864407,0.07050781250000002
gencast,CHIRPS,1,1,JF,0.5,0.49903660886319845,519,0.0009633911368015502,1.655190677966117e-05,0.07050781250000002
gencast,CHIRPS,1,1,JF,0.6,0.6235059760956175,502,0.023505976095617553,0.0003906250000000004,0.07050781250000002
gencast,CHIRPS,1,1,JF,0.7,0.6115384615384616,520,0.08846153846153837,0.0015227754237288119,0.07050781250000002
gencast,CHIRPS,1,1,JF,0.8,0.6944444444444444,684,0.10555555555555562,0.002390095338983052,0.07050781250000002
gencast,CHIRPS,1,1,JF,0.9,0.7396265560165975,964,0.16037344398340247,0.005117849576271186,0.07050781250000002
gencast,CHIRPS,1,1,JF,1.0,0.8551032220721589,5183,0.14489677792784106,0.024860963983050856,0.07050781250000002
gencast,CHIRPS,1,5,JF,0.0,0.027845916235123103,22014,0.027845916235123103,0.020292637711864406,0.0662407309322034
gencast,CHIRPS,1,5,JF,0.1,0.27371956339210746,1191,0.17371956339210745,0.006849179025423728,0.0662407309322034
gencast,CHIRPS,1,5,JF,0.2,0.34516523867809057,817,0.14516523867809056,0.0039261122881355925,0.0662407309322034
gencast,CHIRPS,1,5,JF,0.3,0.40036563071297987,547,0.10036563071297988,0.0018173993644067794,0.0662407309322034
gencast,CHIRPS,1,5,JF,0.4,0.4764309764309764,594,0.0764309764309764,0.0015029131355932198,0.0662407309322034
gencast,CHIRPS,1,5,JF,0.5,0.45993031358885017,574,0.04006968641114983,0.0007613877118644069,0.0662407309322034
gencast,CHIRPS,1,5,JF,0.6,0.5701754385964912,570,0.029824561403508754,0.0005627648305084742,0.0662407309322034
gencast,CHIRPS,1,5,JF,0.7,0.5982142857142857,560,0.10178571428571426,0.0018869173728813552,0.0662407309322034
gencast,CHIRPS,1,5,JF,0.8,0.6059113300492611,609,0.19408866995073892,0.003912870762711865,0.0662407309322034
gencast,CHIRPS,1,5,JF,0.9,0.6421686746987951,830,0.2578313253012049,0.007084216101694917,0.0662407309322034
gencast,CHIRPS,1,5,JF,1.0,0.7197686645636172,1902,0.2802313354363828,0.017644332627118644,0.0662407309322034
gencast,CHIRPS,1,10,JF,0.0,0.02249471809105597,24139,0.02249471809105597,0.017975370762711867,0.054038665254237284
gencast,CHIRPS,1,10,JF,0.1,0.21428571428571427,1274,0.11428571428571427,0.004819915254237288,0.054038665254237284
gencast,CHIRPS,1,10,JF,0.2,0.2512690355329949,788,0.05126903553299489,0.0013373940677966093,0.054038665254237284
gencast,CHIRPS,1,10,JF,0.3,0.2621776504297994,698,0.037822349570200586,0.000873940677966102,0.054038665254237284
gencast,CHIRPS,1,10,JF,0.4,0.342911877394636,522,0.057088122605364,0.0009864936440677969,0.054038665254237284
gencast,CHIRPS,1,10,JF,0.5,0.36738703339882123,509,0.13261296660117877,0.002234507415254237,0.054038665254237284
gencast,CHIRPS,1,10,JF,0.6,0.41586538461538464,416,0.18413461538461534,0.0025357521186440673,0.054038665254237284
gencast,CHIRPS,1,10,JF,0.7,0.4630541871921182,406,0.23694581280788174,0.0031845868644067793,0.054038665254237284
