model,truth,lead_day,season,spread_fortin,rmse_ens_mean,ssr
gencast,CHIRPS,1,JF,3.5696,5.7933,0.6161
gencast,CHIRPS,3,JF,4.1108,5.1826,0.7932
gencast,CHIRPS,5,JF,4.6453,5.1681,0.8988
gencast,CHIRPS,7,JF,4.453,5.0508,0.8816
neuralgcm,CHIRPS,1,JF,2.4949,5.3241,0.4686
neuralgcm,CHIRPS,3,JF,3.1975,5.1746,0.6179
neuralgcm,CHIRPS,5,JF,2.8913,4.9064,0.5893
neuralgcm,CHIRPS,7,JF,3.2502,4.907,0.6624
gencast,TAMSAT,1,JF,3.573,5.618,0.636
gencast,TAMSAT,3,JF,4.1147,4.5714,0.9001
gencast,TAMSAT,5,JF,4.6497,4.6361,1.0029
gencast,TAMSAT,7,JF,4.4572,4.3362,1.0279
neuralgcm,TAMSAT,1,JF,2.4971,4.6709,0.5346
neuralgcm,TAMSAT,3,JF,3.2005,4.3993,0.7275
neuralgcm,TAMSAT,5,JF,2.894,4.0161,0.7206
neuralgcm,TAMSAT,7,JF,3.2531,4.1577,0.7824
