model,vs,season,bias (mm/d),MAE (mm/d),RMSE (mm/d)
fourcastnet,CHIRPS,JF,-0.796,2.114,5.266
fourcastnet,ERA5,JF,-1.135,1.795,4.581
fourcastnet,TAMSAT,JF,-0.283,1.86,4.296
gencast,CHIRPS,JF,0.187,2.286,5.793
gencast,ERA5,JF,-0.152,1.502,4.022
gencast,TAMSAT,JF,0.702,2.231,5.618
graphcast,CHIRPS,JF,0.034,2.612,6.049
graphcast,ERA5,JF,-0.305,2.156,5.025
graphcast,TAMSAT,JF,0.548,2.381,5.34
neuralgcm,CHIRPS,JF,0.317,2.399,5.324
neuralgcm,ERA5,JF,-0.022,2.023,4.672
neuralgcm,TAMSAT,JF,0.832,2.215,4.671
