model,truth,lead_day,season,acc
fourcastnet,CHIRPS,1,JJAS,0.4122
fourcastnet,CHIRPS,3,JJAS,0.4046
fourcastnet,CHIRPS,5,JJAS,0.3945
fourcastnet,CHIRPS,7,JJAS,0.3916
gencast,CHIRPS,1,JJAS,0.424
gencast,CHIRPS,3,JJAS,0.4729
gencast,CHIRPS,5,JJAS,0.4732
gencast,CHIRPS,7,JJAS,0.456
graphcast,CHIRPS,1,JJAS,0.3317
graphcast,CHIRPS,3,JJAS,0.3378
graphcast,CHIRPS,5,JJAS,0.3225
graphcast,CHIRPS,7,JJAS,0.2783
neuralgcm,CHIRPS,1,JJAS,0.3636
neuralgcm,CHIRPS,3,JJAS,0.4574
neuralgcm,CHIRPS,5,JJAS,0.4814
neuralgcm,CHIRPS,7,JJAS,0.4814
fourcastnet,TAMSAT,1,JJAS,0.3148
fourcastnet,TAMSAT,3,JJAS,0.3253
fourcastnet,TAMSAT,5,JJAS,0.3257
fourcastnet,TAMSAT,7,JJAS,0.3269
gencast,TAMSAT,1,JJAS,0.3294
gencast,TAMSAT,3,JJAS,0.4006
gencast,TAMSAT,5,JJAS,0.4063
gencast,TAMSAT,7,JJAS,0.395
graphcast,TAMSAT,1,JJAS,0.2594
graphcast,TAMSAT,3,JJAS,0.2827
graphcast,TAMSAT,5,JJAS,0.2745
graphcast,TAMSAT,7,JJAS,0.2262
neuralgcm,TAMSAT,1,JJAS,0.2536
neuralgcm,TAMSAT,3,JJAS,0.3609
neuralgcm,TAMSAT,5,JJAS,0.3902
neuralgcm,TAMSAT,7,JJAS,0.3876
