model,obs,lead_day,season,crps_model,crps_climatology,crpss
fourcastnet,CHIRPS,1,JJAS,1.8732,1.1714,-0.5991
gencast,CHIRPS,1,JJAS,1.5608,1.1714,-0.3324
graphcast,CHIRPS,1,JJAS,2.2476,1.1714,-0.9188
neuralgcm,CHIRPS,1,JJAS,1.6419,1.1714,-0.4017
fourcastnet,CHIRPS,3,JJAS,1.8888,1.1714,-0.6125
gencast,CHIRPS,3,JJAS,1.3758,1.1714,-0.1745
graphcast,CHIRPS,3,JJAS,2.1835,1.1714,-0.8641
neuralgcm,CHIRPS,3,JJAS,1.4301,1.1714,-0.2209
fourcastnet,CHIRPS,5,JJAS,1.897,1.1714,-0.6195
gencast,CHIRPS,5,JJAS,1.3863,1.1714,-0.1835
graphcast,CHIRPS,5,JJAS,2.3748,1.1714,-1.0274
neuralgcm,CHIRPS,5,JJAS,1.3382,1.1714,-0.1424
fourcastnet,CHIRPS,7,JJAS,1.9115,1.1714,-0.6319
gencast,CHIRPS,7,JJAS,1.3784,1.1714,-0.1767
graphcast,CHIRPS,7,JJAS,2.5472,1.1714,-1.1746
neuralgcm,CHIRPS,7,JJAS,1.3033,1.1714,-0.1126
