hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,observed_event_rate,forecast_event_rate,model,obs,lead_day,threshold_mm_day,season
11178,8044,4392,38850,0.5815211736551867,0.28208092485549136,0.4733632590835945,0.8100093642701072,0.30772925204918034,0.24926357581967212,fourcastnet,CHIRPS,1,1,JJAS
2631,6505,2441,50887,0.2879816112084063,0.4812697160883281,0.22726094843223632,0.5551663747810858,0.14626024590163936,0.08119877049180328,fourcastnet,CHIRPS,1,5,JJAS
628,3218,1261,57357,0.16328653146125846,0.6675489677077819,0.12296847464264735,0.4911596463858554,0.06157146516393443,0.03024141905737705,fourcastnet,CHIRPS,1,10,JJAS
34,629,231,61570,0.05128205128205128,0.8716981132075472,0.03803131991051454,0.3996983408748115,0.010614113729508197,0.004242443647540984,fourcastnet,CHIRPS,1,20,JJAS
13152,6070,5321,37921,0.6842160024971387,0.2880420072538299,0.5358758098032026,0.961034231609614,0.30772925204918034,0.29573834528688525,gencast,CHIRPS,1,1,JJAS
3989,5147,3850,49478,0.4366243432574431,0.49113407322362546,0.30717695980286464,0.8580341506129597,0.14626024590163936,0.12549628586065573,gencast,CHIRPS,1,5,JJAS
1062,2784,2406,56212,0.27613104524180965,0.6937716262975778,0.16986564299424184,0.9017160686427457,0.06157146516393443,0.05551997950819672,gencast,CHIRPS,1,10,JJAS
62,601,551,61250,0.09351432880844646,0.8988580750407831,0.051070840197693576,0.9245852187028658,0.010614113729508197,0.009813652663934426,gencast,CHIRPS,1,20,JJAS
13526,5696,7579,35663,0.7036728748309229,0.3591092158256337,0.5046826610947353,1.09796067006555,0.30772925204918034,0.33787461577868855,graphcast,CHIRPS,1,1,JJAS
3122,6014,4078,49250,0.34172504378283713,0.5663888888888889,0.23626456788254882,0.7880910683012259,0.14626024590163936,0.11526639344262295,graphcast,CHIRPS,1,5,JJAS
615,3231,2214,56404,0.15990639625585024,0.782608695652174,0.10148514851485149,0.7355694227769111,0.06157146516393443,0.04529008709016393,graphcast,CHIRPS,1,10,JJAS
23,640,408,61393,0.03469079939668175,0.9466357308584686,0.021475256769374416,0.6500754147812972,0.010614113729508197,0.006899974385245902,graphcast,CHIRPS,1,20,JJAS
14627,4595,8657,34585,0.7609509936531058,0.3718003779419344,0.5246601384554683,1.2113203620851107,0.30772925204918034,0.37275870901639346,neuralgcm,CHIRPS,1,1,JJAS
3332,5804,4673,48655,0.36471103327495624,0.5837601499063085,0.24129191107248896,0.8762040280210157,0.14626024590163936,0.12815381659836064,neuralgcm,CHIRPS,1,5,JJAS
258,3588,1585,57033,0.06708268330733229,0.8600108518719479,0.047505063524212854,0.4791991679667187,0.06157146516393443,0.02950499487704918,neuralgcm,CHIRPS,1,10,JJAS
5,658,99,61702,0.007541478129713424,0.9519230769230769,0.006561679790026247,0.1568627450980392,0.010614113729508197,0.0016649590163934425,neuralgcm,CHIRPS,1,20,JJAS
11273,7949,4585,38657,0.5864634273228593,0.28912851557573466,0.4735161927164279,0.8249921964415774,0.30772925204918034,0.25387423155737704,fourcastnet,CHIRPS,3,1,JJAS
2758,6378,2536,50792,0.3018826619964974,0.47903286739705325,0.23629198080877314,0.5794658493870403,0.14626024590163936,0.08475281762295082,fourcastnet,CHIRPS,3,5,JJAS
608,3238,1345,57273,0.1580863234529381,0.68868407578085,0.11712579464457715,0.5078003120124805,0.06157146516393443,0.031266009221311473,fourcastnet,CHIRPS,3,10,JJAS
33,630,258,61543,0.049773755656108594,0.8865979381443299,0.035830618892508145,0.43891402714932126,0.010614113729508197,0.0046586834016393444,fourcastnet,CHIRPS,3,20,JJAS
14655,4567,6952,36290,0.7624076578919987,0.32174758180219376,0.5599067777183464,1.1240765789199876,0.30772925204918034,0.34591124487704916,gencast,CHIRPS,3,1,JJAS
4253,4883,4228,49100,0.46552101576182137,0.49852611720316,0.3182430410056869,0.9283056042031523,0.14626024590163936,0.13577420594262296,gencast,CHIRPS,3,5,JJAS
880,2966,1962,56656,0.22880915236609464,0.6903589021815623,0.15151515151515152,0.7389495579823193,0.06157146516393443,0.045498206967213115,gencast,CHIRPS,3,10,JJAS
36,627,305,61496,0.05429864253393665,0.8944281524926686,0.0371900826446281,0.5143288084464555,0.010614113729508197,0.0054591444672131145,gencast,CHIRPS,3,20,JJAS
13072,6150,9638,33604,0.6800541046717303,0.4243945398502862,0.45294525294525295,1.1814587451878056,0.30772925204918034,0.36356941598360654,graphcast,CHIRPS,3,1,JJAS
2418,6718,3229,50099,0.26466725043782835,0.5718080396670798,0.19555196118075213,0.6181042031523643,0.14626024590163936,0.09040407274590163,graphcast,CHIRPS,3,5,JJAS
477,3369,1459,57159,0.12402496099843993,0.7536157024793388,0.08991517436380773,0.5033801352054083,0.06157146516393443,0.030993852459016393,graphcast,CHIRPS,3,10,JJAS
17,646,183,61618,0.02564102564102564,0.915,0.02009456264775414,0.30165912518853694,0.010614113729508197,0.003201844262295082,graphcast,CHIRPS,3,20,JJAS
15559,3663,8679,34563,0.8094371033191136,0.35807409852298044,0.5576502634314182,1.2609509936531058,0.30772925204918034,0.388031506147541,neuralgcm,CHIRPS,3,1,JJAS
4578,4558,5564,47764,0.5010945709281961,0.54860974166831,0.31142857142857144,1.1101138353765323,0.14626024590163936,0.1623655225409836,neuralgcm,CHIRPS,3,5,JJAS
465,3381,1788,56830,0.12090483619344773,0.7936085219707057,0.0825346112886049,0.5858034321372855,0.06157146516393443,0.0360687756147541,neuralgcm,CHIRPS,3,10,JJAS
0,663,10,61791,0.0,1.0,0.0,0.015082956259426848,0.010614113729508197,0.00016009221311475409,neuralgcm,CHIRPS,3,20,JJAS
10881,8341,4598,38644,0.5660701279783581,0.29704761289488985,0.4568010075566751,0.8052752054937051,0.30772925204918034,0.24780673668032788,fourcastnet,CHIRPS,5,1,JJAS
2702,6434,2533,50795,0.295753064798599,0.48385864374403054,0.23155368926214756,0.573007880910683,0.14626024590163936,0.08380827356557377,fourcastnet,CHIRPS,5,5,JJAS
615,3231,1333,57285,0.15990639625585024,0.6842915811088296,0.1187487932033211,0.5065002600104004,0.06157146516393443,0.0311859631147541,fourcastnet,CHIRPS,5,10,JJAS
29,634,236,61565,0.043740573152337855,0.8905660377358491,0.03225806451612903,0.3996983408748115,0.010614113729508197,0.004242443647540984,fourcastnet,CHIRPS,5,20,JJAS
14721,4501,7105,36137,0.7658412235979607,0.32552918537524056,0.5591597979260835,1.135469774217043,0.30772925204918034,0.3494172643442623,gencast,CHIRPS,5,1,JJAS
4802,4334,5085,48243,0.5256129597197898,0.5143117224638414,0.337669643484987,1.0822022767075306,0.14626024590163936,0.15828317110655737,gencast,CHIRPS,5,5,JJAS
