model,truth,lead_day,season,spread_fortin,rmse_ens_mean,ssr
gencast,CHIRPS,1,JJAS,2.5167,4.8102,0.5232
gencast,CHIRPS,3,JJAS,2.9991,4.1974,0.7145
gencast,CHIRPS,5,JJAS,3.3321,4.2594,0.7823
gencast,CHIRPS,7,JJAS,3.7136,4.3922,0.8455
neuralgcm,CHIRPS,1,JJAS,1.6745,4.312,0.3883
neuralgcm,CHIRPS,3,JJAS,2.3609,4.064,0.5809
neuralgcm,CHIRPS,5,JJAS,2.4259,3.9158,0.6195
neuralgcm,CHIRPS,7,JJAS,2.4702,3.8598,0.64
gencast,TAMSAT,1,JJAS,2.5191,5.1959,0.4848
gencast,TAMSAT,3,JJAS,3.002,4.4998,0.6671
gencast,TAMSAT,5,JJAS,3.3353,4.54,0.7347
gencast,TAMSAT,7,JJAS,3.7172,4.6501,0.7994
neuralgcm,TAMSAT,1,JJAS,1.6761,4.6826,0.3579
neuralgcm,TAMSAT,3,JJAS,2.3631,4.4309,0.5333
neuralgcm,TAMSAT,5,JJAS,2.4282,4.2697,0.5687
neuralgcm,TAMSAT,7,JJAS,2.4725,4.2152,0.5866
