model,truth,lead_day,season,acc
fourcastnet,CHIRPS,1,MAM,0.3748
fourcastnet,CHIRPS,3,MAM,0.3629
fourcastnet,CHIRPS,5,MAM,0.3729
fourcastnet,CHIRPS,7,MAM,0.3104
gencast,CHIRPS,1,MAM,0.3958
gencast,CHIRPS,3,MAM,0.4558
gencast,CHIRPS,5,MAM,0.4305
gencast,CHIRPS,7,MAM,0.4072
graphcast,CHIRPS,1,MAM,0.3206
graphcast,CHIRPS,3,MAM,0.2504
graphcast,CHIRPS,5,MAM,0.2001
graphcast,CHIRPS,7,MAM,0.1179
neuralgcm,CHIRPS,1,MAM,0.3689
neuralgcm,CHIRPS,3,MAM,0.3783
neuralgcm,CHIRPS,5,MAM,0.3759
neuralgcm,CHIRPS,7,MAM,0.3643
fourcastnet,TAMSAT,1,MAM,0.3082
fourcastnet,TAMSAT,3,MAM,0.3081
fourcastnet,TAMSAT,5,MAM,0.3357
fourcastnet,TAMSAT,7,MAM,0.2856
gencast,TAMSAT,1,MAM,0.3216
gencast,TAMSAT,3,MAM,0.4097
gencast,TAMSAT,5,MAM,0.3981
gencast,TAMSAT,7,MAM,0.378
graphcast,TAMSAT,1,MAM,0.2915
graphcast,TAMSAT,3,MAM,0.2322
graphcast,TAMSAT,5,MAM,0.2083
graphcast,TAMSAT,7,MAM,0.1291
neuralgcm,TAMSAT,1,MAM,0.3167
neuralgcm,TAMSAT,3,MAM,0.3235
neuralgcm,TAMSAT,5,MAM,0.337
neuralgcm,TAMSAT,7,MAM,0.3386
