model,obs,lead_day,threshold_mm_day,season,brier_score,event_rate,bss,reliability,resolution,uncertainty
gencast,CHIRPS,1,1,MAM,0.18025303194194595,0.3711840232263926,0.22811181465871344,0.022749950542600157,0.07591969131683055,0.23308630836933908
gencast,CHIRPS,1,5,MAM,0.13211741546719588,0.18705188439926163,0.13170668339393843,0.01773021019264881,0.03769509693190732,0.15158598048925853
gencast,CHIRPS,1,10,MAM,0.08354658107766516,0.09218169549624565,0.0021504432716230593,0.013188822396041109,0.013368142570981248,0.08338754028363579
gencast,CHIRPS,1,20,MAM,0.029678864708972793,0.025895219526805943,-0.17603842444287876,0.006211967533562337,0.0017883581767632742,0.025128657966570503
gencast,CHIRPS,3,1,MAM,0.16979050267442353,0.3711840232263926,0.272797733895903,0.014869846538234692,0.07845526326355204,0.23308630836933908
gencast,CHIRPS,3,5,MAM,0.12157011818033221,0.18705188439926163,0.20089839566405088,0.009050021068929142,0.03950340135438331,0.15158598048925853
gencast,CHIRPS,3,10,MAM,0.07600135594157793,0.09218169549624565,0.09213012629636896,0.0056981260466718526,0.013380630664546775,0.08338754028363579
gencast,CHIRPS,3,20,MAM,0.02548983387523314,0.025895219526805943,-0.010239166670477973,0.002138789999197431,0.001881493482072281,0.025128657966570503
gencast,CHIRPS,5,1,MAM,0.1720929874632645,0.3711840232263926,0.26286267199383473,0.014087415585648824,0.07535710540879224,0.23308630836933908
gencast,CHIRPS,5,5,MAM,0.12291491072199053,0.18705188439926163,0.1921340654264968,0.008288129403439207,0.037412960096502065,0.15158598048925853
gencast,CHIRPS,5,10,MAM,0.07705811465446365,0.09218169549624565,0.07961958213250053,0.005728932874611134,0.012368213987051277,0.08338754028363579
gencast,CHIRPS,5,20,MAM,0.025940271169361897,0.025895219526805943,-0.02812436558534026,0.002149179135430356,0.0014424515721095533,0.025128657966570503
gencast,CHIRPS,7,1,MAM,0.17380615278273467,0.3711840232263926,0.2555953581950997,0.013650129822166561,0.07322590830020126,0.23308630836933908
gencast,CHIRPS,7,5,MAM,0.12408822153518728,0.18705188439926163,0.18442291133765476,0.00817424507410081,0.036130172913902796,0.15158598048925853
gencast,CHIRPS,7,10,MAM,0.07819640424734497,0.09218169549624565,0.06598120502915439,0.005668733728110991,0.011170744120442437,0.08338754028363579
gencast,CHIRPS,7,20,MAM,0.026067650542096567,0.025895219526805943,-0.03302442008256268,0.002072258576289396,0.0012423992194903332,0.025128657966570503
gencast,ERA5,1,1,MAM,0.09884807786585133,0.3817984244788359,0.5817478175987321,0.007737072070255177,0.14487811250088303,0.23573967324312786
gencast,ERA5,1,5,MAM,0.08104119519686068,0.18505967489397412,0.4630523518327532,0.0039010249622633704,0.07352406506960103,0.15035673575951158
gencast,ERA5,1,10,MAM,0.05409001764889193,0.09171019134739425,0.35078647658530615,0.0023365502751858565,0.03144785929064379,0.08298868673284923
gencast,ERA5,1,20,MAM,0.019911976152627953,0.025770797814248594,0.20725422677415462,0.0015093427507475998,0.00669232229482652,0.02500783518266588
gencast,ERA5,3,1,MAM,0.10580287884541938,0.3817984244788359,0.5522835070998189,0.001834672423863612,0.1320298059251436,0.23573967324312786
gencast,ERA5,3,5,MAM,0.08734703172233037,0.18505967489397412,0.4212374520713277,0.001274634815689182,0.06461052308878772,0.15035673575951158
gencast,ERA5,3,10,MAM,0.05819532876934579,0.09171019134739425,0.30157564946488713,0.0008141030082256562,0.025841470107922725,0.08298868673284923
gencast,ERA5,3,20,MAM,0.020600309279319474,0.025770797814248594,0.17962192226637352,0.0003679022049419527,0.004859857632173047,0.02500783518266588
gencast,ERA5,5,1,MAM,0.11327342710765112,0.3817984244788359,0.5206668736565816,0.0015578819394877696,0.12429972060381127,0.23573967324312786
gencast,ERA5,5,5,MAM,0.09113444382750414,0.18505967489397412,0.3961640436646622,0.001050772069326743,0.060616704500033966,0.15035673575951158
gencast,ERA5,5,10,MAM,0.06039179245304154,0.09171019134739425,0.2752422162696073,0.0008019409932533547,0.02364393105490694,0.08298868673284923
gencast,ERA5,5,20,MAM,0.021618727735581385,0.025770797814248594,0.13906907475986963,0.0004755191577706718,0.003953335658371332,0.02500783518266588
gencast,ERA5,7,1,MAM,0.11915150472385112,0.3817984244788359,0.49581249669406857,0.001784040845019938,0.11866671680553907,0.23573967324312786
gencast,ERA5,7,5,MAM,0.09789888874903725,0.18505967489397412,0.3513685174167813,0.0015528743409028536,0.0543834976683492,0.15035673575951158
gencast,ERA5,7,10,MAM,0.06437215676272122,0.09171019134739425,0.22746394428707006,0.001144465661529932,0.020021399676987864,0.08298868673284923
gencast,ERA5,7,20,MAM,0.022681895867144884,0.025770797814248594,0.09679292224105251,0.0006488691234969102,0.0030694505697497444,0.02500783518266588
neuralgcm,CHIRPS,1,1,MAM,0.19840497248706976,0.3711840232263926,0.15028625228742531,0.028072825688107116,0.06310249343244621,0.23308630836933908
neuralgcm,CHIRPS,1,5,MAM,0.1561399460493474,0.18705188439926163,-0.025914011862656405,0.032568576936111315,0.028640376039500266,0.15158598048925853
neuralgcm,CHIRPS,1,10,MAM,0.10047905516420724,0.09218169549624565,-0.19953816462536933,0.024817480090960277,0.00817848335013955,0.08338754028363579
neuralgcm,CHIRPS,1,20,MAM,0.03260376028080362,0.025895219526805943,-0.2915698817696344,0.008226106784492591,0.00089934695215005,0.025128657966570503
neuralgcm,CHIRPS,3,1,MAM,0.1881060220272366,0.3711840232263926,0.19433187554761133,0.024091542105567566,0.06938764157545012,0.23308630836933908
neuralgcm,CHIRPS,3,5,MAM,0.14311536249875584,0.18705188439926163,0.05962433871565853,0.021170707767030426,0.03020892161226719,0.15158598048925853
neuralgcm,CHIRPS,3,10,MAM,0.0890171848963951,0.09218169549624565,-0.0627954219339697,0.013734271669971154,0.00849791589382434,0.08338754028363579
neuralgcm,CHIRPS,3,20,MAM,0.026930664744464202,0.025895219526805943,-0.06734169830276615,0.002474300295327945,0.0007820937917897518,0.025128657966570503
neuralgcm,CHIRPS,5,1,MAM,0.18730126858825485,0.3711840232263926,0.19764720606865338,0.021361820438458193,0.06743067806051464,0.23308630836933908
neuralgcm,CHIRPS,5,5,MAM,0.13951259262835744,0.18705188439926163,0.08308551802845932,0.016854737097743388,0.02944933681254537,0.15158598048925853
neuralgcm,CHIRPS,5,10,MAM,0.08431927914681674,0.09218169549624565,-0.007124264174240169,0.008672423520943353,0.008078348655122627,0.08338754028363579
neuralgcm,CHIRPS,5,20,MAM,0.025864651125156162,0.025895219526805943,-0.025184332887006722,0.0013541726864771213,0.0007213241992432762,0.025128657966570503
neuralgcm,CHIRPS,7,1,MAM,0.19268696374160532,0.3711840232263926,0.17467396932902535,0.025053419327372522,0.0657675300064942,0.23308630836933908
neuralgcm,CHIRPS,7,5,MAM,0.14233396273471827,0.18705188439926163,0.06451628590641867,0.019636713690455495,0.029416478147105303,0.15158598048925853
