hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,observed_event_rate,forecast_event_rate,model,obs,lead_day,threshold_mm_day,season
11524,5902,5088,24590,0.6613106851830598,0.30628461353238623,0.5118592875544106,0.9532881900608287,0.36994735054347827,0.3526664402173913,fourcastnet,CHIRPS,1,1,MAM
2719,6056,2051,36278,0.3098575498575499,0.429979035639413,0.25115462774801406,0.5435897435897435,0.18628991168478262,0.10126528532608696,fourcastnet,CHIRPS,1,5,MAM
749,3576,926,41853,0.17317919075144508,0.5528358208955224,0.1426394972386212,0.3872832369942196,0.09181810461956522,0.03555961277173913,fourcastnet,CHIRPS,1,10,MAM
108,1107,227,45662,0.08888888888888889,0.6776119402985075,0.07489597780859916,0.2757201646090535,0.025793987771739132,0.007111922554347826,fourcastnet,CHIRPS,1,20,MAM
12170,5256,5103,24575,0.6983817284517387,0.2954321773866728,0.5401926405965645,0.9912200160679444,0.36994735054347827,0.36669921875,gencast,CHIRPS,1,1,MAM
4345,4430,3448,34881,0.49515669515669514,0.4424483510843064,0.35547737871226376,0.8880911680911681,0.18628991168478262,0.16544242527173914,gencast,CHIRPS,1,5,MAM
1507,2818,2227,40552,0.3484393063583815,0.596411355115158,0.230006105006105,0.8633526011560694,0.09181810461956522,0.07927139945652174,gencast,CHIRPS,1,10,MAM
249,966,802,45087,0.20493827160493827,0.7630827783063748,0.12345066931085771,0.8650205761316873,0.025793987771739132,0.02231233016304348,gencast,CHIRPS,1,20,MAM
12675,4751,7386,22292,0.7273614139791117,0.3681770599671003,0.5108415282927615,1.151210834385401,0.36994735054347827,0.4258873980978261,graphcast,CHIRPS,1,1,MAM
3394,5381,3689,34640,0.3867806267806268,0.5208245093886771,0.27230423620025673,0.8071794871794872,0.18628991168478262,0.15036939538043478,graphcast,CHIRPS,1,5,MAM
1093,3232,2180,40599,0.25271676300578033,0.666055606477238,0.16802459646425827,0.7567630057803468,0.09181810461956522,0.06948454483695653,graphcast,CHIRPS,1,10,MAM
209,1006,778,45111,0.1720164609053498,0.7882472137791287,0.10486703462117411,0.8123456790123457,0.025793987771739132,0.020953634510869564,graphcast,CHIRPS,1,20,MAM
13530,3896,8129,21549,0.7764260300700103,0.37531742001015744,0.5294462923107024,1.2429128887868701,0.36994735054347827,0.45981233016304346,neuralgcm,CHIRPS,1,1,MAM
4401,4374,4915,33414,0.5015384615384615,0.5275869471876342,0.3214755295836377,1.0616524216524217,0.18628991168478262,0.19777513586956522,neuralgcm,CHIRPS,1,5,MAM
1252,3073,2657,40122,0.2894797687861272,0.6797134817088769,0.1793182469206531,0.9038150289017342,0.09181810461956522,0.08298658288043478,neuralgcm,CHIRPS,1,10,MAM
