model,obs,lead_day,season,n,mean_crps,rmse_ensemble_mean,mean_ensemble_spread,spread_skill_ratio
gencast,CHIRPS,1,MAM,47104,2.1765475932572182,6.855910037653576,3.62496013426952,0.5287350788386594
gencast,CHIRPS,3,MAM,47104,1.9021593857548782,5.736233653379185,4.209273598766067,0.7338044182154969
gencast,CHIRPS,5,MAM,47104,1.9121980147860191,5.8248617557852675,4.851078117556929,0.8328228756225546
gencast,CHIRPS,7,MAM,47104,1.9161391165570163,5.852572546886889,5.172170052450587,0.88374300549282
gencast,ERA5,1,MAM,47104,1.3388404660520603,4.974919333415676,3.62496013426952,0.7286470174342903
gencast,ERA5,3,MAM,47104,1.3727559365034587,4.785635363985714,4.209273598766067,0.8795642121927937
gencast,ERA5,5,MAM,47104,1.43355864654649,5.062511790101545,4.851078117556929,0.9582354212077054
gencast,ERA5,7,MAM,47104,1.5097723509117151,5.266133408351078,5.172170052450587,0.982157049847715
neuralgcm,CHIRPS,1,MAM,47104,2.4239153510151814,6.234009452904836,2.346802355073672,0.37645152334187465
neuralgcm,CHIRPS,3,MAM,47104,2.1359668667148046,5.887081190928894,3.1279677215635,0.5313274303713065
neuralgcm,CHIRPS,5,MAM,47104,2.06553370122439,5.791410152343434,3.224991216203438,0.5568576791092026
neuralgcm,CHIRPS,7,MAM,47104,2.111110089620011,5.941258506301581,3.9389477667863444,0.6629820538205011
neuralgcm,ERA5,1,MAM,47104,1.96301806996718,5.667963562202275,2.346802355073672,0.41404683169166795
neuralgcm,ERA5,3,MAM,47104,1.787179721847333,5.539899175752341,3.1279677215635,0.5646253879952083
neuralgcm,ERA5,5,MAM,47104,1.7659449253768058,5.573045807087331,3.224991216203438,0.5786766030349446
neuralgcm,ERA5,7,MAM,47104,1.830906437780482,5.70812692594516,3.9389477667863444,0.6900595971127829
