model,obs,lead_day,season,n,delta_flatness
gencast,CHIRPS,1,MAM,47104,1.0458766181566437
gencast,CHIRPS,3,MAM,47104,0.9485146048178655
gencast,CHIRPS,5,MAM,47104,0.8872862767108165
gencast,CHIRPS,7,MAM,47104,0.8503586416847592
gencast,ERA5,1,MAM,47104,0.36814604711968535
gencast,ERA5,3,MAM,47104,0.24795443152527974
gencast,ERA5,5,MAM,47104,0.2252029037682723
gencast,ERA5,7,MAM,47104,0.2158664255077987
gencast,TAMSAT,1,MAM,47012,1.1554212970779771
gencast,TAMSAT,3,MAM,47012,1.082466477877464
gencast,TAMSAT,5,MAM,47012,1.0266968377505685
gencast,TAMSAT,7,MAM,47012,0.986721089711911
neuralgcm,CHIRPS,1,MAM,47104,0.9208413446054173
neuralgcm,CHIRPS,3,MAM,47104,0.791443639293348
neuralgcm,CHIRPS,5,MAM,47104,0.7720056676230358
neuralgcm,CHIRPS,7,MAM,47104,0.7712781332834278
neuralgcm,ERA5,1,MAM,47104,0.48063069236133665
neuralgcm,ERA5,3,MAM,47104,0.3332017973751396
neuralgcm,ERA5,5,MAM,47104,0.29842892823073736
neuralgcm,ERA5,7,MAM,47104,0.3044370452353168
neuralgcm,TAMSAT,1,MAM,47012,1.0415075458325616
neuralgcm,TAMSAT,3,MAM,47012,0.9090857107267051
neuralgcm,TAMSAT,5,MAM,47012,0.8851090864261026
neuralgcm,TAMSAT,7,MAM,47012,0.8886951226751344
