model,obs,lead_day,threshold_mm_day,season,forecast_probability,observed_frequency,count,abs_calibration_gap,weighted_abs_gap,ece
gencast,CHIRPS,1,1,MAM,0.0,0.11334019972235905,22331,0.11334019972235905,0.053732167119565216,0.14243588654891304
gencast,CHIRPS,1,1,MAM,0.1,0.31981519507186856,3896,0.21981519507186856,0.01818104619565217,0.14243588654891304
gencast,CHIRPS,1,1,MAM,0.2,0.407158836689038,2235,0.207158836689038,0.009829313858695652,0.14243588654891304
gencast,CHIRPS,1,1,MAM,0.3,0.4634570765661253,1724,0.1634570765661253,0.005982506793478261,0.14243588654891304
gencast,CHIRPS,1,1,MAM,0.4,0.5460440985732814,1542,0.14604409857328138,0.004780910326086954,0.14243588654891304
gencast,CHIRPS,1,1,MAM,0.5,0.559938128383604,1293,0.05993812838360402,0.0016452955163043478,0.14243588654891304
gencast,CHIRPS,1,1,MAM,0.6,0.5818735719725818,1313,0.01812642802741815,0.0005052649456521746,0.14243588654891304
gencast,CHIRPS,1,1,MAM,0.7,0.6225266362252664,1314,0.07747336377473357,0.0021611752717391286,0.14243588654891304
gencast,CHIRPS,1,1,MAM,0.8,0.6664532650448144,1562,0.13354673495518565,0.004428498641304348,0.14243588654891304
gencast,CHIRPS,1,1,MAM,0.9,0.715483234714004,2028,0.18451676528599603,0.007944123641304347,0.14243588654891304
gencast,CHIRPS,1,1,MAM,1.0,0.8009153318077803,7866,0.1990846681922197,0.03324558423913044,0.14243588654891304
gencast,CHIRPS,1,5,MAM,0.0,0.06625145020455517,32754,0.06625145020455517,0.04606827445652174,0.10417374320652176
gencast,CHIRPS,1,5,MAM,0.1,0.27708764665286406,2898,0.17708764665286406,0.010895040760869565,0.10417374320652176
gencast,CHIRPS,1,5,MAM,0.2,0.37346437346437344,1628,0.17346437346437343,0.00599524456521739,0.10417374320652176
gencast,CHIRPS,1,5,MAM,0.3,0.3969298245614035,1368,0.09692982456140353,0.002815047554347827,0.10417374320652176
gencast,CHIRPS,1,5,MAM,0.4,0.4473029045643154,1205,0.04730290456431535,0.0012100883152173913,0.10417374320652176
gencast,CHIRPS,1,5,MAM,0.5,0.4819915254237288,944,0.018008474576271194,0.0003609035326086958,0.10417374320652176
gencast,CHIRPS,1,5,MAM,0.6,0.5120925341745531,951,0.08790746582544684,0.0017747961956521728,0.10417374320652176
gencast,CHIRPS,1,5,MAM,0.7,0.5011933174224343,838,0.19880668257756562,0.0035368546195652167,0.10417374320652176
gencast,CHIRPS,1,5,MAM,0.8,0.5479143179255919,887,0.2520856820744082,0.00474694293478261,0.10417374320652176
gencast,CHIRPS,1,5,MAM,0.9,0.5773584905660377,1060,0.3226415094339623,0.007260529891304349,0.10417374320652176
gencast,CHIRPS,1,5,MAM,1.0,0.6425515363671723,2571,0.3574484636328277,0.01951002038043478,0.10417374320652176
gencast,CHIRPS,1,10,MAM,0.0,0.03884672148429264,37944,0.03884672148429264,0.03129245923913043,0.06804093070652173
gencast,CHIRPS,1,10,MAM,0.1,0.21425694724124045,2483,0.11425694724124044,0.006022843070652174,0.06804093070652173
gencast,CHIRPS,1,10,MAM,0.2,0.2448512585812357,1311,0.044851258581235676,0.001248301630434782,0.06804093070652173
gencast,CHIRPS,1,10,MAM,0.3,0.2675619834710744,968,0.032438016528925584,0.0006666100543478254,0.06804093070652173
gencast,CHIRPS,1,10,MAM,0.4,0.3233766233766234,770,0.07662337662337665,0.0012525475543478264,0.06804093070652173
gencast,CHIRPS,1,10,MAM,0.5,0.3456221198156682,651,0.1543778801843318,0.002133576766304348,0.06804093070652173
gencast,CHIRPS,1,10,MAM,0.6,0.3651685393258427,534,0.23483146067415728,0.0026621942934782605,0.06804093070652173
gencast,CHIRPS,1,10,MAM,0.7,0.3614457831325301,498,0.33855421686746984,0.0035793138586956517,0.06804093070652173
gencast,CHIRPS,1,10,MAM,0.8,0.3782178217821782,505,0.4217821782178218,0.004521908967391305,0.06804093070652173
gencast,CHIRPS,1,10,MAM,0.9,0.44047619047619047,504,0.45952380952380956,0.0049167798913043485,0.06804093070652173
gencast,CHIRPS,1,10,MAM,1.0,0.5096153846153846,936,0.4903846153846154,0.009744395380434784,0.06804093070652173
gencast,CHIRPS,1,20,MAM,0.0,0.014521620307107951,43177,0.014521620307107951,0.013310971467391306,0.02788935122282609
gencast,CHIRPS,1,20,MAM,0.1,0.09530386740331492,1448,0.004696132596685082,0.00014436141304347824,0.02788935122282609
gencast,CHIRPS,1,20,MAM,0.2,0.12340425531914893,705,0.07659574468085108,0.0011463994565217392,0.02788935122282609
gencast,CHIRPS,1,20,MAM,0.3,0.14979757085020243,494,0.15020242914979756,0.0015752377717391304,0.02788935122282609
gencast,CHIRPS,1,20,MAM,0.4,0.16455696202531644,316,0.23544303797468358,0.0015794836956521741,0.02788935122282609
gencast,CHIRPS,1,20,MAM,0.5,0.16580310880829016,193,0.3341968911917098,0.0013693104619565217,0.02788935122282609
gencast,CHIRPS,1,20,MAM,0.6,0.20994475138121546,181,0.3900552486187845,0.0014988111413043476,0.02788935122282609
gencast,CHIRPS,1,20,MAM,0.7,0.23776223776223776,143,0.4622377622377622,0.0014032778532608694,0.02788935122282609
gencast,CHIRPS,1,20,MAM,0.8,0.19548872180451127,133,0.6045112781954888,0.0017068614130434784,0.02788935122282609
gencast,CHIRPS,1,20,MAM,0.9,0.3274336283185841,113,0.572566371681416,0.0013735563858695652,0.02788935122282609
gencast,CHIRPS,1,20,MAM,1.0,0.3482587064676617,201,0.6517412935323383,0.0027810801630434785,0.02788935122282609
gencast,CHIRPS,3,1,MAM,0.0,0.08756927949327,18945,0.08756927949327,0.03521993885869565,0.11250636888586955
gencast,CHIRPS,3,1,MAM,0.1,0.24178047546788062,3954,0.1417804754678806,0.011901324728260868,0.11250636888586955
gencast,CHIRPS,3,1,MAM,0.2,0.3235294117647059,2482,0.12352941176470589,0.0065090013586956525,0.11250636888586955
gencast,CHIRPS,3,1,MAM,0.3,0.3829243353783231,1956,0.08292433537832311,0.0034434442934782607,0.11250636888586955
gencast,CHIRPS,3,1,MAM,0.4,0.44521337946943484,1734,0.04521337946943482,0.0016644021739130432,0.11250636888586955
gencast,CHIRPS,3,1,MAM,0.5,0.4970414201183432,1690,0.00295857988165682,0.0001061480978260875,0.11250636888586955
