model,truth,lead_day,season,spread_fortin,rmse_ens_mean,ssr
gencast,CHIRPS,1,MAM,3.625,6.8559,0.5287
gencast,CHIRPS,3,MAM,4.2093,5.7362,0.7338
gencast,CHIRPS,5,MAM,4.8511,5.8249,0.8328
gencast,CHIRPS,7,MAM,5.1722,5.8526,0.8837
neuralgcm,CHIRPS,1,MAM,2.3468,6.234,0.3765
neuralgcm,CHIRPS,3,MAM,3.128,5.8871,0.5313
neuralgcm,CHIRPS,5,MAM,3.225,5.7914,0.5569
neuralgcm,CHIRPS,7,MAM,3.9389,5.9413,0.663
gencast,TAMSAT,1,MAM,3.6282,7.253,0.5002
gencast,TAMSAT,3,MAM,4.2126,5.9231,0.7112
gencast,TAMSAT,5,MAM,4.8547,5.9387,0.8175
gencast,TAMSAT,7,MAM,5.1764,5.9398,0.8715
neuralgcm,TAMSAT,1,MAM,2.3484,6.4597,0.3635
neuralgcm,TAMSAT,3,MAM,3.13,6.0642,0.5161
neuralgcm,TAMSAT,5,MAM,3.2271,5.8823,0.5486
neuralgcm,TAMSAT,7,MAM,3.9424,6.0061,0.6564
