model,vs,season,bias (mm/d),MAE (mm/d),RMSE (mm/d)
fourcastnet,CHIRPS,MAM,-1.157,2.594,5.81
fourcastnet,ERA5,MAM,-1.212,2.056,5.126
fourcastnet,TAMSAT,MAM,-1.074,2.73,5.996
gencast,CHIRPS,MAM,-0.18,2.848,6.856
gencast,ERA5,MAM,-0.236,1.855,4.975
gencast,TAMSAT,MAM,-0.097,3.128,7.253
graphcast,CHIRPS,MAM,-0.116,3.171,6.996
graphcast,ERA5,MAM,-0.172,2.572,6.192
graphcast,TAMSAT,MAM,-0.033,3.345,7.12
neuralgcm,CHIRPS,MAM,0.082,3.071,6.234
neuralgcm,ERA5,MAM,0.026,2.556,5.668
neuralgcm,TAMSAT,MAM,0.165,3.282,6.46
