model,truth,lead_day,season,acc
fourcastnet,CHIRPS,1,OND,0.326
fourcastnet,CHIRPS,3,OND,0.3599
fourcastnet,CHIRPS,5,OND,0.3361
fourcastnet,CHIRPS,7,OND,0.3085
gencast,CHIRPS,1,OND,0.3391
gencast,CHIRPS,3,OND,0.4119
gencast,CHIRPS,5,OND,0.3627
gencast,CHIRPS,7,OND,0.3654
graphcast,CHIRPS,1,OND,0.228
graphcast,CHIRPS,3,OND,0.1694
graphcast,CHIRPS,5,OND,0.1546
graphcast,CHIRPS,7,OND,0.1212
neuralgcm,CHIRPS,1,OND,0.33
neuralgcm,CHIRPS,3,OND,0.3321
neuralgcm,CHIRPS,5,OND,0.3364
neuralgcm,CHIRPS,7,OND,0.344
fourcastnet,TAMSAT,1,OND,0.2474
fourcastnet,TAMSAT,3,OND,0.3048
fourcastnet,TAMSAT,5,OND,0.2988
fourcastnet,TAMSAT,7,OND,0.2848
gencast,TAMSAT,1,OND,0.246
gencast,TAMSAT,3,OND,0.3412
gencast,TAMSAT,5,OND,0.3195
gencast,TAMSAT,7,OND,0.3287
graphcast,TAMSAT,1,OND,0.1762
graphcast,TAMSAT,3,OND,0.1559
graphcast,TAMSAT,5,OND,0.1649
graphcast,TAMSAT,7,OND,0.1277
neuralgcm,TAMSAT,1,OND,0.2607
neuralgcm,TAMSAT,3,OND,0.2775
neuralgcm,TAMSAT,5,OND,0.284
neuralgcm,TAMSAT,7,OND,0.3006
