hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,observed_event_rate,forecast_event_rate,model,obs,lead_day,threshold_mm_day,season
9071,4706,4450,25805,0.6584162009145678,0.3291176688114784,0.4976682942886926,0.9814183058721057,0.31288608284883723,0.30707212936046513,fourcastnet,CHIRPS,1,1,OND
2022,4824,1899,35287,0.2953549517966696,0.4843152257077276,0.23121783876500857,0.5727432077125328,0.1554778343023256,0.08904887354651163,fourcastnet,CHIRPS,1,5,OND
338,2720,754,40220,0.1105297580117724,0.6904761904761905,0.08866736621196222,0.3570961412688031,0.06944949127906977,0.024800145348837208,fourcastnet,CHIRPS,1,10,OND
8,604,85,43335,0.013071895424836602,0.9139784946236559,0.011477761836441894,0.15196078431372548,0.013898982558139535,0.0021121002906976743,fourcastnet,CHIRPS,1,20,OND
10144,3633,4801,25454,0.7362996298178123,0.32124456339913016,0.5460221767682205,1.0847789794585179,0.31288608284883723,0.33941224563953487,gencast,CHIRPS,1,1,OND
3220,3626,2943,34243,0.4703476482617587,0.47752717832224567,0.32894064766574727,0.9002337131171487,0.1554778343023256,0.13996638808139536,gencast,CHIRPS,1,5,OND
792,2266,1720,39254,0.2589928057553957,0.6847133757961783,0.16575973210548348,0.8214519293655984,0.06944949127906977,0.05704941860465116,gencast,CHIRPS,1,10,OND
52,560,396,43024,0.08496732026143791,0.8839285714285714,0.051587301587301584,0.7320261437908496,0.013898982558139535,0.010174418604651164,gencast,CHIRPS,1,20,OND
9490,4287,6119,24136,0.6888292081004573,0.39201742584406435,0.4769802975472457,1.1329752486027438,0.31288608284883723,0.3544921875,graphcast,CHIRPS,1,1,OND
2150,4696,2642,34544,0.3140520011685656,0.5513355592654424,0.22660202360876897,0.6999707858603564,0.1554778343023256,0.10882994186046512,graphcast,CHIRPS,1,5,OND
409,2649,1371,39603,0.13374754741661216,0.7702247191011236,0.09234590200948295,0.5820797907128843,0.06944949127906977,0.04042514534883721,graphcast,CHIRPS,1,10,OND
12,600,300,43120,0.0196078431372549,0.9615384615384616,0.013157894736842105,0.5098039215686274,0.013898982558139535,0.007085755813953488,graphcast,CHIRPS,1,20,OND
10984,2793,8201,22054,0.7972708136749656,0.42746937711753974,0.49977249977249977,1.3925382884517674,0.31288608284883723,0.4357058502906977,neuralgcm,CHIRPS,1,1,OND
3263,3583,3736,33450,0.47662868828513,0.5337905415059294,0.3083538083538084,1.0223488168273445,0.1554778343023256,0.15895257994186046,neuralgcm,CHIRPS,1,5,OND
549,2509,1686,39288,0.17952910398953564,0.7543624161073825,0.11572512647554806,0.7308698495748855,0.06944949127906977,0.050758539244186045,neuralgcm,CHIRPS,1,10,OND
5,607,145,43275,0.008169934640522876,0.9666666666666667,0.0066050198150594455,0.24509803921568626,0.013898982558139535,0.0034066133720930232,neuralgcm,CHIRPS,1,20,OND
9701,4194,5174,25987,0.6981648074847068,0.34783193277310925,0.5087314489485553,1.070528967254408,0.30839399857954547,0.3301447088068182,fourcastnet,CHIRPS,3,1,OND
2477,4393,2328,35858,0.36055312954876273,0.48449531737773155,0.26929767340726246,0.6994177583697234,0.15247691761363635,0.10664506392045454,fourcastnet,CHIRPS,3,5,OND
392,2668,804,41192,0.12810457516339868,0.6722408026755853,0.10144927536231885,0.3908496732026144,0.06791548295454546,0.02654474431818182,fourcastnet,CHIRPS,3,10,OND
