nominal_coverage,empirical_coverage,mean_width,model,obs,lead_day,season
0.5,0.23906301821041917,1.4757354818231898,gencast,CHIRPS,1,OND
0.8,0.3708304479199361,2.788664165130229,gencast,CHIRPS,1,OND
0.9,0.4101308067565289,3.573428063193944,gencast,CHIRPS,1,OND
0.5,0.25331655219251487,1.8345297041789304,gencast,CHIRPS,3,OND
0.8,0.40709985523698117,3.4341580738484403,gencast,CHIRPS,3,OND
0.9,0.447875102127111,4.430862894031304,gencast,CHIRPS,3,OND
0.5,0.2630599861662097,1.9969003298041272,gencast,CHIRPS,5,OND
0.8,0.42106509117403934,3.8177740039588928,gencast,CHIRPS,5,OND
0.9,0.4648746220627504,4.992335060118678,gencast,CHIRPS,5,OND
0.5,0.27352675159311285,2.0074121410038166,gencast,CHIRPS,7,OND
0.8,0.4445609413368188,3.8716820325699444,gencast,CHIRPS,7,OND
0.9,0.48342268119098664,5.013015561695644,gencast,CHIRPS,7,OND
0.5,0.35684799382305954,1.4757354818231898,gencast,ERA5,1,OND
0.8,0.5852649869865436,2.788664165130229,gencast,ERA5,1,OND
0.9,0.661230091888699,3.573428063193944,gencast,ERA5,1,OND
0.5,0.3823011902874192,1.8345297041789304,gencast,ERA5,3,OND
0.8,0.61331673648813,3.4341580738484403,gencast,ERA5,3,OND
0.9,0.6836283976398578,4.430862894031304,gencast,ERA5,3,OND
0.5,0.37784680004284144,1.9969003298041272,gencast,ERA5,5,OND
0.8,0.611543633128511,3.8177740039588928,gencast,ERA5,5,OND
0.9,0.6837047306324098,4.992335060118678,gencast,ERA5,5,OND
0.5,0.3932556175145402,2.0074121410038166,gencast,ERA5,7,OND
0.8,0.6283034582016719,3.8716820325699444,gencast,ERA5,7,OND
0.9,0.6952057362983853,5.013015561695644,gencast,ERA5,7,OND
0.5,0.2584989173235657,1.4311004193371621,neuralgcm,CHIRPS,1,OND
0.8,0.4214995205215308,2.6157871363602254,neuralgcm,CHIRPS,1,OND
0.9,0.4669234422181238,3.3565983784937963,neuralgcm,CHIRPS,1,OND
0.5,0.3155472304585354,1.785868372360356,neuralgcm,CHIRPS,3,OND
0.8,0.4966417493659866,3.176570955371131,neuralgcm,CHIRPS,3,OND
0.9,0.5346449939522172,3.923683465495193,neuralgcm,CHIRPS,3,OND
0.5,0.3261118788013434,1.7835719741220872,neuralgcm,CHIRPS,5,OND
0.8,0.4991247750142173,3.2195976094121126,neuralgcm,CHIRPS,5,OND
0.9,0.5393256195641103,3.990265218554298,neuralgcm,CHIRPS,5,OND
0.5,0.33591876258530445,2.0509071198258586,neuralgcm,CHIRPS,7,OND
0.8,0.5151678097747754,3.740282816747634,neuralgcm,CHIRPS,7,OND
0.9,0.5566301135904311,4.700764708324177,neuralgcm,CHIRPS,7,OND
0.5,0.34628573858685974,1.4311004193371621,neuralgcm,ERA5,1,OND
0.8,0.5525167515518041,2.6157871363602254,neuralgcm,ERA5,1,OND
0.9,0.6248889483157256,3.3565983784937963,neuralgcm,ERA5,1,OND
0.5,0.3880173577541094,1.785868372360356,neuralgcm,ERA5,3,OND
0.8,0.5956096427332385,3.176570955371131,neuralgcm,ERA5,3,OND
0.9,0.6525988545717676,3.923683465495193,neuralgcm,ERA5,3,OND
0.5,0.38470857918750717,1.7835719741220872,neuralgcm,ERA5,5,OND
0.8,0.5948156798427349,3.2195976094121126,neuralgcm,ERA5,5,OND
0.9,0.6537001870385682,3.990265218554298,neuralgcm,ERA5,5,OND
0.5,0.39629712244048465,2.0509071198258586,neuralgcm,ERA5,7,OND
0.8,0.6195164159156171,3.740282816747634,neuralgcm,ERA5,7,OND
0.9,0.6809241134565676,4.700764708324177,neuralgcm,ERA5,7,OND
