model,obs,lead_day,season,n,mean_crps,rmse_ensemble_mean,mean_ensemble_spread,spread_skill_ratio
gencast,CHIRPS,1,OND,44032,1.6780396538345808,5.632880641590223,3.0138620860006298,0.5350481002114371
gencast,CHIRPS,3,OND,45056,1.492663994420286,4.8251290396115385,3.5741247341327136,0.7407314301423241
gencast,CHIRPS,5,OND,46080,1.5161719500016888,5.081569466276281,4.212321268834715,0.8289409987976526
gencast,CHIRPS,7,OND,47104,1.4880381583061288,4.862098201336497,3.912467437588511,0.8046870457106459
gencast,ERA5,1,OND,44032,1.0156028116473799,4.166287593298818,3.0138620860006298,0.7233927131790461
gencast,ERA5,3,OND,45056,0.9987954884839608,3.532200775686832,3.5741247341327136,1.0118690757146243
gencast,ERA5,5,OND,46080,1.0544630320803794,3.7949907917152745,4.212321268834715,1.1099687720008442
gencast,ERA5,7,OND,47104,1.0904246250158125,3.7757937916213793,3.912467437588511,1.036197327902391
neuralgcm,CHIRPS,1,OND,44032,1.8150511176047381,4.989151959247794,2.0494159381809833,0.41077440713791574
neuralgcm,CHIRPS,3,OND,45056,1.6650994053428994,4.839432000070193,2.369690306686189,0.48966289983035577
neuralgcm,CHIRPS,5,OND,46080,1.6172959066851758,4.777314292808681,2.401147625309963,0.5026145399151202
neuralgcm,CHIRPS,7,OND,47104,1.6106917387717334,4.795693501503945,2.8385943073472593,0.5919048634899347
neuralgcm,ERA5,1,OND,44032,1.4110158189683288,4.115892946995132,2.0494159381809833,0.4979274156479676
neuralgcm,ERA5,3,OND,45056,1.3523805348067626,4.01655406948699,2.369690306686189,0.5899809303423259
neuralgcm,ERA5,5,OND,46080,1.331573601214036,3.9896610605223666,2.401147625309963,0.6018425096480703
neuralgcm,ERA5,7,OND,47104,1.322480506759088,4.031720784943108,2.8385943073472593,0.7040652016251455
