model,obs,lead_day,season,n,delta_flatness
gencast,CHIRPS,1,OND,44032,1.1528397228897787
gencast,CHIRPS,3,OND,45056,1.1040770939853144
gencast,CHIRPS,5,OND,46080,1.073592914022968
gencast,CHIRPS,7,OND,47104,1.0184992229560805
gencast,ERA5,1,OND,44032,0.32514345777042386
gencast,ERA5,3,OND,45056,0.27651776391327765
gencast,ERA5,5,OND,46080,0.2996435724629543
gencast,ERA5,7,OND,47104,0.2559838406266226
gencast,TAMSAT,1,OND,43946,1.2341816099506613
gencast,TAMSAT,3,OND,44968,1.1958088126691162
gencast,TAMSAT,5,OND,45990,1.1532062936286849
gencast,TAMSAT,7,OND,47012,1.096397617058703
neuralgcm,CHIRPS,1,OND,44032,0.9439317919854454
neuralgcm,CHIRPS,3,OND,45056,0.8738678382477583
neuralgcm,CHIRPS,5,OND,46080,0.8420538699521422
neuralgcm,CHIRPS,7,OND,47104,0.8111241245541022
neuralgcm,ERA5,1,OND,44032,0.4042175620061122
neuralgcm,ERA5,3,OND,45056,0.3495968205651997
neuralgcm,ERA5,5,OND,46080,0.310615427747329
neuralgcm,ERA5,7,OND,47104,0.26408468332429236
neuralgcm,TAMSAT,1,OND,43946,1.0100328367958626
neuralgcm,TAMSAT,3,OND,44968,0.9390621651329832
neuralgcm,TAMSAT,5,OND,45990,0.906966609404821
neuralgcm,TAMSAT,7,OND,47012,0.8817880860954387
