model,obs,lead_day,threshold_mm_day,season,forecast_probability,observed_frequency,count,abs_calibration_gap,weighted_abs_gap,ece
gencast,CHIRPS,1,1,OND,0.0,0.07806341812970262,22328,0.07806341812970262,0.039584847383720936,0.10684729287790698
gencast,CHIRPS,1,1,OND,0.1,0.24660249150622876,3532,0.14660249150622875,0.011759629360465115,0.10684729287790698
gencast,CHIRPS,1,1,OND,0.2,0.33104125736738704,2036,0.13104125736738703,0.0060592296511627905,0.10684729287790698
gencast,CHIRPS,1,1,OND,0.3,0.3812045003309067,1511,0.0812045003309067,0.0027866097383720933,0.10684729287790698
gencast,CHIRPS,1,1,OND,0.4,0.4423897581792319,1406,0.04238975817923185,0.0013535610465116273,0.10684729287790698
gencast,CHIRPS,1,1,OND,0.5,0.4868085106382979,1175,0.013191489361702113,0.0003520167151162787,0.10684729287790698
gencast,CHIRPS,1,1,OND,0.6,0.5601626016260163,1230,0.0398373983739837,0.0011128270348837199,0.10684729287790698
gencast,CHIRPS,1,1,OND,0.7,0.6192400970088925,1237,0.08075990299110747,0.002268804505813952,0.10684729287790698
gencast,CHIRPS,1,1,OND,0.8,0.6538461538461539,1482,0.1461538461538462,0.004919149709302327,0.10684729287790698
gencast,CHIRPS,1,1,OND,0.9,0.7003222341568206,1862,0.19967776584317942,0.00844385901162791,0.10684729287790698
gencast,CHIRPS,1,1,OND,1.0,0.8007380073800738,6233,0.19926199261992616,0.02820675872093023,0.10684729287790698
gencast,CHIRPS,1,5,OND,0.0,0.05150417388565128,31745,0.05150417388565128,0.037132085755813955,0.08893759084302326
gencast,CHIRPS,1,5,OND,0.1,0.2741398446170921,2703,0.17413984461709212,0.010689952761627907,0.08893759084302326
gencast,CHIRPS,1,5,OND,0.2,0.35424354243542433,1626,0.15424354243542432,0.005695857558139533,0.08893759084302326
gencast,CHIRPS,1,5,OND,0.3,0.3711340206185567,1164,0.07113402061855673,0.0018804505813953493,0.08893759084302326
gencast,CHIRPS,1,5,OND,0.4,0.42030360531309297,1054,0.020303605313092943,0.0004860101744186038,0.08893759084302326
gencast,CHIRPS,1,5,OND,0.5,0.43147751605995716,934,0.06852248394004284,0.0014534883720930237,0.08893759084302326
gencast,CHIRPS,1,5,OND,0.6,0.4755944931163955,799,0.12440550688360447,0.002257449127906976,0.08893759084302326
gencast,CHIRPS,1,5,OND,0.7,0.5188556566970091,769,0.1811443433029909,0.0031636082848837213,0.08893759084302326
gencast,CHIRPS,1,5,OND,0.8,0.5302267002518891,794,0.26977329974811093,0.004864643895348839,0.08893759084302326
gencast,CHIRPS,1,5,OND,0.9,0.5575418994413408,895,0.3424581005586592,0.006960846656976744,0.08893759084302326
gencast,CHIRPS,1,5,OND,1.0,0.591994835377663,1549,0.40800516462233705,0.014353197674418608,0.08893759084302326
gencast,CHIRPS,1,10,OND,0.0,0.03299624544383239,36489,0.03299624544383239,0.02734375,0.05828261264534884
gencast,CHIRPS,1,10,OND,0.1,0.1913770347558293,2273,0.09137703475582928,0.004717023982558139,0.05828261264534884
gencast,CHIRPS,1,10,OND,0.2,0.21779859484777517,1281,0.017798594847775157,0.000517805232558139,0.05828261264534884
gencast,CHIRPS,1,10,OND,0.3,0.21490280777537796,926,0.08509719222462203,0.001789607558139535,0.05828261264534884
gencast,CHIRPS,1,10,OND,0.4,0.26874115983026875,707,0.13125884016973127,0.002107558139534884,0.05828261264534884
gencast,CHIRPS,1,10,OND,0.5,0.26071428571428573,560,0.23928571428571427,0.003043241279069767,0.05828261264534884
gencast,CHIRPS,1,10,OND,0.6,0.29850746268656714,402,0.30149253731343284,0.002752543604651163,0.05828261264534884
gencast,CHIRPS,1,10,OND,0.7,0.3385012919896641,387,0.36149870801033585,0.0031772347383720923,0.05828261264534884
gencast,CHIRPS,1,10,OND,0.8,0.3344947735191638,287,0.46550522648083625,0.0030341569767441865,0.05828261264534884
gencast,CHIRPS,1,10,OND,0.9,0.36065573770491804,305,0.5393442622950819,0.0037359193313953485,0.05828261264534884
gencast,CHIRPS,1,10,OND,1.0,0.3566265060240964,415,0.6433734939759036,0.006063771802325581,0.05828261264534884
gencast,CHIRPS,1,20,OND,0.0,0.009670382937469704,41260,0.009670382937469704,0.009061591569767442,0.019801507994186045
gencast,CHIRPS,1,20,OND,0.1,0.055384615384615386,1300,0.04461538461538462,0.0013172238372093025,0.019801507994186045
gencast,CHIRPS,1,20,OND,0.2,0.08892921960072596,551,0.11107078039927405,0.0013898982558139534,0.019801507994186045
