model,truth,lead_day,season,spread_fortin,rmse_ens_mean,ssr
gencast,CHIRPS,1,OND,3.0139,5.6329,0.535
gencast,CHIRPS,3,OND,3.5741,4.8251,0.7407
gencast,CHIRPS,5,OND,4.2123,5.0816,0.8289
gencast,CHIRPS,7,OND,3.9125,4.8621,0.8047
neuralgcm,CHIRPS,1,OND,2.0494,4.9892,0.4108
neuralgcm,CHIRPS,3,OND,2.3697,4.8394,0.4897
neuralgcm,CHIRPS,5,OND,2.4011,4.7773,0.5026
neuralgcm,CHIRPS,7,OND,2.8386,4.7957,0.5919
gencast,TAMSAT,1,OND,3.0167,5.5587,0.5427
gencast,TAMSAT,3,OND,3.5756,4.5741,0.7817
gencast,TAMSAT,5,OND,4.2154,4.7563,0.8863
gencast,TAMSAT,7,OND,3.915,4.4536,0.8791
neuralgcm,TAMSAT,1,OND,2.0511,4.6229,0.4437
neuralgcm,TAMSAT,3,OND,2.3715,4.376,0.5419
neuralgcm,TAMSAT,5,OND,2.4029,4.3076,0.5578
neuralgcm,TAMSAT,7,OND,2.8405,4.3416,0.6543
