model,truth,lead_day,season,acc
fourcastnet,CHIRPS,1,annual,0.3849
fourcastnet,CHIRPS,3,annual,0.3816
fourcastnet,CHIRPS,5,annual,0.3687
fourcastnet,CHIRPS,7,annual,0.3352
gencast,CHIRPS,1,annual,0.4124
gencast,CHIRPS,3,annual,0.4648
gencast,CHIRPS,5,annual,0.4412
gencast,CHIRPS,7,annual,0.4227
graphcast,CHIRPS,1,annual,0.3168
graphcast,CHIRPS,3,annual,0.2647
graphcast,CHIRPS,5,annual,0.2216
graphcast,CHIRPS,7,annual,0.1518
neuralgcm,CHIRPS,1,annual,0.3854
neuralgcm,CHIRPS,3,annual,0.4128
neuralgcm,CHIRPS,5,annual,0.4198
neuralgcm,CHIRPS,7,annual,0.4118
fourcastnet,TAMSAT,1,annual,0.3212
fourcastnet,TAMSAT,3,annual,0.3338
fourcastnet,TAMSAT,5,annual,0.3383
fourcastnet,TAMSAT,7,annual,0.3138
gencast,TAMSAT,1,annual,0.3324
gencast,TAMSAT,3,annual,0.4105
gencast,TAMSAT,5,annual,0.3968
gencast,TAMSAT,7,annual,0.3861
graphcast,TAMSAT,1,annual,0.2813
graphcast,TAMSAT,3,annual,0.2485
graphcast,TAMSAT,5,annual,0.2279
graphcast,TAMSAT,7,annual,0.1548
neuralgcm,TAMSAT,1,annual,0.3223
neuralgcm,TAMSAT,3,annual,0.3524
neuralgcm,TAMSAT,5,annual,0.3675
neuralgcm,TAMSAT,7,annual,0.361
