model,obs,lead_day,threshold_mm_day,season,brier_score,event_rate,bss,reliability,resolution,uncertainty
gencast,CHIRPS,1,1,annual,0.15028605725289618,0.32063725456634656,0.31007148759796554,0.01509403037662238,0.08257253233511966,0.2176224021151825
gencast,CHIRPS,1,5,annual,0.11535027555763237,0.16177678899466413,0.14970083568621861,0.015194779557221984,0.03546142009965847,0.13538094459884317
gencast,CHIRPS,1,10,annual,0.07199806969368147,0.07568246528642408,-0.02889559432304667,0.012192720216050227,0.010174947988635741,0.06982975345155487
gencast,CHIRPS,1,20,annual,0.022024737049987933,0.0180667309039178,-0.2415683084988467,0.005197960199699161,0.0009198197773127116,0.01770985792371383
gencast,CHIRPS,3,1,annual,0.14277319665896304,0.31936702496691866,0.34331618511209894,0.01015243614370694,0.08470856065506388,0.2171646072759809
gencast,CHIRPS,3,5,annual,0.10665711969596237,0.1605455063346455,0.20892073879992967,0.008765506494769416,0.036875143815802154,0.1345468979408099
gencast,CHIRPS,3,10,annual,0.06563215801431517,0.0750188013113976,0.05444139354186528,0.006441759268366058,0.01021268855262798,0.06926584789498616
gencast,CHIRPS,3,20,annual,0.01889387550530787,0.01781713832736794,-0.07979127489168003,0.0022875772015069438,0.0008937384382394202,0.017468561132275653
gencast,CHIRPS,5,1,annual,0.1449712129142401,0.3183005586532221,0.33194498094510105,0.010262662400647953,0.08222136473839525,0.21677900395682806
gencast,CHIRPS,5,5,annual,0.10770540970061807,0.15987973948525336,0.1984264878413332,0.008982747125885971,0.035590827122932586,0.13409540372615525
gencast,CHIRPS,5,10,annual,0.06678379937181585,0.07456760741110778,0.032501217222019596,0.007439977467910466,0.009678716679537782,0.06888170360925963
gencast,CHIRPS,5,20,annual,0.01904063492190224,0.01748597834247556,-0.10840356473158175,0.0025447228797951626,0.0006857765546725694,0.017148387414431723
gencast,CHIRPS,7,1,annual,0.14558006042551844,0.31780644318377915,0.3286687297133143,0.009295345208562147,0.08048508211642193,0.21660027399003245
gencast,CHIRPS,7,5,annual,0.10819192319590785,0.1595381648575521,0.19348591591529507,0.008351604281765214,0.03425271602600012,0.13386561818573908
gencast,CHIRPS,7,10,annual,0.06689091868534494,0.07441960592762845,0.029133741611177877,0.0067830531712049615,0.008786191736740952,0.06875665310244407
gencast,CHIRPS,7,20,annual,0.018796995879994897,0.01732846257594396,-0.10420281080239224,0.0023362256339574316,0.000565184613556875,0.01699609642737103
gencast,ERA5,1,1,annual,0.08633368463199834,0.3341270100732183,0.612176679977663,0.005236298392352572,0.1412818510147189,0.22223249769548611
gencast,ERA5,1,5,annual,0.06758563786750531,0.16229886374761734,0.5033440547125586,0.002732900544184032,0.07102989093326358,0.1356864946543999
gencast,ERA5,1,10,annual,0.04658542317356398,0.07934138377797902,0.36281152501660285,0.0017062199935561257,0.028159136857142674,0.07291090563447791
gencast,ERA5,1,20,annual,0.01592646846313616,0.018681504482681324,0.13185513634842705,0.0015084757750956934,0.003923079800676643,0.018312551884216047
gencast,ERA5,3,1,annual,0.09155261955489818,0.33295643063696556,0.5880543672190919,0.00112194684885147,0.13157669332934388,0.22184130201670413
gencast,ERA5,3,5,annual,0.0724449213780721,0.160980910371972,0.46413231679690503,0.0008107939687987941,0.06337326588375207,0.1347944748745633
gencast,ERA5,3,10,annual,0.04965826659472341,0.07841610570593907,0.3134081551037654,0.0006881186380703998,0.02329476179993096,0.07213163663330903
gencast,ERA5,3,20,annual,0.015972386775502345,0.018366232029368747,0.11452080523972419,0.0006588474763088151,0.0027212162801557266,0.018008682348415156
gencast,ERA5,5,1,annual,0.09964447071810442,0.3319190798015065,0.5509377913918168,0.0013036615987105347,0.12333270025172881,0.22149331659521881
gencast,ERA5,5,5,annual,0.07652789214778374,0.15985927934497146,0.43068280615672805,0.0010191941823557789,0.05874465322662887,0.1340324206563901
gencast,ERA5,5,10,annual,0.05151124149209341,0.07759553221938463,0.2808624189492457,0.001126082553535905,0.021190339826488925,0.07143802772908116
gencast,ERA5,5,20,annual,0.016335032457092315,0.018051613380690473,0.07883526441236899,0.0008346077418520976,0.0022303556420998918,0.017704613673228294
gencast,ERA5,7,1,annual,0.10492328680982851,0.331530027468681,0.5268357747975306,0.0012736453034501755,0.1178954514361253,0.2213627314460456
gencast,ERA5,7,5,annual,0.08118400526438867,0.15927478162687717,0.39426933441267686,0.0011247318695094687,0.05381315294268385,0.13363560509128022
gencast,ERA5,7,10,annual,0.054215135463574635,0.07719165287065967,0.239455683465011,0.0012202888084437587,0.0182450181455308,0.0710976206149422
gencast,ERA5,7,20,annual,0.016794744486231278,0.017904681541562665,0.04512372140882759,0.0009018601942936275,0.0016943679569789453,0.01756299653357668
neuralgcm,CHIRPS,1,1,annual,0.16957965162757238,0.32063725456634656,0.22186361610930283,0.022521492282884262,0.07080398536255143,0.2176224021151825
neuralgcm,CHIRPS,1,5,annual,0.1335436090745759,0.16177678899466413,0.015992567711587524,0.025432019351592103,0.027597108274947792,0.13538094459884317
neuralgcm,CHIRPS,1,10,annual,0.08159269778108952,0.07568246528642408,-0.1653282806092693,0.017675676013408803,0.006130842939894041,0.06982975345155487
neuralgcm,CHIRPS,1,20,annual,0.021127749986286092,0.0180667309039178,-0.19032128686522976,0.0038845372539152117,0.0005139743036736094,0.01770985792371383
neuralgcm,CHIRPS,3,1,annual,0.15983517214466236,0.31936702496691866,0.26496079872325096,0.018733205952783764,0.07627331375104879,0.2171646072759809
neuralgcm,CHIRPS,3,5,annual,0.12208663643686783,0.1605455063346455,0.09483504680371868,0.017087857155801658,0.02984761851931352,0.1345468979408099
neuralgcm,CHIRPS,3,10,annual,0.07232330571441825,0.0750188013113976,-0.041468654874502686,0.009886713139674558,0.007014351598727571,0.06926584789498616
neuralgcm,CHIRPS,3,20,annual,0.018213390582881062,0.01781713832736794,-0.040502751091230804,0.0012447203360252083,0.0005371955525626987,0.017468561132275653
neuralgcm,CHIRPS,5,1,annual,0.1553742791100437,0.3183005586532221,0.28414887558254864,0.014742084856942686,0.07633959508118024,0.21677900395682806
neuralgcm,CHIRPS,5,5,annual,0.11715476592414456,0.15987973948525336,0.12828921631448675,0.012905315207765751,0.03010830946316892,0.13409540372615525
neuralgcm,CHIRPS,5,10,annual,0.06860889673026518,0.07456760741110778,0.0061407571911978875,0.006630053093038835,0.007053038909819355,0.06888170360925963
neuralgcm,CHIRPS,5,20,annual,0.017453531170723548,0.01748597834247556,-0.015681801034512333,0.0007122129210454992,0.00044329532154964657,0.017148387414431723
neuralgcm,CHIRPS,7,1,annual,0.1581696804370902,0.31780644318377915,0.2706736543370388,0.015464994554321997,0.07409298224560794,0.21660027399003245
neuralgcm,CHIRPS,7,5,annual,0.11689000540065637,0.1595381648575521,0.12886274725890312,0.01255396363586017,0.02980425495878589,0.13386561818573908
neuralgcm,CHIRPS,7,10,annual,0.06929343898793798,0.07441960592762845,-0.005423878966184237,0.007347692433837063,0.0069747646692894846,0.06875665310244407
neuralgcm,CHIRPS,7,20,annual,0.01752250937150506,0.01732846257594396,-0.02865268182742997,0.0009428103463437531,0.000455826603101971,0.01699609642737103
neuralgcm,ERA5,1,1,annual,0.1310122489445578,0.3341270100732183,0.4114432846741627,0.009616859291918682,0.10105292810509278,0.22223249769548611
neuralgcm,ERA5,1,5,annual,0.10184218855806063,0.16229886374761734,0.2515179233177711,0.011771616036990463,0.04589920139473297,0.1356864946543999
neuralgcm,ERA5,1,10,annual,0.07093324380365848,0.07934138377797902,0.029765663233546125,0.010627702741878785,0.012797944205047509,0.07291090563447791
neuralgcm,ERA5,1,20,annual,0.020272303928661393,0.018681504482681324,-0.10515660811679983,0.0029707616987691855,0.0010450758566621133,0.018312551884216047
neuralgcm,ERA5,3,1,annual,0.13688613250193035,0.33295643063696556,0.3836881250139359,0.010385950149269248,0.09550382337070874,0.22184130201670413
neuralgcm,ERA5,3,5,annual,0.09917714679999055,0.160980910371972,0.26623233018023706,0.00766410182683447,0.043550748968110876,0.1347944748745633
neuralgcm,ERA5,3,10,annual,0.06337215213337895,0.07841610570593907,0.12380040949582394,0.004395226515344268,0.013325152668151895,0.07213163663330903
neuralgcm,ERA5,3,20,annual,0.017613806703432898,0.018366232029368747,0.023391725964841736,0.0006820073992832769,0.0011032615617652855,0.018008682348415156
neuralgcm,ERA5,5,1,annual,0.13304618420339276,0.3319190798015065,0.40015587748276904,0.00754839886705998,0.09618025132578856,0.22149331659521881
neuralgcm,ERA5,5,5,annual,0.09664022260362218,0.15985927934497146,0.2809143625324053,0.005341093321997576,0.042992725329362595,0.1340324206563901
neuralgcm,ERA5,5,10,annual,0.06167469546700675,0.07759553221938463,0.1387737045756633,0.0027444922475276896,0.012658212003071243,0.07143802772908116
neuralgcm,ERA5,5,20,annual,0.01724646508176918,0.018051613380690473,0.027228897632975757,0.00038370486345213803,0.0008657819767918537,0.017704613673228294
neuralgcm,ERA5,7,1,annual,0.13346955265597943,0.331530027468681,0.3978906575208728,0.007712185573528606,0.09579034833921209,0.2213627314460456
neuralgcm,ERA5,7,5,annual,0.0987014184036626,0.15927478162687717,0.26342002358678973,0.0056964945476984325,0.040898788792878386,0.13363560509128022
neuralgcm,ERA5,7,10,annual,0.06359192746732974,0.07719165287065967,0.10787479739719807,0.0036305492283390996,0.011300190647598844,0.0710976206149422
neuralgcm,ERA5,7,20,annual,0.017469885935190093,0.017904681541562665,0.006780601016939225,0.0006272246359222027,0.0007463123080782731,0.01756299653357668
