n,obs_mean,fc_mean,bias,mae,rmse,pooled_corr,model,obs,lead_day,season
183808,2.4195607336917466,1.5528305592832548,-0.8667301744084916,2.1447302406845283,5.007176700720715,0.44824461050112563,fourcastnet,CHIRPS,1,annual
183808,2.4195607336917466,2.34223359090817,-0.0773271427835766,2.3309517266926942,5.746766850514306,0.4511780100315645,gencast,CHIRPS,1,annual
183808,2.4195607336917466,2.2960144230960156,-0.12354631059573103,2.600424722581714,5.809210577096164,0.3594735213961609,graphcast,CHIRPS,1,annual
183808,2.4195607336917466,2.441251414767586,0.021690681075839057,2.4669556056540802,5.186446438511674,0.4394137662279597,neuralgcm,CHIRPS,1,annual
183808,2.4037401141973795,1.6473449026861051,-0.7563952115112749,2.1515665890374995,4.974382642235513,0.4446808487928577,fourcastnet,CHIRPS,3,annual
183808,2.4037401141973795,2.353438863525774,-0.05030125067160576,2.218691169086349,4.938733555498069,0.5074731634250111,gencast,CHIRPS,3,annual
183808,2.4037401141973795,2.121345715116767,-0.28239439908061387,2.603315290812682,5.3963533841879645,0.32237238938198903,graphcast,CHIRPS,3,annual
183808,2.4037401141973795,2.4705753696308452,0.0668352554334646,2.3872944052074363,4.948404512181696,0.4637747282151498,neuralgcm,CHIRPS,3,annual
183808,2.3877707845871874,1.615999211956828,-0.7717715726303588,2.1598335385600085,4.968743282443826,0.4332157693581142,fourcastnet,CHIRPS,5,annual
183808,2.3877707845871874,2.490109605076622,0.10233882048943463,2.2921823775262777,5.042404182568456,0.4867331105767685,gencast,CHIRPS,5,annual
183808,2.3877707845871874,2.5340123987850838,0.1462416141978969,2.856466005408111,5.482594174573925,0.28886427472358395,graphcast,CHIRPS,5,annual
183808,2.3877707845871874,2.290183004578606,-0.0975877800085815,2.2928674978266,4.818277479578467,0.46946846254926833,neuralgcm,CHIRPS,5,annual
183808,2.3805532380937757,1.580384354184455,-0.8001688839093203,2.1919908813037354,5.044651122704724,0.40177673516315443,fourcastnet,CHIRPS,7,annual
183808,2.3805532380937757,2.4622361195313585,0.08168288143758266,2.310357864242167,5.015773912490833,0.47091590566988023,gencast,CHIRPS,7,annual
183808,2.3805532380937757,2.9064129819012376,0.525859743807462,3.16678070495034,5.750832431444291,0.23535169675514936,graphcast,CHIRPS,7,annual
183808,2.3805532380937757,2.4631575799800305,0.0826043418862548,2.3768674795969496,4.8535811332033205,0.4631705932670741,neuralgcm,CHIRPS,7,annual
183808,2.522236595186288,1.5528305592832548,-0.9694060359030332,1.684447156840666,4.323141122604775,0.6557936245924173,fourcastnet,ERA5,1,annual
183808,2.522236595186288,2.34223359090817,-0.18000300427811783,1.5062498208068362,4.160907995600082,0.7204049992320505,gencast,ERA5,1,annual
183808,2.522236595186288,2.2960144230960156,-0.22622217209027226,2.1160922539356495,5.056980196355853,0.5340378492293782,graphcast,ERA5,1,annual
183808,2.522236595186288,2.441251414767586,-0.08098518041870217,2.075794207710698,4.6943688474497405,0.567845537941831,neuralgcm,ERA5,1,annual
183808,2.5031643166022137,1.6473449026861051,-0.8558194139161083,1.7186798554780596,4.413545049644624,0.6254442175571925,fourcastnet,ERA5,3,annual
183808,2.5031643166022137,2.353438863525774,-0.14972545307643922,1.6267799698725858,3.981559872407954,0.7022577699556538,gencast,ERA5,3,annual
183808,2.5031643166022137,2.121345715116767,-0.3818186014854473,2.3003762169084627,5.05642664604928,0.44995302085716293,graphcast,ERA5,3,annual
183808,2.5031643166022137,2.4705753696308452,-0.03258894697136889,2.0877036164240432,4.5902353210970865,0.5711946614884215,neuralgcm,ERA5,3,annual
183808,2.4838024001338845,1.615999211956828,-0.8678031881770565,1.75381804878217,4.452986147127552,0.6102948070936283,fourcastnet,ERA5,5,annual
183808,2.4838024001338845,2.490109605076622,0.00630720494273704,1.7385829400727097,4.176704675140384,0.6680106379786197,gencast,ERA5,5,annual
183808,2.4838024001338845,2.5340123987850838,0.05020999865119935,2.6130610809928885,5.2265594231707855,0.39465731326596143,graphcast,ERA5,5,annual
183808,2.4838024001338845,2.290183004578606,-0.19361939555527904,2.0366958649346785,4.551725313690721,0.566996409355596,neuralgcm,ERA5,5,annual
183808,2.4749686415931818,1.580384354184455,-0.8945842874087265,1.8113982869969092,4.600591493774015,0.5709518455376146,fourcastnet,ERA5,7,annual
183808,2.4749686415931818,2.4622361195313585,-0.01273252206182344,1.834629073137316,4.318526778658204,0.6335622326111284,gencast,ERA5,7,annual
183808,2.4749686415931818,2.9064129819012376,0.43144434030805584,2.98519500214448,5.582174451497587,0.31556090822749916,graphcast,ERA5,7,annual
183808,2.4749686415931818,2.4631575799800305,-0.011811061613151264,2.13058931590311,4.614674423235603,0.5512789813128167,neuralgcm,ERA5,7,annual
183449,2.3339287671591733,1.5554422715751863,-0.7784864955839876,2.219779024925681,4.927799985847184,0.3793567503075934,fourcastnet,TAMSAT,1,annual
183449,2.3339287671591733,2.346210007357983,0.012281240198808678,2.5132936377108868,5.936732280125106,0.37271588521991666,gencast,TAMSAT,1,annual
183449,2.3339287671591733,2.299534235206307,-0.03439453195286637,2.679201470579712,5.7245663401823546,0.32186333680839563,graphcast,TAMSAT,1,annual
183449,2.3339287671591733,2.4450457887609893,0.11111702160181551,2.5868505208218715,5.18169363706241,0.3764088828636472,neuralgcm,TAMSAT,1,annual
183449,2.3141169414054357,1.6502690675575864,-0.6638478738478492,2.1971414829898452,4.822058194262127,0.3932108168577925,fourcastnet,TAMSAT,3,annual
183449,2.3141169414054357,2.357063807926089,0.04294686652065335,2.3273191645086158,4.931349931838686,0.4540897168266012,gencast,TAMSAT,3,annual
183449,2.3141169414054357,2.1246288360483443,-0.1894881053570909,2.6094710801583956,5.13982656000915,0.30286171853811916,graphcast,TAMSAT,3,annual
183449,2.3141169414054357,2.47442425288723,0.16030731148179522,2.481888552285284,4.884968245973236,0.4061596502550344,neuralgcm,TAMSAT,3,annual
183449,2.2990649629832673,1.6189489264088763,-0.680116036574391,2.1858064629257687,4.76180600165078,0.399063964115351,fourcastnet,TAMSAT,5,annual
183449,2.2990649629832673,2.494067577018487,0.19500261403522032,2.390582652361838,5.000667271945975,0.4443954849265089,gencast,TAMSAT,5,annual
183449,2.2990649629832673,2.5380635854295477,0.23899862244628015,2.843632469031,5.151575925821739,0.29744885277916633,graphcast,TAMSAT,5,annual
183449,2.2990649629832673,2.2937173212107527,-0.0053476417725144346,2.3685490726042295,4.710106968008323,0.41735039010426345,neuralgcm,TAMSAT,5,annual
183449,2.293005868044822,1.583267989947782,-0.7097378780970404,2.199611251583986,4.8065558774544055,0.37706748594952616,fourcastnet,TAMSAT,7,annual
183449,2.293005868044822,2.466237655371303,0.17323178732648026,2.384101209543492,4.924294077829908,0.4362645389963393,gencast,TAMSAT,7,annual
183449,2.293005868044822,2.911096561581655,0.6180906935368329,3.1481838540162594,5.439659577752327,0.24463563739218422,graphcast,TAMSAT,7,annual
183449,2.293005868044822,2.4668209057456694,0.17381503770084775,2.459202346739182,4.760783290047183,0.413555049444868,neuralgcm,TAMSAT,7,annual
