hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,observed_event_rate,forecast_event_rate,model,obs,lead_day,threshold_mm_day,season
38461,20369,16489,108489,0.6537650858405576,0.3000727934485896,0.5106414052231176,0.9340472548019718,0.3200622388579387,0.29895325557103064,fourcastnet,CHIRPS,1,1,annual
9615,20060,7715,146418,0.3240101095197978,0.4451817657241777,0.25715431933672106,0.5839932603201348,0.1614456389275766,0.09428316504178273,fourcastnet,CHIRPS,1,5,annual
2331,11553,3606,166318,0.16789109766637855,0.607377463365336,0.1332761578044597,0.42761452031114955,0.07553534122562675,0.03230000870473538,fourcastnet,CHIRPS,1,10,annual
203,3112,672,179821,0.061236802413273,0.768,0.0509154752947078,0.26395173453996984,0.01803512360724234,0.004760402158774373,fourcastnet,CHIRPS,1,20,annual
42359,16471,17471,107507,0.7200237973822879,0.29201069697476184,0.5551565510281647,1.0169981302056774,0.3200622388579387,0.3255026984679666,gencast,CHIRPS,1,1,annual
14887,14788,12236,141897,0.5016680707666386,0.4511300372377687,0.35520507742597407,0.9140016849199663,0.1614456389275766,0.14756158600278552,gencast,CHIRPS,1,5,annual
4661,9223,7940,161984,0.3357101699798329,0.6301087215300373,0.21357221407624633,0.9075914721982138,0.07553534122562675,0.068555231545961,gencast,CHIRPS,1,10,annual
552,2763,2319,178174,0.1665158371040724,0.8077324973876698,0.0979765708200213,0.8660633484162896,0.01803512360724234,0.015619559540389972,gencast,CHIRPS,1,20,annual
42475,16355,24009,100969,0.7219955804861465,0.36112448107815415,0.5127415830707759,1.1301036885942546,0.3200622388579387,0.3617035167130919,graphcast,CHIRPS,1,1,annual
11218,18457,12384,141749,0.3780286436394271,0.5247012965002966,0.2667205592144369,0.7953496208930075,0.1614456389275766,0.12840572771587744,graphcast,CHIRPS,1,5,annual
3028,10856,7145,162779,0.21809276865456642,0.7023493561387988,0.1439916306053545,0.732713915298185,0.07553534122562675,0.05534579561281337,graphcast,CHIRPS,1,10,annual
