model,obs,lead_day,season,n,delta_flatness
gencast,CHIRPS,1,annual,183808,1.0691054431302307
gencast,CHIRPS,3,annual,183808,1.0028070576501775
gencast,CHIRPS,5,annual,183808,0.9614130091439892
gencast,CHIRPS,7,annual,183808,0.9126506524042571
gencast,ERA5,1,annual,183808,0.33840032196014075
gencast,ERA5,3,annual,183808,0.25783957688493914
gencast,ERA5,5,annual,183808,0.26442483004528666
gencast,ERA5,7,annual,183808,0.2254922249974188
gencast,TAMSAT,1,annual,183449,1.1796121201355345
gencast,TAMSAT,3,annual,183449,1.125258445054363
gencast,TAMSAT,5,annual,183449,1.0898435660213546
gencast,TAMSAT,7,annual,183449,1.0346830909161344
neuralgcm,CHIRPS,1,annual,183808,0.928981091299867
neuralgcm,CHIRPS,3,annual,183808,0.7563078136511007
neuralgcm,CHIRPS,5,annual,183808,0.7349178365528118
neuralgcm,CHIRPS,7,annual,183808,0.7161091550766151
neuralgcm,ERA5,1,annual,183808,0.4497330694839988
neuralgcm,ERA5,3,annual,183808,0.30323336222474323
neuralgcm,ERA5,5,annual,183808,0.2620774226785112
neuralgcm,ERA5,7,annual,183808,0.23111803377545853
neuralgcm,TAMSAT,1,annual,183449,1.0406769218055363
neuralgcm,TAMSAT,3,annual,183449,0.8550283000830219
neuralgcm,TAMSAT,5,annual,183449,0.8367070607261009
neuralgcm,TAMSAT,7,annual,183449,0.8222403746034964
