model,obs,lead_day,threshold_mm_day,season,forecast_probability,observed_frequency,count,abs_calibration_gap,weighted_abs_gap,ece
gencast,CHIRPS,1,1,annual,0.0,0.08302889746326246,97448,0.08302889746326246,0.04401875870473538,0.113088113683844
gencast,CHIRPS,1,1,annual,0.1,0.27410438653169644,13929,0.17410438653169644,0.013193658600278551,0.113088113683844
gencast,CHIRPS,1,1,annual,0.2,0.36068310220852595,7788,0.16068310220852594,0.006808191155988858,0.113088113683844
gencast,CHIRPS,1,1,annual,0.3,0.42665098302806254,5951,0.12665098302806255,0.004100474408077996,0.113088113683844
gencast,CHIRPS,1,1,annual,0.4,0.5032132424537488,5135,0.10321324245374874,0.002883443593314762,0.113088113683844
gencast,CHIRPS,1,1,annual,0.5,0.5414402173913043,4416,0.041440217391304324,0.000995604108635097,0.113088113683844
gencast,CHIRPS,1,1,annual,0.6,0.5856697819314641,4494,0.01433021806853585,0.0003503655988857944,0.113088113683844
gencast,CHIRPS,1,1,annual,0.7,0.6328449595451564,4573,0.06715504045484355,0.001670765146239552,0.113088113683844
gencast,CHIRPS,1,1,annual,0.8,0.6664249456127629,5516,0.13357505438723716,0.004008530640668525,0.113088113683844
gencast,CHIRPS,1,1,annual,0.9,0.7140668523676881,7180,0.18593314763231195,0.007263013579387185,0.113088113683844
gencast,CHIRPS,1,1,annual,1.0,0.8133903133903134,27378,0.18660968660968658,0.027795308147632307,0.113088113683844
gencast,CHIRPS,1,5,annual,0.0,0.053750615038244194,134138,0.053750615038244194,0.03922571378830084,0.09081487204038997
gencast,CHIRPS,1,5,annual,0.1,0.2774885145482389,9795,0.1774885145482389,0.009458239032033426,0.09081487204038997
gencast,CHIRPS,1,5,annual,0.2,0.35779187382136124,5833,0.15779187382136123,0.005007399025069637,0.09081487204038997
gencast,CHIRPS,1,5,annual,0.3,0.38094170403587446,4460,0.08094170403587447,0.001964005919220057,0.09081487204038997
gencast,CHIRPS,1,5,annual,0.4,0.4380475594493116,3995,0.038047559449311597,0.000826949860724233,0.09081487204038997
gencast,CHIRPS,1,5,annual,0.5,0.4464892412231031,3532,0.05351075877689693,0.0010282468662952645,0.09081487204038997
gencast,CHIRPS,1,5,annual,0.6,0.5034986309704899,3287,0.09650136902951012,0.0017257137883008344,0.09081487204038997
gencast,CHIRPS,1,5,annual,0.7,0.5125968992248062,3096,0.18740310077519373,0.00315655466573816,0.09081487204038997
gencast,CHIRPS,1,5,annual,0.8,0.5411373260738052,3306,0.2588626739261949,0.0046559453342618394,0.09081487204038997
gencast,CHIRPS,1,5,annual,0.9,0.5671566142929549,3946,0.3328433857070451,0.007145499651810584,0.09081487204038997
gencast,CHIRPS,1,5,annual,1.0,0.6371733966745843,8420,0.3628266033254157,0.0166206041086351,0.09081487204038997
gencast,CHIRPS,1,10,annual,0.0,0.03227738542647088,151933,0.03227738542647088,0.0266800139275766,0.05989674007660167
gencast,CHIRPS,1,10,annual,0.1,0.1944960520204366,8612,0.0944960520204366,0.004427446030640669,0.05989674007660167
gencast,CHIRPS,1,10,annual,0.2,0.2296804632211023,4663,0.029680463221102293,0.0007529596100278551,0.05989674007660167
gencast,CHIRPS,1,10,annual,0.3,0.2373723433618548,3623,0.06262765663814518,0.0012344402855153202,0.05989674007660167
gencast,CHIRPS,1,10,annual,0.4,0.2858158549591184,2813,0.11418414504088165,0.0017474756267409474,0.05989674007660167
gencast,CHIRPS,1,10,annual,0.5,0.30300465509944985,2363,0.19699534490055015,0.0025325339484679665,0.05989674007660167
gencast,CHIRPS,1,10,annual,0.6,0.3445378151260504,1904,0.25546218487394956,0.0026462395543175483,0.05989674007660167
gencast,CHIRPS,1,10,annual,0.7,0.35733919736118747,1819,0.3426608026388125,0.0033910384749303614,0.05989674007660167
gencast,CHIRPS,1,10,annual,0.8,0.3684210526315789,1653,0.4315789473684211,0.0038812238857938723,0.05989674007660167
