country,model,lead_day,obs,bias,mae,rmse,pooled_corr,crps,n_pairs,n_cells
Kenya,fourcastnet,1,CHIRPS,-1.8999,3.2079,7.0891,0.4908,,4416,48
Ethiopia,fourcastnet,1,CHIRPS,-0.6160,2.8003,5.5932,0.4151,,8280,90
Tanzania,fourcastnet,1,CHIRPS,-2.1694,3.8317,7.7735,0.4009,,6900,75
Somalia,fourcastnet,1,CHIRPS,-1.4590,1.8651,4.9560,0.3380,,3588,39
Uganda,fourcastnet,1,CHIRPS,-1.5648,3.0268,4.7976,0.3326,,1840,20
Rwanda,fourcastnet,1,CHIRPS,-1.3691,3.0269,6.8430,0.2508,,92,1
Burundi,fourcastnet,1,CHIRPS,-1.3944,4.1053,7.1059,0.3742,,184,2
Kenya,fourcastnet,3,CHIRPS,-1.7050,3.2047,6.9777,0.5055,,4416,48
Ethiopia,fourcastnet,3,CHIRPS,0.0285,3.0780,5.7791,0.4003,,8280,90
Tanzania,fourcastnet,3,CHIRPS,-2.1643,3.7172,7.7330,0.3898,,6900,75
Somalia,fourcastnet,3,CHIRPS,-1.3840,1.8443,4.8066,0.4329,,3588,39
Uganda,fourcastnet,3,CHIRPS,-1.0897,3.1121,4.7604,0.3244,,1840,20
Rwanda,fourcastnet,3,CHIRPS,-0.7652,3.2369,6.6004,0.3184,,92,1
Burundi,fourcastnet,3,CHIRPS,-1.0263,4.3594,7.0503,0.3734,,184,2
Kenya,fourcastnet,5,CHIRPS,-1.5107,3.2017,6.8622,0.5153,,4416,48
Ethiopia,fourcastnet,5,CHIRPS,0.1463,3.1066,5.7634,0.4081,,8280,90
Tanzania,fourcastnet,5,CHIRPS,-1.6012,3.5422,7.3077,0.4211,,6900,75
Somalia,fourcastnet,5,CHIRPS,-1.3531,1.8479,4.7888,0.4414,,3588,39
Uganda,fourcastnet,5,CHIRPS,-0.8755,3.1890,4.7585,0.3009,,1840,20
Rwanda,fourcastnet,5,CHIRPS,-0.0458,3.5304,6.5670,0.3238,,92,1
Burundi,fourcastnet,5,CHIRPS,-0.0790,4.5783,7.1163,0.3235,,184,2
Kenya,fourcastnet,7,CHIRPS,-1.5294,3.3346,7.1275,0.4523,,4416,48
Ethiopia,fourcastnet,7,CHIRPS,0.2004,3.1855,5.8834,0.3784,,8280,90
Tanzania,fourcastnet,7,CHIRPS,-1.7734,3.6182,7.5475,0.3603,,6900,75
Somalia,fourcastnet,7,CHIRPS,-1.3024,1.8749,4.8984,0.3451,,3588,39
Uganda,fourcastnet,7,CHIRPS,-1.1149,3.2364,4.8359,0.2839,,1840,20
Rwanda,fourcastnet,7,CHIRPS,-0.0589,3.5579,6.6440,0.2976,,92,1
Burundi,fourcastnet,7,CHIRPS,0.3353,4.9920,7.5961,0.2241,,184,2
Kenya,gencast,1,CHIRPS,-0.6627,3.4335,7.4780,0.4751,2.6290,4416,48
Ethiopia,gencast,1,CHIRPS,-0.3444,3.0471,6.3432,0.3638,2.3361,8280,90
Tanzania,gencast,1,CHIRPS,-0.1057,4.2568,10.1508,0.3373,3.2305,6900,75
Somalia,gencast,1,CHIRPS,-0.3750,1.9422,5.4374,0.3695,1.5193,3588,39
Uganda,gencast,1,CHIRPS,1.1420,3.8936,6.2328,0.3733,2.7119,1840,20
Rwanda,gencast,1,CHIRPS,-0.6900,3.2913,6.5318,0.3593,2.3970,92,1
Burundi,gencast,1,CHIRPS,-0.7649,4.3068,7.0670,0.4095,3.2962,184,2
Kenya,gencast,3,CHIRPS,-0.5143,3.1615,6.3912,0.5884,2.2568,4416,48
Ethiopia,gencast,3,CHIRPS,-0.5305,2.7632,5.5048,0.4404,2.0190,8280,90
Tanzania,gencast,3,CHIRPS,-0.4544,3.7897,7.5573,0.4447,2.7595,6900,75
Somalia,gencast,3,CHIRPS,-0.3682,1.9081,4.3998,0.4910,1.3848,3588,39
Uganda,gencast,3,CHIRPS,0.6147,3.3874,5.2439,0.3854,2.1871,1840,20
Rwanda,gencast,3,CHIRPS,-1.5039,3.0434,6.6573,0.3524,2.3864,92,1
Burundi,gencast,3,CHIRPS,-1.7331,3.9042,6.8417,0.4759,3.0209,184,2
Kenya,gencast,5,CHIRPS,-1.1131,3.0774,6.4568,0.5817,2.2777,4416,48
Ethiopia,gencast,5,CHIRPS,-0.6133,2.8383,5.6489,0.3936,2.0772,8280,90
Tanzania,gencast,5,CHIRPS,-0.0385,3.7887,7.5281,0.4301,2.5506,6900,75
Somalia,gencast,5,CHIRPS,-0.2107,1.8744,4.2905,0.5202,1.3301,3588,39
Uganda,gencast,5,CHIRPS,0.9448,3.6311,5.3007,0.3283,2.3569,1840,20
Rwanda,gencast,5,CHIRPS,-1.0813,3.0230,6.4716,0.3992,2.2239,92,1
Burundi,gencast,5,CHIRPS,-0.6577,3.9027,6.5242,0.4917,2.7076,184,2
Kenya,gencast,7,CHIRPS,-0.6483,3.3263,6.7902,0.5043,2.3267,4416,48
Ethiopia,gencast,7,CHIRPS,-0.1477,3.0681,6.0018,0.3606,2.1410,8280,90
