model,truth,lead_day,season,acc
fourcastnet,CHIRPS,1,annual,0.3564
fourcastnet,CHIRPS,3,annual,0.3548
fourcastnet,CHIRPS,5,annual,0.3491
fourcastnet,CHIRPS,7,annual,0.3142
gencast,CHIRPS,1,annual,0.3793
gencast,CHIRPS,3,annual,0.4373
gencast,CHIRPS,5,annual,0.4116
gencast,CHIRPS,7,annual,0.3954
graphcast,CHIRPS,1,annual,0.2875
graphcast,CHIRPS,3,annual,0.2379
graphcast,CHIRPS,5,annual,0.2031
graphcast,CHIRPS,7,annual,0.1416
neuralgcm,CHIRPS,1,annual,0.3447
neuralgcm,CHIRPS,3,annual,0.3741
neuralgcm,CHIRPS,5,annual,0.3837
neuralgcm,CHIRPS,7,annual,0.3788
fourcastnet,TAMSAT,1,annual,0.2901
fourcastnet,TAMSAT,3,annual,0.3036
fourcastnet,TAMSAT,5,annual,0.3141
fourcastnet,TAMSAT,7,annual,0.2897
gencast,TAMSAT,1,annual,0.3024
gencast,TAMSAT,3,annual,0.3852
gencast,TAMSAT,5,annual,0.3743
gencast,TAMSAT,7,annual,0.3643
graphcast,TAMSAT,1,annual,0.2527
graphcast,TAMSAT,3,annual,0.2249
graphcast,TAMSAT,5,annual,0.2091
graphcast,TAMSAT,7,annual,0.1472
neuralgcm,TAMSAT,1,annual,0.2817
neuralgcm,TAMSAT,3,annual,0.3167
neuralgcm,TAMSAT,5,annual,0.3358
neuralgcm,TAMSAT,7,annual,0.3369
fourcastnet,CHIRPS,1,MAM,0.393
fourcastnet,CHIRPS,3,MAM,0.3808
fourcastnet,CHIRPS,5,MAM,0.3905
fourcastnet,CHIRPS,7,MAM,0.3293
gencast,CHIRPS,1,MAM,0.4104
gencast,CHIRPS,3,MAM,0.4714
gencast,CHIRPS,5,MAM,0.4468
gencast,CHIRPS,7,MAM,0.4228
graphcast,CHIRPS,1,MAM,0.336
graphcast,CHIRPS,3,MAM,0.27
graphcast,CHIRPS,5,MAM,0.2157
graphcast,CHIRPS,7,MAM,0.1315
neuralgcm,CHIRPS,1,MAM,0.3913
neuralgcm,CHIRPS,3,MAM,0.398
neuralgcm,CHIRPS,5,MAM,0.3977
neuralgcm,CHIRPS,7,MAM,0.3875
fourcastnet,TAMSAT,1,MAM,0.3274
fourcastnet,TAMSAT,3,MAM,0.3257
fourcastnet,TAMSAT,5,MAM,0.3524
fourcastnet,TAMSAT,7,MAM,0.3041
gencast,TAMSAT,1,MAM,0.3371
gencast,TAMSAT,3,MAM,0.425
gencast,TAMSAT,5,MAM,0.4135
gencast,TAMSAT,7,MAM,0.3925
graphcast,TAMSAT,1,MAM,0.3071
graphcast,TAMSAT,3,MAM,0.2517
graphcast,TAMSAT,5,MAM,0.2231
graphcast,TAMSAT,7,MAM,0.1416
neuralgcm,TAMSAT,1,MAM,0.3388
neuralgcm,TAMSAT,3,MAM,0.3427
neuralgcm,TAMSAT,5,MAM,0.3579
neuralgcm,TAMSAT,7,MAM,0.3598
fourcastnet,CHIRPS,1,JJAS,0.3361
fourcastnet,CHIRPS,3,JJAS,0.3264
fourcastnet,CHIRPS,5,JJAS,0.3137
fourcastnet,CHIRPS,7,JJAS,0.3105
gencast,CHIRPS,1,JJAS,0.365
gencast,CHIRPS,3,JJAS,0.4062
gencast,CHIRPS,5,JJAS,0.4056
gencast,CHIRPS,7,JJAS,0.3882
graphcast,CHIRPS,1,JJAS,0.2564
graphcast,CHIRPS,3,JJAS,0.251
graphcast,CHIRPS,5,JJAS,0.2255
graphcast,CHIRPS,7,JJAS,0.1722
neuralgcm,CHIRPS,1,JJAS,0.2692
neuralgcm,CHIRPS,3,JJAS,0.3764
neuralgcm,CHIRPS,5,JJAS,0.4025
neuralgcm,CHIRPS,7,JJAS,0.3974
fourcastnet,TAMSAT,1,JJAS,0.2506
fourcastnet,TAMSAT,3,JJAS,0.2603
fourcastnet,TAMSAT,5,JJAS,0.2596
fourcastnet,TAMSAT,7,JJAS,0.2608
gencast,TAMSAT,1,JJAS,0.2776
gencast,TAMSAT,3,JJAS,0.3425
gencast,TAMSAT,5,JJAS,0.3473
gencast,TAMSAT,7,JJAS,0.3367
graphcast,TAMSAT,1,JJAS,0.1979
graphcast,TAMSAT,3,JJAS,0.214
graphcast,TAMSAT,5,JJAS,0.197
graphcast,TAMSAT,7,JJAS,0.1437
neuralgcm,TAMSAT,1,JJAS,0.1704
neuralgcm,TAMSAT,3,JJAS,0.2869
neuralgcm,TAMSAT,5,JJAS,0.3178
neuralgcm,TAMSAT,7,JJAS,0.3085
fourcastnet,CHIRPS,1,OND,0.3259
fourcastnet,CHIRPS,3,OND,0.3607
fourcastnet,CHIRPS,5,OND,0.3353
fourcastnet,CHIRPS,7,OND,0.3079
gencast,CHIRPS,1,OND,0.3409
gencast,CHIRPS,3,OND,0.4163
gencast,CHIRPS,5,OND,0.3682
gencast,CHIRPS,7,OND,0.3708
graphcast,CHIRPS,1,OND,0.2289
graphcast,CHIRPS,3,OND,0.1733
graphcast,CHIRPS,5,OND,0.1586
graphcast,CHIRPS,7,OND,0.1303
neuralgcm,CHIRPS,1,OND,0.3331
neuralgcm,CHIRPS,3,OND,0.3309
neuralgcm,CHIRPS,5,OND,0.3408
neuralgcm,CHIRPS,7,OND,0.3519
fourcastnet,TAMSAT,1,OND,0.2753
fourcastnet,TAMSAT,3,OND,0.3322
fourcastnet,TAMSAT,5,OND,0.325
fourcastnet,TAMSAT,7,OND,0.3118
gencast,TAMSAT,1,OND,0.265
gencast,TAMSAT,3,OND,0.366
gencast,TAMSAT,5,OND,0.3445
gencast,TAMSAT,7,OND,0.3552
graphcast,TAMSAT,1,OND,0.2013
graphcast,TAMSAT,3,OND,0.1913
graphcast,TAMSAT,5,OND,0.1991
graphcast,TAMSAT,7,OND,0.1641
neuralgcm,TAMSAT,1,OND,0.2882
neuralgcm,TAMSAT,3,OND,0.3021
neuralgcm,TAMSAT,5,OND,0.3167
neuralgcm,TAMSAT,7,OND,0.3343
fourcastnet,CHIRPS,1,JF,
fourcastnet,CHIRPS,3,JF,
fourcastnet,CHIRPS,5,JF,
fourcastnet,CHIRPS,7,JF,
gencast,CHIRPS,1,JF,
gencast,CHIRPS,3,JF,
gencast,CHIRPS,5,JF,
gencast,CHIRPS,7,JF,
graphcast,CHIRPS,1,JF,
graphcast,CHIRPS,3,JF,
graphcast,CHIRPS,5,JF,
graphcast,CHIRPS,7,JF,
neuralgcm,CHIRPS,1,JF,
neuralgcm,CHIRPS,3,JF,
neuralgcm,CHIRPS,5,JF,
neuralgcm,CHIRPS,7,JF,
fourcastnet,TAMSAT,1,JF,
fourcastnet,TAMSAT,3,JF,
fourcastnet,TAMSAT,5,JF,
fourcastnet,TAMSAT,7,JF,
gencast,TAMSAT,1,JF,
gencast,TAMSAT,3,JF,
gencast,TAMSAT,5,JF,
gencast,TAMSAT,7,JF,
graphcast,TAMSAT,1,JF,
graphcast,TAMSAT,3,JF,
graphcast,TAMSAT,5,JF,
graphcast,TAMSAT,7,JF,
neuralgcm,TAMSAT,1,JF,
neuralgcm,TAMSAT,3,JF,
neuralgcm,TAMSAT,5,JF,
neuralgcm,TAMSAT,7,JF,
