model,obs,lead_day,threshold_mm_day,season,brier_score,event_rate,bss,reliability,resolution,uncertainty
gencast,CHIRPS,1,1,annual,0.15995882302377876,0.3288791524688377,0.27510097161767333,0.01715358111535944,0.0778174462259687,0.22051490677727592
gencast,CHIRPS,1,5,annual,0.12010304568971422,0.16155768415866165,0.11341214304584302,0.016485145862993416,0.03181845779163654,0.1351999134911431
gencast,CHIRPS,1,10,annual,0.07208822198982621,0.07329677058327266,-0.061320643425559096,0.012616109053655247,0.00846095730499802,0.06776105918884277
gencast,CHIRPS,1,20,annual,0.02036251490780506,0.016263341861534317,-0.27325511695381866,0.005016027544963061,0.0006581158628341553,0.015948143005371094
gencast,CHIRPS,3,1,annual,0.1507298990434475,0.32746782737855984,0.31555643262045563,0.011199477369270565,0.08063084216058992,0.22002836137658424
gencast,CHIRPS,3,5,annual,0.11007952835981114,0.16064413064806707,0.18364323168156604,0.009132054328416088,0.03384693328284695,0.1345809411440004
gencast,CHIRPS,3,10,annual,0.06550252534048713,0.07282441008903924,0.029840356544088342,0.006567345913096933,0.008577348323705873,0.06735852527898643
gencast,CHIRPS,3,20,annual,0.0174672015088227,0.01615563761079568,-0.09943985779182296,0.002223926823392483,0.0006483763594150091,0.015844254999598684
gencast,CHIRPS,5,1,annual,0.15247347106995007,0.3262251386498853,0.30622306975441194,0.011231912184314905,0.07847791933586577,0.21959810933082718
gencast,CHIRPS,5,5,annual,0.11138342824335445,0.16013251904626039,0.17182887532914992,0.009606252552498567,0.03267175726986311,0.1342353237963119
gencast,CHIRPS,5,10,annual,0.06690295392558261,0.07261489683299564,0.006464754120004024,0.007740866954020914,0.008175173551466394,0.06718068303659021
gencast,CHIRPS,5,20,annual,0.01789030289550657,0.016062295463830468,-0.13253043561119848,0.002563832300628183,0.0004759279966098721,0.01575414956111327
gencast,CHIRPS,7,1,annual,0.1520544251455261,0.32547589043420194,0.3074066894952785,0.010018069362233224,0.0774441460274477,0.21933835199201185
gencast,CHIRPS,7,5,annual,0.1113360504159719,0.15999568865308855,0.17169140602589217,0.008894421706247583,0.03192611429749845,0.13414586742785217
gencast,CHIRPS,7,10,annual,0.06698958342299871,0.07261744564670203,0.005176346758173578,0.007222208675864165,0.007569982793149116,0.06718524348003005
gencast,CHIRPS,7,20,annual,0.017749418971548428,0.016008035577945612,-0.1276132153698466,0.0024363217572517734,0.000432503212860127,0.01570228082243842
gencast,ERA5,1,1,annual,0.0913722879230888,0.3385050839361616,0.5920526175361732,0.005512960756137505,0.13792978458833155,0.22365718841552737
gencast,ERA5,1,5,annual,0.06961616082764109,0.15752339052184772,0.47566697056496765,0.0028315766930879544,0.06580951706174029,0.13239922943115234
gencast,ERA5,1,10,annual,0.04600274406388389,0.07403208245160543,0.3291943732208038,0.0019688964249925537,0.024478395529810265,0.06837753295898437
gencast,ERA5,1,20,annual,0.015003809763457663,0.016915317242700054,0.0978903251630524,0.001549266840494603,0.003173290277994603,0.016590234375000002
gencast,ERA5,3,1,annual,0.09707400389069423,0.3371797521513194,0.5658157882510242,0.0012690186204884556,0.12757352402252406,0.22322548791445285
gencast,ERA5,3,5,annual,0.07408140405876569,0.15670849696341638,0.4396985628459361,0.0008280705914741681,0.058798097841659784,0.1318403837278346
gencast,ERA5,3,10,annual,0.04870524317987315,0.07363970305661813,0.28630777663504703,0.0007822382160084068,0.020263572774300187,0.06804333010878846
gencast,ERA5,3,20,annual,0.01502307519043569,0.01682291195831164,0.09176316216213232,0.0006610353467912738,0.002175218340364468,0.016500989698871205
gencast,ERA5,5,1,annual,0.10548967326042946,0.33579004447361893,0.5272366592071351,0.0016012760218650536,0.11905409759492706,0.22277058987075932
gencast,ERA5,5,5,annual,0.07869874171083717,0.1559342457516495,0.4023533459388611,0.0012582885411128854,0.05409119689244839,0.13130972784146708
gencast,ERA5,5,10,annual,0.050813662024552564,0.07320007610364757,0.2512634248301995,0.0013449196813026148,0.018347747802487917,0.0676693320274353
gencast,ERA5,5,20,annual,0.015543802737590599,0.016718668870522587,0.05446079838239015,0.0009042121757503952,0.001797395511453561,0.016400481855440005
gencast,ERA5,7,1,annual,0.11038894805589837,0.33510780498243015,0.5047502223511849,0.0015455165426275937,0.11387605796635039,0.22254678938123917
gencast,ERA5,7,5,annual,0.08262163345290667,0.1557050519499067,0.371856068216326,0.0013096023686157293,0.050080309030664176,0.13115479571433603
gencast,ERA5,7,10,annual,0.05312368819313093,0.07314127528893555,0.216666632896515,0.0014769251189413976,0.01612827676149708,0.06762163350530079
gencast,ERA5,7,20,annual,0.015864310146128203,0.016679364334067786,0.032676407223842574,0.0009535442715671385,0.0014882274785734206,0.016362974158803667
neuralgcm,CHIRPS,1,1,annual,0.1789278369995899,0.3288791524688377,0.18946304182800933,0.024104149134810637,0.06588357414125325,0.22051490677727592
neuralgcm,CHIRPS,1,5,annual,0.13911218312718057,0.16155768415866165,-0.026485339990680812,0.027701424797436244,0.02412060912191269,0.1351999134911431
neuralgcm,CHIRPS,1,10,annual,0.08152176216528662,0.07329677058327266,-0.19939100983998803,0.018135929538713277,0.004624983519222716,0.06776105918884277
neuralgcm,CHIRPS,1,20,annual,0.019516961912988098,0.016263341861534317,-0.21924706568979913,0.0037557357840290974,0.0002591522269001906,0.015948143005371094
neuralgcm,CHIRPS,3,1,annual,0.16713834138397238,0.32746782737855984,0.24116177927237303,0.01961311526409818,0.07267554638405992,0.22002836137658424
neuralgcm,CHIRPS,3,5,annual,0.12605228010129652,0.16064413064806707,0.0655958650292291,0.018271327303608326,0.0270992805543968,0.1345809411440004
neuralgcm,CHIRPS,3,10,annual,0.07265447849660517,0.07282441008903924,-0.07549274323335387,0.010632666210251588,0.0055475863567876794,0.06735852527898643
neuralgcm,CHIRPS,3,20,annual,0.01687792245502629,0.01615563761079568,-0.06172814655099823,0.0012316252427377289,0.0002535887481311155,0.015844254999598684
neuralgcm,CHIRPS,5,1,annual,0.16285776827054732,0.3262251386498853,0.25912009453979423,0.015420688600233901,0.07232297145079791,0.21959810933082718
neuralgcm,CHIRPS,5,5,annual,0.1207755946288181,0.16013251904626039,0.10224202746433075,0.013514715042851969,0.02723920670511782,0.1342353237963119
neuralgcm,CHIRPS,5,10,annual,0.06837728254917758,0.07261489683299564,-0.015239368153535438,0.006688558950657714,0.005664767789057142,0.06718068303659021
neuralgcm,CHIRPS,5,20,annual,0.016382723928515246,0.016062295463830468,-0.03653523949206594,0.000783883966258654,0.00020830233904955332,0.01575414956111327
neuralgcm,CHIRPS,7,1,annual,0.16408795441475219,0.32547589043420194,0.25267527748551066,0.015410360119925364,0.07083173907272156,0.21933835199201185
neuralgcm,CHIRPS,7,5,annual,0.11964956136365575,0.15999568865308855,0.11011667724153906,0.012527760153879968,0.02729945734071906,0.13414586742785217
neuralgcm,CHIRPS,7,10,annual,0.06935989471251904,0.07261744564670203,-0.029589792757223066,0.00764421632558788,0.0056562188946702174,0.06718524348003005
neuralgcm,CHIRPS,7,20,annual,0.016611762411666994,0.016008035577945612,-0.05438471525309385,0.0010923222771054104,0.00023835820575297925,0.01570228082243842
neuralgcm,ERA5,1,1,annual,0.1395699638734399,0.3385050839361616,0.3768140697455138,0.01086104531591069,0.09513822071060472,0.22365718841552737
neuralgcm,ERA5,1,5,annual,0.1062263411893183,0.15752339052184772,0.19984743273432748,0.013571668887583644,0.04003131498540265,0.13239922943115234
neuralgcm,ERA5,1,10,annual,0.07035828183437341,0.07403208245160543,-0.025954147596211508,0.011533159626605602,0.009758479043923312,0.06837753295898437
neuralgcm,ERA5,1,20,annual,0.018859582669758266,0.016915317242700054,-0.13375793678823977,0.00289115424928442,0.0006720787284510866,0.016590234375000002
neuralgcm,ERA5,3,1,annual,0.14579341440443694,0.3371797521513194,0.3474815054778376,0.01202559973970045,0.08959232834123938,0.22322548791445285
neuralgcm,ERA5,3,5,annual,0.10268035277123343,0.15670849696341638,0.22319862869359652,0.009097086627246885,0.03852367948173713,0.1318403837278346
neuralgcm,ERA5,3,10,annual,0.0626809162146838,0.07363970305661813,0.08149426173430507,0.005113846415598858,0.010658987368758187,0.06804333010878846
neuralgcm,ERA5,3,20,annual,0.016526232376012258,0.01682291195831164,0.0008305206854422043,0.0006585275441580341,0.0006722319574332151,0.016500989698871205
neuralgcm,ERA5,5,1,annual,0.1419546848015386,0.33579004447361893,0.36353436732111133,0.008804551063566458,0.0897893165099837,0.22277058987075932
neuralgcm,ERA5,5,5,annual,0.0995253016566163,0.1559342457516495,0.24402597934770576,0.006080170116634978,0.038123155051029686,0.13130972784146708
neuralgcm,ERA5,5,10,annual,0.06032891459747117,0.07320007610364757,0.11086594132973626,0.0028316306416047883,0.010333854835980878,0.0676693320274353
neuralgcm,ERA5,5,20,annual,0.016282248678331702,0.016718668870522587,0.009484929278897547,0.00041069499652537683,0.0005662524070640686,0.016400481855440005
neuralgcm,ERA5,7,1,annual,0.14034032162882087,0.33510780498243015,0.3701524619818334,0.008288813559180144,0.09066505555479837,0.22254678938123917
neuralgcm,ERA5,7,5,annual,0.10091202800591016,0.1557050519499067,0.2325982120112774,0.0061243892839463075,0.03663076026380521,0.13115479571433603
neuralgcm,ERA5,7,10,annual,0.06291002715950655,0.07314127528893555,0.07227453818506235,0.004097887288408946,0.008985209621324104,0.06762163350530079
neuralgcm,ERA5,7,20,annual,0.016624535988665756,0.016679364334067786,-0.013605805120811665,0.0007114548112372161,0.0004888233736356552,0.016362974158803667
gencast,CHIRPS,1,1,MAM,0.18025303194194595,0.3711840232263926,0.22811181465871344,0.022749950542600157,0.07591969131683055,0.23308630836933908
gencast,CHIRPS,1,5,MAM,0.13211741546719588,0.18705188439926163,0.13170668339393843,0.01773021019264881,0.03769509693190732,0.15158598048925853
gencast,CHIRPS,1,10,MAM,0.08354658107766516,0.09218169549624565,0.0021504432716230593,0.013188822396041109,0.013368142570981248,0.08338754028363579
gencast,CHIRPS,1,20,MAM,0.029678864708972793,0.025895219526805943,-0.17603842444287876,0.006211967533562337,0.0017883581767632742,0.025128657966570503
gencast,CHIRPS,3,1,MAM,0.16979050267442353,0.3711840232263926,0.272797733895903,0.014869846538234692,0.07845526326355204,0.23308630836933908
gencast,CHIRPS,3,5,MAM,0.12157011818033221,0.18705188439926163,0.20089839566405088,0.009050021068929142,0.03950340135438331,0.15158598048925853
gencast,CHIRPS,3,10,MAM,0.07600135594157793,0.09218169549624565,0.09213012629636896,0.0056981260466718526,0.013380630664546775,0.08338754028363579
gencast,CHIRPS,3,20,MAM,0.02548983387523314,0.025895219526805943,-0.010239166670477973,0.002138789999197431,0.001881493482072281,0.025128657966570503
gencast,CHIRPS,5,1,MAM,0.1720929874632645,0.3711840232263926,0.26286267199383473,0.014087415585648824,0.07535710540879224,0.23308630836933908
gencast,CHIRPS,5,5,MAM,0.12291491072199053,0.18705188439926163,0.1921340654264968,0.008288129403439207,0.037412960096502065,0.15158598048925853
gencast,CHIRPS,5,10,MAM,0.07705811465446365,0.09218169549624565,0.07961958213250053,0.005728932874611134,0.012368213987051277,0.08338754028363579
gencast,CHIRPS,5,20,MAM,0.025940271169361897,0.025895219526805943,-0.02812436558534026,0.002149179135430356,0.0014424515721095533,0.025128657966570503
gencast,CHIRPS,7,1,MAM,0.17380615278273467,0.3711840232263926,0.2555953581950997,0.013650129822166561,0.07322590830020126,0.23308630836933908
gencast,CHIRPS,7,5,MAM,0.12408822153518728,0.18705188439926163,0.18442291133765476,0.00817424507410081,0.036130172913902796,0.15158598048925853
gencast,CHIRPS,7,10,MAM,0.07819640424734497,0.09218169549624565,0.06598120502915439,0.005668733728110991,0.011170744120442437,0.08338754028363579
gencast,CHIRPS,7,20,MAM,0.026067650542096567,0.025895219526805943,-0.03302442008256268,0.002072258576289396,0.0012423992194903332,0.025128657966570503
gencast,ERA5,1,1,MAM,0.09884807786585133,0.3817984244788359,0.5817478175987321,0.007737072070255177,0.14487811250088303,0.23573967324312786
gencast,ERA5,1,5,MAM,0.08104119519686068,0.18505967489397412,0.4630523518327532,0.0039010249622633704,0.07352406506960103,0.15035673575951158
gencast,ERA5,1,10,MAM,0.05409001764889193,0.09171019134739425,0.35078647658530615,0.0023365502751858565,0.03144785929064379,0.08298868673284923
gencast,ERA5,1,20,MAM,0.019911976152627953,0.025770797814248594,0.20725422677415462,0.0015093427507475998,0.00669232229482652,0.02500783518266588
gencast,ERA5,3,1,MAM,0.10580287884541938,0.3817984244788359,0.5522835070998189,0.001834672423863612,0.1320298059251436,0.23573967324312786
gencast,ERA5,3,5,MAM,0.08734703172233037,0.18505967489397412,0.4212374520713277,0.001274634815689182,0.06461052308878772,0.15035673575951158
gencast,ERA5,3,10,MAM,0.05819532876934579,0.09171019134739425,0.30157564946488713,0.0008141030082256562,0.025841470107922725,0.08298868673284923
gencast,ERA5,3,20,MAM,0.020600309279319474,0.025770797814248594,0.17962192226637352,0.0003679022049419527,0.004859857632173047,0.02500783518266588
gencast,ERA5,5,1,MAM,0.11327342710765112,0.3817984244788359,0.5206668736565816,0.0015578819394877696,0.12429972060381127,0.23573967324312786
gencast,ERA5,5,5,MAM,0.09113444382750414,0.18505967489397412,0.3961640436646622,0.001050772069326743,0.060616704500033966,0.15035673575951158
gencast,ERA5,5,10,MAM,0.06039179245304154,0.09171019134739425,0.2752422162696073,0.0008019409932533547,0.02364393105490694,0.08298868673284923
gencast,ERA5,5,20,MAM,0.021618727735581385,0.025770797814248594,0.13906907475986963,0.0004755191577706718,0.003953335658371332,0.02500783518266588
gencast,ERA5,7,1,MAM,0.11915150472385112,0.3817984244788359,0.49581249669406857,0.001784040845019938,0.11866671680553907,0.23573967324312786
gencast,ERA5,7,5,MAM,0.09789888874903725,0.18505967489397412,0.3513685174167813,0.0015528743409028536,0.0543834976683492,0.15035673575951158
gencast,ERA5,7,10,MAM,0.06437215676272122,0.09171019134739425,0.22746394428707006,0.001144465661529932,0.020021399676987864,0.08298868673284923
gencast,ERA5,7,20,MAM,0.022681895867144884,0.025770797814248594,0.09679292224105251,0.0006488691234969102,0.0030694505697497444,0.02500783518266588
neuralgcm,CHIRPS,1,1,MAM,0.19840497248706976,0.3711840232263926,0.15028625228742531,0.028072825688107116,0.06310249343244621,0.23308630836933908
neuralgcm,CHIRPS,1,5,MAM,0.1561399460493474,0.18705188439926163,-0.025914011862656405,0.032568576936111315,0.028640376039500266,0.15158598048925853
neuralgcm,CHIRPS,1,10,MAM,0.10047905516420724,0.09218169549624565,-0.19953816462536933,0.024817480090960277,0.00817848335013955,0.08338754028363579
neuralgcm,CHIRPS,1,20,MAM,0.03260376028080362,0.025895219526805943,-0.2915698817696344,0.008226106784492591,0.00089934695215005,0.025128657966570503
neuralgcm,CHIRPS,3,1,MAM,0.1881060220272366,0.3711840232263926,0.19433187554761133,0.024091542105567566,0.06938764157545012,0.23308630836933908
neuralgcm,CHIRPS,3,5,MAM,0.14311536249875584,0.18705188439926163,0.05962433871565853,0.021170707767030426,0.03020892161226719,0.15158598048925853
neuralgcm,CHIRPS,3,10,MAM,0.0890171848963951,0.09218169549624565,-0.0627954219339697,0.013734271669971154,0.00849791589382434,0.08338754028363579
neuralgcm,CHIRPS,3,20,MAM,0.026930664744464202,0.025895219526805943,-0.06734169830276615,0.002474300295327945,0.0007820937917897518,0.025128657966570503
