n,obs_mean,fc_mean,bias,mae,rmse,pooled_corr,model,obs,lead_day,season
153600,2.3939324413748175,1.5132393474430188,-0.8806930939317988,2.150790378954658,4.954702810519855,0.42519725810474235,fourcastnet,CHIRPS,1,annual
153600,2.3939324413748175,2.2645365836343117,-0.12939585774050572,2.3396969634844553,5.7375669907357585,0.42130646884430617,gencast,CHIRPS,1,annual
153600,2.3939324413748175,2.239382761757447,-0.1545496796173718,2.598125742279797,5.7607915723760215,0.33299611215351,graphcast,CHIRPS,1,annual
153600,2.3939324413748175,2.3575266263159156,-0.036405815058902335,2.480240621798723,5.158940872242876,0.40166863212030585,neuralgcm,CHIRPS,1,annual
154624,2.3811376392941446,1.610827571203549,-0.7703100680905959,2.1543704590786925,4.90805724861749,0.42563708621876095,fourcastnet,CHIRPS,3,annual
154624,2.3811376392941446,2.2849141222288676,-0.09622351706527775,2.2194054662786793,4.891337138861782,0.48391204598550164,gencast,CHIRPS,3,annual
154624,2.3811376392941446,2.0500933529226746,-0.33104428637147093,2.5773050025276594,5.301382190179938,0.3010558024914681,graphcast,CHIRPS,3,annual
154624,2.3811376392941446,2.4161333109287857,0.03499567163464126,2.392440507719797,4.904532904734547,0.43265296994602465,neuralgcm,CHIRPS,3,annual
155648,2.372266031329823,1.6212670920809182,-0.7509989392489046,2.169526684429866,4.91323148699903,0.4205779944921613,fourcastnet,CHIRPS,5,annual
155648,2.372266031329823,2.437124424513075,0.06485839318325246,2.3028001235677493,5.019319667147818,0.46292289272479065,gencast,CHIRPS,5,annual
155648,2.372266031329823,2.555210992346198,0.18294496101637509,2.852524888268232,5.41455017205362,0.28213308230888684,graphcast,CHIRPS,5,annual
155648,2.372266031329823,2.2515636092572584,-0.12070242207256458,2.310068905842222,4.802169553638567,0.4386108460556345,neuralgcm,CHIRPS,5,annual
156672,2.368790532194518,1.5927781817326414,-0.7760123504618764,2.20498098144125,4.997815441560156,0.38941599498867524,fourcastnet,CHIRPS,7,annual
156672,2.368790532194518,2.4368620731289137,0.0680715409343964,2.323919938873103,5.009677172998981,0.4507546468836915,gencast,CHIRPS,7,annual
156672,2.368790532194518,2.9073023890639016,0.5385118568693835,3.1427885796008885,5.664075034446516,0.23565088906306003,graphcast,CHIRPS,7,annual
156672,2.368790532194518,2.4234485327552995,0.05465800056078153,2.3934852803380458,4.844263147932931,0.4338563941032859,neuralgcm,CHIRPS,7,annual
153600,2.4500304564129025,1.5132393474430188,-0.9367911089698839,1.662712174521196,4.270636111656194,0.6381586950188897,fourcastnet,ERA5,1,annual
153600,2.4500304564129025,2.2645365836343117,-0.18549387277859075,1.5071243777692387,4.1877419561648646,0.7003159504534038,gencast,ERA5,1,annual
153600,2.4500304564129025,2.239382761757447,-0.2106476946554569,2.1082909147730295,5.063189838680424,0.5045552760339956,graphcast,ERA5,1,annual
153600,2.4500304564129025,2.3575266263159156,-0.09250383009698736,2.0861423389398377,4.698729346223684,0.533456792163834,neuralgcm,ERA5,1,annual
