hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,observed_event_rate,forecast_event_rate,model,obs,lead_day,threshold_mm_day,season
31773,18652,13930,89245,0.6301041150223103,0.3047939960177669,0.4937145520938544,0.9063559742191374,0.3282877604166667,0.29754557291666667,fourcastnet,CHIRPS,1,1,annual
7372,17385,6391,122452,0.2977743668457406,0.4643609678122502,0.23667651213561064,0.5559235771700933,0.16117838541666665,0.08960286458333333,fourcastnet,CHIRPS,1,5,annual
1715,9514,2941,139430,0.15272953958500313,0.6316580756013745,0.12103034580098801,0.41464066257013094,0.07310546875,0.0303125,fourcastnet,CHIRPS,1,10,annual
150,2340,543,150567,0.060240963855421686,0.7835497835497836,0.04945598417408507,0.2783132530120482,0.0162109375,0.00451171875,fourcastnet,CHIRPS,1,20,annual
35466,14959,15225,87950,0.7033415964303421,0.3003491744096585,0.5402284843869002,1.0052751611303916,0.3282877604166667,0.33001953125,gencast,CHIRPS,1,1,annual
11554,13203,10241,118602,0.4666962879185685,0.46987841247992657,0.3301331504657409,0.880357070727471,0.16117838541666665,0.14189453125,gencast,CHIRPS,1,5,annual
3361,7868,6353,136018,0.29931427553655715,0.6540045295449867,0.19116141508360823,0.865081485439487,0.07310546875,0.0632421875,gencast,CHIRPS,1,10,annual
363,2127,1749,149361,0.14578313253012049,0.828125,0.08563340410474168,0.8481927710843373,0.0162109375,0.01375,gencast,CHIRPS,1,20,annual
35691,14734,21084,82091,0.7078036688150718,0.37136063408190223,0.499111999888126,1.1259295984134854,0.3282877604166667,0.36962890625,graphcast,CHIRPS,1,1,annual
8666,16091,10409,118434,0.35004241224704125,0.5456880733944954,0.24643121196610362,0.7704891545825423,0.16117838541666665,0.12418619791666667,graphcast,CHIRPS,1,5,annual
2117,9112,5765,136606,0.18852969988422832,0.7314133468662776,0.12457337883959044,0.7019324962151572,0.07310546875,0.05131510416666667,graphcast,CHIRPS,1,10,annual
244,2246,1486,149624,0.09799196787148594,0.8589595375722543,0.0613682092555332,0.6947791164658634,0.0162109375,0.011263020833333333,graphcast,CHIRPS,1,20,annual
39141,11284,24987,78188,0.7762221120475954,0.38964258982035926,0.5190288017822098,1.271750123946455,0.3282877604166667,0.4175,neuralgcm,CHIRPS,1,1,annual
10996,13761,13324,115519,0.4441572080623662,0.5478618421052631,0.28875292140437486,0.9823484267075978,0.16117838541666665,0.15833333333333333,neuralgcm,CHIRPS,1,5,annual
2059,9170,5928,136443,0.1833645026271262,0.7422060848879429,0.1200093256396806,0.7112832843530145,0.07310546875,0.05199869791666667,neuralgcm,CHIRPS,1,10,annual
150,2340,907,150203,0.060240963855421686,0.8580889309366131,0.044156608772446274,0.42449799196787147,0.0162109375,0.006881510416666667,neuralgcm,CHIRPS,1,20,annual
33137,17406,15847,88234,0.6556199671566785,0.32351380042462846,0.49912637445398406,0.9691549769503195,0.32687681084437087,0.3167942880794702,fourcastnet,CHIRPS,3,1,annual
8232,16549,7387,122456,0.3321899842621363,0.47294961265125807,0.25590649092265605,0.6302812638715145,0.16026619412251655,0.10101277938741722,fourcastnet,CHIRPS,3,5,annual
1761,9470,3206,140187,0.1567981479832606,0.6454600362391786,0.12197825032901573,0.44225803579378503,0.07263426117549669,0.03212308567880795,fourcastnet,CHIRPS,3,10,annual
95,2395,504,151630,0.03815261044176707,0.8414023372287145,0.03173012692050768,0.24056224899598394,0.016103580298013245,0.0038739134933774835,fourcastnet,CHIRPS,3,20,annual
39510,11033,20499,83582,0.7817106226381497,0.34159876018597213,0.5561498831677036,1.187286073244564,0.32687681084437087,0.3880962851821192,gencast,CHIRPS,3,1,annual
12651,12130,11794,118049,0.5105120858722408,0.48247085293516057,0.345892002734108,0.9864412251321577,0.16026619412251655,0.15809318087748345,gencast,CHIRPS,3,5,annual
3022,8209,5444,137949,0.26907666280829845,0.6430427592723836,0.18122938530734634,0.753806428635028,0.07263426117549669,0.05475217301324503,gencast,CHIRPS,3,10,annual
234,2256,917,151217,0.09397590361445783,0.7966985230234579,0.06868212503668918,0.46224899598393576,0.016103580298013245,0.007443863824503311,gencast,CHIRPS,3,20,annual
36624,13919,30319,73762,0.724610727499357,0.45290769759347504,0.45291978927060916,1.324476188591892,0.32687681084437087,0.43294055256622516,graphcast,CHIRPS,3,1,annual
7445,17336,10469,119374,0.3004317824139462,0.584403260020096,0.21120567375886526,0.722892538638473,0.16026619412251655,0.11585523592715231,graphcast,CHIRPS,3,5,annual
1339,9892,4182,139211,0.11922357759772059,0.757471472559319,0.08687471614870564,0.4915857893330959,0.07263426117549669,0.03570597061258278,graphcast,CHIRPS,3,10,annual
48,2442,477,151657,0.01927710843373494,0.9085714285714286,0.016177957532861477,0.21084337349397592,0.016103580298013245,0.0033953331953642386,graphcast,CHIRPS,3,20,annual
