model,obs,lead_day,season,n,mean_crps,rmse_ensemble_mean,mean_ensemble_spread,spread_skill_ratio
gencast,CHIRPS,1,annual,153600,1.7832273833879817,5.7375669907357585,3.0346862134264643,0.5289151688035124
gencast,CHIRPS,3,annual,154624,1.570203318713907,4.891337138861782,3.5712061451411308,0.7301083617336084
gencast,CHIRPS,5,annual,155648,1.5838875637577339,5.019319667147818,4.1025163953927315,0.8173451119768884
gencast,CHIRPS,7,annual,156672,1.5730303548107996,5.009677172998981,4.259502085995188,0.8502548046315108
gencast,ERA5,1,annual,153600,1.0836751774591384,4.1877419561648646,3.0346862134264643,0.724659314062806
gencast,ERA5,3,annual,154624,1.1001232829154153,3.958693976955553,3.5712061451411308,0.9021172553195382
gencast,ERA5,5,annual,155648,1.1576627937803459,4.179476668915229,4.1025163953927315,0.9815861459175288
gencast,ERA5,7,annual,156672,1.2008960943878453,4.299343489964683,4.259502085995188,0.9907331423826705
neuralgcm,CHIRPS,1,annual,153600,1.9313546365518293,5.158940872242876,2.0082990770902085,0.389285151123876
neuralgcm,CHIRPS,3,annual,154624,1.7136194874571942,4.904532904734547,2.620790034105426,0.5343607811409461
neuralgcm,CHIRPS,5,annual,155648,1.6409468649524017,4.802169553638567,2.686279138915874,0.559388649007718
neuralgcm,CHIRPS,7,annual,156672,1.6385833090441917,4.844263147932931,3.0854507368070325,0.6369288047705683
neuralgcm,ERA5,1,annual,153600,1.5851063597529556,4.698729346223684,2.0082990770902085,0.42741322794092323
neuralgcm,ERA5,3,annual,154624,1.4755067876927999,4.578534225900476,2.620790034105426,0.5724080906242404
neuralgcm,ERA5,5,annual,155648,1.4305751613491715,4.542097547958452,2.686279138915874,0.591418196230348
neuralgcm,ERA5,7,annual,156672,1.441325822062645,4.611350817354395,3.0854507368070325,0.6690991119554865
gencast,CHIRPS,1,MAM,47104,2.1765475932572182,6.855910037653576,3.62496013426952,0.5287350788386594
gencast,CHIRPS,3,MAM,47104,1.9021593857548782,5.736233653379185,4.209273598766067,0.7338044182154969
gencast,CHIRPS,5,MAM,47104,1.9121980147860191,5.8248617557852675,4.851078117556929,0.8328228756225546
gencast,CHIRPS,7,MAM,47104,1.9161391165570163,5.852572546886889,5.172170052450587,0.88374300549282
gencast,ERA5,1,MAM,47104,1.3388404660520603,4.974919333415676,3.62496013426952,0.7286470174342903
gencast,ERA5,3,MAM,47104,1.3727559365034587,4.785635363985714,4.209273598766067,0.8795642121927937
gencast,ERA5,5,MAM,47104,1.43355864654649,5.062511790101545,4.851078117556929,0.9582354212077054
gencast,ERA5,7,MAM,47104,1.5097723509117151,5.266133408351078,5.172170052450587,0.982157049847715
neuralgcm,CHIRPS,1,MAM,47104,2.4239153510151814,6.234009452904836,2.346802355073672,0.37645152334187465
neuralgcm,CHIRPS,3,MAM,47104,2.1359668667148046,5.887081190928894,3.1279677215635,0.5313274303713065
neuralgcm,CHIRPS,5,MAM,47104,2.06553370122439,5.791410152343434,3.224991216203438,0.5568576791092026
neuralgcm,CHIRPS,7,MAM,47104,2.111110089620011,5.941258506301581,3.9389477667863444,0.6629820538205011
neuralgcm,ERA5,1,MAM,47104,1.96301806996718,5.667963562202275,2.346802355073672,0.41404683169166795
neuralgcm,ERA5,3,MAM,47104,1.787179721847333,5.539899175752341,3.1279677215635,0.5646253879952083
neuralgcm,ERA5,5,MAM,47104,1.7659449253768058,5.573045807087331,3.224991216203438,0.5786766030349446
neuralgcm,ERA5,7,MAM,47104,1.830906437780482,5.70812692594516,3.9389477667863444,0.6900595971127829
gencast,CHIRPS,1,JJAS,62464,1.5607739853029219,4.8102150997735365,2.5166915775413683,0.5231973051807711
gencast,CHIRPS,3,JJAS,62464,1.3758057971570983,4.197380953021844,2.999128461880758,0.7145237698097378
gencast,CHIRPS,5,JJAS,62464,1.386263332146601,4.259381721013427,3.3321017267522732,0.7822970433275636
gencast,CHIRPS,7,JJAS,62464,1.37838507610406,4.392170013965855,3.713580593026683,0.8455001926652542
gencast,ERA5,1,JJAS,62464,0.939240889830142,3.49635319420574,2.5166915775413683,0.7198047330321502
