model,obs,lead_day,season,n,delta_flatness
gencast,CHIRPS,1,annual,153600,1.077008099582873
gencast,CHIRPS,3,annual,154624,1.0024453639367348
gencast,CHIRPS,5,annual,155648,0.9631506511475778
gencast,CHIRPS,7,annual,156672,0.9087872414473639
gencast,ERA5,1,annual,153600,0.3389246904261125
gencast,ERA5,3,annual,154624,0.2516924113879324
gencast,ERA5,5,annual,155648,0.257792826644556
gencast,ERA5,7,annual,156672,0.2197212195492013
gencast,TAMSAT,1,annual,153300,1.1888154551924475
gencast,TAMSAT,3,annual,154322,1.1268869519976499
gencast,TAMSAT,5,annual,155344,1.0904724849849723
gencast,TAMSAT,7,annual,156366,1.0311264607687205
neuralgcm,CHIRPS,1,annual,153600,0.9320541155798323
neuralgcm,CHIRPS,3,annual,154624,0.752038986580571
neuralgcm,CHIRPS,5,annual,155648,0.7371261696595145
neuralgcm,CHIRPS,7,annual,156672,0.709145709069538
neuralgcm,ERA5,1,annual,153600,0.44805411917533805
neuralgcm,ERA5,3,annual,154624,0.30358845500734416
neuralgcm,ERA5,5,annual,155648,0.2607428930757606
neuralgcm,ERA5,7,annual,156672,0.22484804708631834
neuralgcm,TAMSAT,1,annual,153300,1.0496407617340702
neuralgcm,TAMSAT,3,annual,154322,0.850981862895045
neuralgcm,TAMSAT,5,annual,155344,0.840322837737576
neuralgcm,TAMSAT,7,annual,156366,0.8138643459526915
gencast,CHIRPS,1,MAM,47104,1.0458766181566437
gencast,CHIRPS,3,MAM,47104,0.9485146048178655
gencast,CHIRPS,5,MAM,47104,0.8872862767108165
gencast,CHIRPS,7,MAM,47104,0.8503586416847592
gencast,ERA5,1,MAM,47104,0.36814604711968535
gencast,ERA5,3,MAM,47104,0.24795443152527974
gencast,ERA5,5,MAM,47104,0.2252029037682723
gencast,ERA5,7,MAM,47104,0.2158664255077987
gencast,TAMSAT,1,MAM,47012,1.1554212970779771
gencast,TAMSAT,3,MAM,47012,1.082466477877464
gencast,TAMSAT,5,MAM,47012,1.0266968377505685
