model,obs,lead_day,threshold_mm_day,season,forecast_probability,observed_frequency,count,abs_calibration_gap,weighted_abs_gap,ece
gencast,CHIRPS,1,1,annual,0.0,0.09236811298666969,79443,0.09236811298666969,0.0477734375,0.12162239583333331
gencast,CHIRPS,1,1,annual,0.1,0.28180054953935674,12374,0.18180054953935673,0.014645833333333335,0.12162239583333331
gencast,CHIRPS,1,1,annual,0.2,0.3713321596244131,6816,0.17133215962441312,0.007602864583333331,0.12162239583333331
gencast,CHIRPS,1,1,annual,0.3,0.43635670731707316,5248,0.13635670731707317,0.004658854166666666,0.12162239583333331
gencast,CHIRPS,1,1,annual,0.4,0.5072783414203793,4534,0.10727834142037929,0.0031666666666666644,0.12162239583333331
gencast,CHIRPS,1,1,annual,0.5,0.5470875032075956,3897,0.04708750320759558,0.0011946614583333332,0.12162239583333331
gencast,CHIRPS,1,1,annual,0.6,0.5809118236472945,3992,0.019088176352705433,0.0004960937500000005,0.12162239583333331
gencast,CHIRPS,1,1,annual,0.7,0.6355785837651122,4053,0.06442141623488773,0.0016998697916666664,0.12162239583333331
gencast,CHIRPS,1,1,annual,0.8,0.6624586092715232,4832,0.13754139072847682,0.004326822916666666,0.12162239583333331
gencast,CHIRPS,1,1,annual,0.9,0.7101029601029601,6216,0.18989703989703988,0.007684895833333332,0.12162239583333331
gencast,CHIRPS,1,1,annual,1.0,0.8036494706014868,22195,0.19635052939851316,0.02837239583333333,0.12162239583333331
gencast,CHIRPS,1,5,annual,0.0,0.05883664514287753,112124,0.05883664514287753,0.042949218750000004,0.09564778645833334
gencast,CHIRPS,1,5,annual,0.1,0.2780102278010228,8604,0.1780102278010228,0.009971354166666668,0.09564778645833334
gencast,CHIRPS,1,5,annual,0.2,0.35984848484848486,5016,0.15984848484848485,0.0052200520833333335,0.09564778645833334
gencast,CHIRPS,1,5,annual,0.3,0.3782264247380526,3913,0.07822642473805264,0.001992838541666666,0.09564778645833334
gencast,CHIRPS,1,5,annual,0.4,0.4313437224345781,3401,0.03134372243457806,0.0006940104166666665,0.09564778645833334
gencast,CHIRPS,1,5,annual,0.5,0.4438810006761325,2958,0.05611899932386749,0.001080729166666667,0.09564778645833334
gencast,CHIRPS,1,5,annual,0.6,0.48951048951048953,2717,0.11048951048951045,0.0019544270833333328,0.09564778645833334
gencast,CHIRPS,1,5,annual,0.7,0.49369085173501576,2536,0.2063091482649842,0.0034062499999999996,0.09564778645833334
gencast,CHIRPS,1,5,annual,0.8,0.5265109380793475,2697,0.2734890619206526,0.0048020833333333336,0.09564778645833334
gencast,CHIRPS,1,5,annual,0.9,0.5471758664955071,3116,0.35282413350449293,0.0071575520833333335,0.09564778645833334
gencast,CHIRPS,1,5,annual,1.0,0.6130714943234121,6518,0.3869285056765879,0.016419270833333333,0.09564778645833334
gencast,CHIRPS,1,10,annual,0.0,0.034125232796531915,127794,0.034125232796531915,0.02839192708333333,0.061048828124999996
gencast,CHIRPS,1,10,annual,0.1,0.19106023439629327,7338,0.09106023439629327,0.004350260416666666,0.061048828124999996
gencast,CHIRPS,1,10,annual,0.2,0.22529032258064516,3875,0.025290322580645147,0.000638020833333333,0.061048828124999996
gencast,CHIRPS,1,10,annual,0.3,0.23145299145299145,2925,0.06854700854700854,0.0013053385416666667,0.061048828124999996
gencast,CHIRPS,1,10,annual,0.4,0.2728066346573549,2291,0.12719336534264514,0.0018971354166666668,0.061048828124999996
gencast,CHIRPS,1,10,annual,0.5,0.2853290183387271,1854,0.2146709816612729,0.002591145833333333,0.061048828124999996
gencast,CHIRPS,1,10,annual,0.6,0.3245967741935484,1488,0.2754032258064516,0.0026679687499999998,0.061048828124999996
gencast,CHIRPS,1,10,annual,0.7,0.32696390658174096,1413,0.373036093418259,0.003431640625,0.061048828124999996
gencast,CHIRPS,1,10,annual,0.8,0.34375,1280,0.45625000000000004,0.0038020833333333335,0.061048828124999996
gencast,CHIRPS,1,10,annual,0.9,0.3764892772041303,1259,0.5235107227958697,0.004291015624999999,0.061048828124999996
gencast,CHIRPS,1,10,annual,1.0,0.43350936149783964,2083,0.5664906385021604,0.007682291666666668,0.061048828124999996
gencast,CHIRPS,1,20,annual,0.0,0.01010769466542207,143554,0.01010769466542207,0.009446614583333332,0.021457682291666665
gencast,CHIRPS,1,20,annual,0.1,0.06685976345643253,4143,0.03314023654356747,0.0008938802083333337,0.021457682291666665
gencast,CHIRPS,1,20,annual,0.2,0.09724310776942356,1995,0.10275689223057645,0.001334635416666667,0.021457682291666665
gencast,CHIRPS,1,20,annual,0.3,0.10534979423868313,1215,0.19465020576131686,0.0015397135416666664,0.021457682291666665
gencast,CHIRPS,1,20,annual,0.4,0.14025974025974025,770,0.25974025974025977,0.0013020833333333337,0.021457682291666665
gencast,CHIRPS,1,20,annual,0.5,0.11504424778761062,452,0.38495575221238937,0.0011328125,0.021457682291666665
gencast,CHIRPS,1,20,annual,0.6,0.1787709497206704,358,0.42122905027932955,0.0009817708333333332,0.021457682291666665
gencast,CHIRPS,1,20,annual,0.7,0.15384615384615385,286,0.5461538461538461,0.0010169270833333332,0.021457682291666665
gencast,CHIRPS,1,20,annual,0.8,0.16182572614107885,241,0.6381742738589212,0.0010013020833333334,0.021457682291666665
gencast,CHIRPS,1,20,annual,0.9,0.2119815668202765,217,0.6880184331797236,0.0009720052083333335,0.021457682291666665
gencast,CHIRPS,1,20,annual,1.0,0.23577235772357724,369,0.7642276422764227,0.0018359375,0.021457682291666665
gencast,CHIRPS,3,1,annual,0.0,0.06906753143312283,70308,0.06906753143312283,0.03140521523178808,0.09463925393211921
gencast,CHIRPS,3,1,annual,0.1,0.21680238020670217,12772,0.11680238020670217,0.00964792011589404,0.09463925393211921
gencast,CHIRPS,3,1,annual,0.2,0.2966157062589834,7653,0.09661570625898341,0.004781922599337749,0.09463925393211921
gencast,CHIRPS,3,1,annual,0.3,0.3619466035822913,5918,0.061946603582291315,0.002370912665562914,0.09463925393211921
gencast,CHIRPS,3,1,annual,0.4,0.4312274368231047,5540,0.031227436823104693,0.001118843129139073,0.09463925393211921
gencast,CHIRPS,3,1,annual,0.5,0.4932035268185158,5444,0.006796473181484186,0.00023929014900662192,0.09463925393211921
gencast,CHIRPS,3,1,annual,0.6,0.5470208183776023,5572,0.052979181622397675,0.0019091473509933767,0.09463925393211921
gencast,CHIRPS,3,1,annual,0.7,0.5895264973345876,6378,0.11047350266541234,0.004556860513245033,0.09463925393211921
gencast,CHIRPS,3,1,annual,0.8,0.6642465753424658,7300,0.13575342465753426,0.0064090956125827814,0.09463925393211921
gencast,CHIRPS,3,1,annual,0.9,0.726728250938991,9851,0.17327174906100906,0.011039036630794703,0.09463925393211921
gencast,CHIRPS,3,1,annual,1.0,0.8170840787119857,17888,0.18291592128801426,0.02116100993377483,0.09463925393211921
gencast,CHIRPS,3,5,annual,0.0,0.042522964346878404,102768,0.042522964346878404,0.02826210678807947,0.07078008588576158
gencast,CHIRPS,3,5,annual,0.1,0.2215211754537597,11570,0.1215211754537597,0.009093025662251654,0.07078008588576158
gencast,CHIRPS,3,5,annual,0.2,0.29070746771476697,7124,0.09070746771476695,0.004179170115894039,0.07078008588576158
gencast,CHIRPS,3,5,annual,0.3,0.34780405405405407,5920,0.04780405405405408,0.0018302462748344382,0.07078008588576158
gencast,CHIRPS,3,5,annual,0.4,0.3887810559006211,5152,0.011218944099378902,0.000373810016556292,0.07078008588576158
gencast,CHIRPS,3,5,annual,0.5,0.4450879007238883,4835,0.05491209927611168,0.001717068501655629,0.07078008588576158
gencast,CHIRPS,3,5,annual,0.6,0.46179481075934303,4201,0.13820518924065694,0.0037549151490066214,0.07078008588576158
gencast,CHIRPS,3,5,annual,0.7,0.5121062223379328,3841,0.18789377766206716,0.0046674513658940394,0.07078008588576158
gencast,CHIRPS,3,5,annual,0.8,0.559375,3200,0.2406250000000001,0.004979822019867552,0.07078008588576158
gencast,CHIRPS,3,5,annual,0.9,0.6098846787479407,3035,0.2901153212520593,0.005694458816225166,0.07078008588576158
gencast,CHIRPS,3,5,annual,1.0,0.6766286098052384,2978,0.3233713901947616,0.006228011175496689,0.07078008588576158
gencast,CHIRPS,3,10,annual,0.0,0.029092523764102228,121612,0.029092523764102228,0.022881312086092714,0.04697006932947019
gencast,CHIRPS,3,10,annual,0.1,0.15336658354114713,11228,0.05336658354114712,0.0038752069536423838,0.04697006932947019
gencast,CHIRPS,3,10,annual,0.2,0.19432624113475178,6345,0.005673758865248235,0.00023282284768211953,0.04697006932947019
gencast,CHIRPS,3,10,annual,0.3,0.2390768541339906,4463,0.06092314586600939,0.0017584592301324495,0.04697006932947019
gencast,CHIRPS,3,10,annual,0.4,0.27287371134020616,3104,0.12712628865979386,0.002551997102649007,0.04697006932947019
gencast,CHIRPS,3,10,annual,0.5,0.2992641046606705,2446,0.2007358953393295,0.0031754449503311258,0.04697006932947019
gencast,CHIRPS,3,10,annual,0.6,0.33128147733631785,1787,0.2687185226636821,0.0031055980960264895,0.04697006932947019
gencast,CHIRPS,3,10,annual,0.7,0.3502865329512894,1396,0.34971346704871054,0.003157336506622516,0.04697006932947019
gencast,CHIRPS,3,10,annual,0.8,0.3967280163599182,978,0.4032719836400818,0.002550703642384106,0.04697006932947019
gencast,CHIRPS,3,10,annual,0.9,0.45879120879120877,728,0.44120879120879125,0.0020772971854304636,0.04697006932947019
gencast,CHIRPS,3,10,annual,1.0,0.5381750465549349,537,0.46182495344506513,0.0016038907284768211,0.04697006932947019
gencast,CHIRPS,3,20,annual,0.0,0.009727790081578874,142684,0.009727790081578874,0.008976614238410596,0.01768160182119205
gencast,CHIRPS,3,20,annual,0.1,0.0667176740627391,6535,0.03328232593726091,0.0014066380380794706,0.01768160182119205
gencast,CHIRPS,3,20,annual,0.2,0.08624898291293735,2458,0.11375101708706266,0.0018082574503311259,0.01768160182119205
gencast,CHIRPS,3,20,annual,0.3,0.1258964143426295,1255,0.1741035856573705,0.0014131053394039732,0.01768160182119205
gencast,CHIRPS,3,20,annual,0.4,0.11700468018720749,641,0.2829953198127925,0.0011731684602649007,0.01768160182119205
gencast,CHIRPS,3,20,annual,0.5,0.1715686274509804,408,0.3284313725490196,0.0008666183774834437,0.01768160182119205
gencast,CHIRPS,3,20,annual,0.6,0.17898832684824903,257,0.4210116731517509,0.0006997620033112582,0.01768160182119205
gencast,CHIRPS,3,20,annual,0.7,0.20666666666666667,150,0.4933333333333333,0.000478580298013245,0.01768160182119205
gencast,CHIRPS,3,20,annual,0.8,0.2545454545454545,110,0.5454545454545455,0.0003880380794701987,0.01768160182119205
gencast,CHIRPS,3,20,annual,0.9,0.4027777777777778,72,0.49722222222222223,0.00023152938741721854,0.01768160182119205
gencast,CHIRPS,3,20,annual,1.0,0.3148148148148148,54,0.6851851851851851,0.0002392901490066225,0.01768160182119205
gencast,CHIRPS,5,1,annual,0.0,0.06658038327474887,67993,0.06658038327474887,0.02908485814144737,0.0936009457236842
gencast,CHIRPS,5,1,annual,0.1,0.20978552278820375,13428,0.10978552278820375,0.009471371299342104,0.0936009457236842
gencast,CHIRPS,5,1,annual,0.2,0.2832983582273793,8101,0.0832983582273793,0.00433542351973684,0.0936009457236842
gencast,CHIRPS,5,1,annual,0.3,0.34353375365216055,6503,0.043533753652160556,0.0018188476562500005,0.0936009457236842
gencast,CHIRPS,5,1,annual,0.4,0.40773347143103744,5793,0.00773347143103742,0.00028782894736841956,0.0936009457236842
gencast,CHIRPS,5,1,annual,0.5,0.4714078899746652,5526,0.028592110025334794,0.0010151110197368426,0.0936009457236842
gencast,CHIRPS,5,1,annual,0.6,0.5326591511936339,6032,0.06734084880636604,0.00260973478618421,0.0936009457236842
gencast,CHIRPS,5,1,annual,0.7,0.5790525992002461,6502,0.12094740079975386,0.005052425986842103,0.0936009457236842
gencast,CHIRPS,5,1,annual,0.8,0.6549330689142291,8068,0.14506693108577096,0.007519531250000001,0.0936009457236842
gencast,CHIRPS,5,1,annual,0.9,0.7252348618733141,10751,0.17476513812668593,0.012071468955592109,0.0936009457236842
gencast,CHIRPS,5,1,annual,1.0,0.8132853518966433,16951,0.1867146481033567,0.020334344161184206,0.0936009457236842
gencast,CHIRPS,5,5,annual,0.0,0.0390270248644756,99982,0.0390270248644756,0.025069387335526314,0.06987047697368422
gencast,CHIRPS,5,5,annual,0.1,0.20518160613128958,12004,0.10518160613128957,0.008111893503289475,0.06987047697368422
gencast,CHIRPS,5,5,annual,0.2,0.2698760970573051,7748,0.06987609705730508,0.0034783614309210507,0.06987047697368422
gencast,CHIRPS,5,5,annual,0.3,0.33523252232830303,6494,0.03523252232830304,0.0014699835526315785,0.06987047697368422
gencast,CHIRPS,5,5,annual,0.4,0.37147918511957484,5645,0.028520814880425183,0.0010343852796052642,0.06987047697368422
gencast,CHIRPS,5,5,annual,0.5,0.41340245775729645,5208,0.08659754224270355,0.0028975637335526324,0.06987047697368422
gencast,CHIRPS,5,5,annual,0.6,0.4713348847048868,4727,0.12866511529511315,0.003907534950657894,0.06987047697368422
gencast,CHIRPS,5,5,annual,0.7,0.4973199720344908,4291,0.20268002796550916,0.005587607935855262,0.06987047697368422
gencast,CHIRPS,5,5,annual,0.8,0.5458074534161491,3864,0.25419254658385093,0.006310392680921053,0.06987047697368422
gencast,CHIRPS,5,5,annual,0.9,0.5904168034131934,3047,0.30958319658680666,0.0060604697779605265,0.06987047697368422
gencast,CHIRPS,5,5,annual,1.0,0.6493555724033359,2638,0.35064442759666414,0.005942896792763158,0.06987047697368422
gencast,CHIRPS,5,10,annual,0.0,0.025961881768876344,117634,0.025961881768876344,0.01962119654605263,0.04685187088815789
gencast,CHIRPS,5,10,annual,0.1,0.13656013586536977,12954,0.03656013586536977,0.0030427631578947368,0.04685187088815789
gencast,CHIRPS,5,10,annual,0.2,0.1886767258646014,7489,0.011323274135398603,0.0005448190789473692,0.04685187088815789
gencast,CHIRPS,5,10,annual,0.3,0.2306805074971165,5202,0.0693194925028835,0.00231676603618421,0.04685187088815789
gencast,CHIRPS,5,10,annual,0.4,0.26507638702760655,3731,0.13492361297239347,0.003234220805921053,0.04685187088815789
gencast,CHIRPS,5,10,annual,0.5,0.2787407145383799,2827,0.2212592854616201,0.004018683182565789,0.04685187088815789
gencast,CHIRPS,5,10,annual,0.6,0.3336590131900342,2047,0.26634098680996576,0.0035027754934210524,0.04685187088815789
gencast,CHIRPS,5,10,annual,0.7,0.3226022803487592,1491,0.37739771965124075,0.003615208675986842,0.04685187088815789
gencast,CHIRPS,5,10,annual,0.8,0.3584070796460177,1130,0.44159292035398234,0.003205951891447369,0.04685187088815789
gencast,CHIRPS,5,10,annual,0.9,0.3830409356725146,684,0.5169590643274854,0.002271792763157895,0.04685187088815789
gencast,CHIRPS,5,10,annual,1.0,0.4989106753812636,459,0.5010893246187365,0.0014776932565789477,0.04685187088815789
