model,truth,lead_day,season,spread_fortin,rmse_ens_mean,ssr
gencast,CHIRPS,1,annual,3.0347,5.7376,0.5289
gencast,CHIRPS,3,annual,3.5712,4.8913,0.7301
gencast,CHIRPS,5,annual,4.1025,5.0193,0.8173
gencast,CHIRPS,7,annual,4.2595,5.0097,0.8503
neuralgcm,CHIRPS,1,annual,2.0083,5.1589,0.3893
neuralgcm,CHIRPS,3,annual,2.6208,4.9045,0.5344
neuralgcm,CHIRPS,5,annual,2.6863,4.8022,0.5594
neuralgcm,CHIRPS,7,annual,3.0855,4.8443,0.6369
gencast,TAMSAT,1,annual,3.0375,5.9974,0.5065
gencast,TAMSAT,3,annual,3.5738,4.9964,0.7153
gencast,TAMSAT,5,annual,4.1058,5.0638,0.8108
gencast,TAMSAT,7,annual,4.263,5.0192,0.8493
neuralgcm,TAMSAT,1,annual,2.0099,5.2763,0.3809
neuralgcm,TAMSAT,3,annual,2.6228,4.9713,0.5276
neuralgcm,TAMSAT,5,annual,2.6883,4.825,0.5572
neuralgcm,TAMSAT,7,annual,3.0881,4.8576,0.6357
gencast,CHIRPS,1,MAM,3.625,6.8559,0.5287
gencast,CHIRPS,3,MAM,4.2093,5.7362,0.7338
gencast,CHIRPS,5,MAM,4.8511,5.8249,0.8328
gencast,CHIRPS,7,MAM,5.1722,5.8526,0.8837
neuralgcm,CHIRPS,1,MAM,2.3468,6.234,0.3765
neuralgcm,CHIRPS,3,MAM,3.128,5.8871,0.5313
neuralgcm,CHIRPS,5,MAM,3.225,5.7914,0.5569
neuralgcm,CHIRPS,7,MAM,3.9389,5.9413,0.663
gencast,TAMSAT,1,MAM,3.6282,7.253,0.5002
gencast,TAMSAT,3,MAM,4.2126,5.9231,0.7112
gencast,TAMSAT,5,MAM,4.8547,5.9387,0.8175
gencast,TAMSAT,7,MAM,5.1764,5.9398,0.8715
neuralgcm,TAMSAT,1,MAM,2.3484,6.4597,0.3635
neuralgcm,TAMSAT,3,MAM,3.13,6.0642,0.5161
neuralgcm,TAMSAT,5,MAM,3.2271,5.8823,0.5486
neuralgcm,TAMSAT,7,MAM,3.9424,6.0061,0.6564
gencast,CHIRPS,1,JJAS,2.5167,4.8102,0.5232
gencast,CHIRPS,3,JJAS,2.9991,4.1974,0.7145
gencast,CHIRPS,5,JJAS,3.3321,4.2594,0.7823
gencast,CHIRPS,7,JJAS,3.7136,4.3922,0.8455
neuralgcm,CHIRPS,1,JJAS,1.6745,4.312,0.3883
neuralgcm,CHIRPS,3,JJAS,2.3609,4.064,0.5809
neuralgcm,CHIRPS,5,JJAS,2.4259,3.9158,0.6195
neuralgcm,CHIRPS,7,JJAS,2.4702,3.8598,0.64
gencast,TAMSAT,1,JJAS,2.5191,5.1959,0.4848
gencast,TAMSAT,3,JJAS,3.002,4.4998,0.6671
gencast,TAMSAT,5,JJAS,3.3353,4.54,0.7347
gencast,TAMSAT,7,JJAS,3.7172,4.6501,0.7994
neuralgcm,TAMSAT,1,JJAS,1.6761,4.6826,0.3579
neuralgcm,TAMSAT,3,JJAS,2.3631,4.4309,0.5333
neuralgcm,TAMSAT,5,JJAS,2.4282,4.2697,0.5687
neuralgcm,TAMSAT,7,JJAS,2.4725,4.2152,0.5866
gencast,CHIRPS,1,OND,3.0139,5.6329,0.535
gencast,CHIRPS,3,OND,3.5741,4.8251,0.7407
gencast,CHIRPS,5,OND,4.2123,5.0816,0.8289
gencast,CHIRPS,7,OND,3.9125,4.8621,0.8047
neuralgcm,CHIRPS,1,OND,2.0494,4.9892,0.4108
neuralgcm,CHIRPS,3,OND,2.3697,4.8394,0.4897
neuralgcm,CHIRPS,5,OND,2.4011,4.7773,0.5026
neuralgcm,CHIRPS,7,OND,2.8386,4.7957,0.5919
gencast,TAMSAT,1,OND,3.0167,5.5587,0.5427
gencast,TAMSAT,3,OND,3.5756,4.5741,0.7817
gencast,TAMSAT,5,OND,4.2154,4.7563,0.8863
gencast,TAMSAT,7,OND,3.915,4.4536,0.8791
neuralgcm,TAMSAT,1,OND,2.0511,4.6229,0.4437
neuralgcm,TAMSAT,3,OND,2.3715,4.376,0.5419
neuralgcm,TAMSAT,5,OND,2.4029,4.3076,0.5578
neuralgcm,TAMSAT,7,OND,2.8405,4.3416,0.6543
gencast,CHIRPS,1,JF,,,
gencast,CHIRPS,3,JF,,,
gencast,CHIRPS,5,JF,,,
gencast,CHIRPS,7,JF,,,
neuralgcm,CHIRPS,1,JF,,,
neuralgcm,CHIRPS,3,JF,,,
neuralgcm,CHIRPS,5,JF,,,
neuralgcm,CHIRPS,7,JF,,,
gencast,TAMSAT,1,JF,,,
gencast,TAMSAT,3,JF,,,
gencast,TAMSAT,5,JF,,,
gencast,TAMSAT,7,JF,,,
neuralgcm,TAMSAT,1,JF,,,
neuralgcm,TAMSAT,3,JF,,,
neuralgcm,TAMSAT,5,JF,,,
neuralgcm,TAMSAT,7,JF,,,
