model,vs,season,bias (mm/d),MAE (mm/d),RMSE (mm/d)
fourcastnet,CHIRPS,annual,-0.881,2.151,4.955
fourcastnet,ERA5,annual,-0.937,1.663,4.271
fourcastnet,TAMSAT,annual,-0.876,2.291,5.043
gencast,CHIRPS,annual,-0.129,2.34,5.738
gencast,ERA5,annual,-0.185,1.507,4.188
gencast,TAMSAT,annual,-0.123,2.569,5.997
graphcast,CHIRPS,annual,-0.155,2.598,5.761
graphcast,ERA5,annual,-0.211,2.108,5.063
graphcast,TAMSAT,annual,-0.149,2.738,5.797
neuralgcm,CHIRPS,annual,-0.036,2.48,5.159
neuralgcm,ERA5,annual,-0.093,2.086,4.699
neuralgcm,TAMSAT,annual,-0.031,2.66,5.276
fourcastnet,CHIRPS,MAM,-1.157,2.594,5.81
fourcastnet,ERA5,MAM,-1.212,2.056,5.126
fourcastnet,TAMSAT,MAM,-1.074,2.73,5.996
gencast,CHIRPS,MAM,-0.18,2.848,6.856
gencast,ERA5,MAM,-0.236,1.855,4.975
gencast,TAMSAT,MAM,-0.097,3.128,7.253
graphcast,CHIRPS,MAM,-0.116,3.171,6.996
graphcast,ERA5,MAM,-0.172,2.572,6.192
graphcast,TAMSAT,MAM,-0.033,3.345,7.12
neuralgcm,CHIRPS,MAM,0.082,3.071,6.234
neuralgcm,ERA5,MAM,0.026,2.556,5.668
neuralgcm,TAMSAT,MAM,0.165,3.282,6.46
fourcastnet,CHIRPS,JJAS,-0.719,1.873,4.242
fourcastnet,ERA5,JJAS,-0.783,1.434,3.81
fourcastnet,TAMSAT,JJAS,-0.882,2.094,4.608
gencast,CHIRPS,JJAS,-0.104,2.033,4.81
gencast,ERA5,JJAS,-0.168,1.301,3.496
gencast,TAMSAT,JJAS,-0.266,2.298,5.196
graphcast,CHIRPS,JJAS,-0.092,2.248,4.82
graphcast,ERA5,JJAS,-0.156,1.841,4.377
graphcast,TAMSAT,JJAS,-0.254,2.447,5.097
neuralgcm,CHIRPS,JJAS,-0.189,2.105,4.312
neuralgcm,ERA5,JJAS,-0.253,1.856,4.257
neuralgcm,TAMSAT,JJAS,-0.351,2.355,4.683
fourcastnet,CHIRPS,OND,-0.815,2.07,4.899
fourcastnet,ERA5,OND,-0.86,1.567,3.862
fourcastnet,TAMSAT,OND,-0.655,2.1,4.487
gencast,CHIRPS,OND,-0.111,2.231,5.633
gencast,ERA5,OND,-0.157,1.428,4.166
gencast,TAMSAT,OND,0.05,2.355,5.559
graphcast,CHIRPS,OND,-0.285,2.482,5.518
graphcast,ERA5,OND,-0.33,1.992,4.608
graphcast,TAMSAT,OND,-0.125,2.501,5.115
neuralgcm,CHIRPS,OND,0.053,2.381,4.989
neuralgcm,ERA5,OND,0.008,1.91,4.116
neuralgcm,TAMSAT,OND,0.214,2.428,4.623
