n,obs_mean,fc_mean,bias,mae,rmse,corr,model,obs,lead_day
47104,2.931582480811309,1.7530873611145295,-1.17849511969678,2.6633368217012476,6.012535446831529,0.41209424467061295,fourcastnet,CHIRPS,1
47104,2.931582480811309,2.742254527117023,-0.1893279536942863,2.8163761704722927,6.808621065025531,0.43166901534136926,gencast,CHIRPS,1
47104,2.931582480811309,2.791010380566861,-0.14057210024444866,3.1444610252145653,6.967999032049357,0.35852555174103584,graphcast,CHIRPS,1
47104,2.931582480811309,3.0065950248319995,0.07501254402068921,3.022278888156069,6.048051975208959,0.43017393691997435,neuralgcm,CHIRPS,1
47104,2.891030551278669,1.8612133335070262,-1.0298172177716431,2.6816682338912043,5.9630649241008555,0.3953926969671345,fourcastnet,CHIRPS,3
47104,2.891030551278669,2.764984847278585,-0.12604570400008394,2.6804003283432127,5.869256432323822,0.4865943858153414,gencast,CHIRPS,3
47104,2.891030551278669,2.506289657668039,-0.3847408936106305,3.0851398164595056,6.240060701327075,0.3008170203735473,graphcast,CHIRPS,3
47104,2.891030551278669,2.940215418120552,0.0491848668418827,2.9066229473380303,5.737185178145102,0.43876960461112285,neuralgcm,CHIRPS,3
47104,2.84046146884734,1.959769474169134,-0.8806919946782056,2.6825226530975685,5.919735898112947,0.3962602112246024,fourcastnet,CHIRPS,5
47104,2.84046146884734,2.869235603386545,0.028774134539205163,2.7416060996676173,5.84541430314217,0.46114708573833957,gencast,CHIRPS,5
47104,2.84046146884734,3.1200693068728826,0.27960783802554284,3.4953310050332753,6.444649122591773,0.24747210346419077,graphcast,CHIRPS,5
47104,2.84046146884734,2.7348422469302163,-0.10561922191712361,2.8392532241728423,5.651281918171023,0.4262183981548054,neuralgcm,CHIRPS,5
47104,2.846196972923723,1.8925584789251426,-0.9536384939985804,2.748539435671226,6.086911554375651,0.3445520015724334,fourcastnet,CHIRPS,7
47104,2.846196972923723,2.5794020484235975,-0.26679492450012526,2.6972475912333267,5.754604145452116,0.44208242189604846,gencast,CHIRPS,7
47104,2.846196972923723,3.7157462023586287,0.869549229434906,4.008679563442658,6.951016773539276,0.17336453142573466,graphcast,CHIRPS,7
47104,2.846196972923723,3.165136735817541,0.3189397628938182,3.0296394815094896,5.771330607770748,0.4163962302109272,neuralgcm,CHIRPS,7
64400,3.829424850762767,2.4885605541778206,-1.3408642965849467,2.585777882860393,6.782763979665235,0.6291243285888599,fourcastnet,ERA5,1
