n,obs_mean,fc_mean,bias,mae,rmse,corr,model,obs,lead_day,lat_band
4416,4.198681903944926,2.6079130828033334,-1.590768821141593,3.537740584127845,7.389976085754509,0.5169338143760103,fourcastnet,CHIRPS,1,south_of_10S
12788,4.729726513717336,2.765276941273598,-1.9644495724437379,4.142031972418069,8.184197173153485,0.354993704265353,fourcastnet,CHIRPS,1,10S_to_equator
19780,2.6709141276008164,1.546399241107549,-1.1245148864932677,2.485253303685136,5.306205157353081,0.36546439203858827,fourcastnet,CHIRPS,1,equator_to_10N
10120,0.6159543267740804,0.5050142658266005,-0.11094006094747998,0.7613181837680586,2.182292341738613,0.2602242478658534,fourcastnet,CHIRPS,1,north_of_10N
4416,4.198681903944926,4.324348302921948,0.1256663989770202,3.6964841139149467,7.2373818456752295,0.5792432293400117,gencast,CHIRPS,1,south_of_10S
12788,4.729726513717336,4.744464357796141,0.014737844078805115,4.4378583378530845,10.01393425738331,0.358300607724313,gencast,CHIRPS,1,10S_to_equator
19780,2.6709141276008164,2.256373711375339,-0.4145404162254777,2.6345782104684634,5.607617159739127,0.3975985034789995,gencast,CHIRPS,1,equator_to_10N
10120,0.6159543267740804,0.4715356109081952,-0.14441871586588528,0.7386225820973832,2.177454179606733,0.2648912736212328,gencast,CHIRPS,1,north_of_10N
4416,4.198681903944926,3.972458590659738,-0.22622331328518835,4.1343782030667455,8.367016292322942,0.46257550677439363,graphcast,CHIRPS,1,south_of_10S
12788,4.729726513717336,4.796996731655413,0.0672702179380772,5.001740521979227,9.895734977274298,0.3004084586535076,graphcast,CHIRPS,1,10S_to_equator
19780,2.6709141276008164,2.2459646741911405,-0.42494945340967594,2.8305246686214085,5.851486132970643,0.28455940741413954,graphcast,CHIRPS,1,equator_to_10N
10120,0.6159543267740804,0.8035519318933058,0.18759760511922532,0.9802738574051506,2.173267536273092,0.20219433947436982,graphcast,CHIRPS,1,north_of_10N
4416,3.9133707394581068,2.1746046520297555,-1.7387660874283508,3.398398370670493,7.524682247200781,0.4443769507560482,fourcastnet,CHIRPS,3,south_of_10S
12788,4.642514402527202,2.68630820954629,-1.9562061929809118,4.0002700814763665,7.837006770901614,0.3738604409728537,fourcastnet,CHIRPS,3,10S_to_equator
19780,2.6892805294379287,1.928972654408252,-0.7603078750296771,2.627442787746289,5.454988605131056,0.3565896902286436,fourcastnet,CHIRPS,3,equator_to_10N
10120,0.6260093725477611,0.5494021966678246,-0.07660717587993653,0.8086661206313268,2.242237953548605,0.24829062749440492,fourcastnet,CHIRPS,3,north_of_10N
4416,3.9133707394581068,4.035730413898072,0.12235967443996565,3.5983034549380273,7.397906777639402,0.5087023131802914,gencast,CHIRPS,3,south_of_10S
12788,4.642514402527202,4.509500574855927,-0.13301382767127518,4.112900932479246,8.125243128241074,0.44060529455741465,gencast,CHIRPS,3,10S_to_equator
19780,2.6892805294379287,2.539113554870187,-0.1501669745677419,2.5491900012409547,4.990191110487654,0.45944473609732756,gencast,CHIRPS,3,equator_to_10N
10120,0.6260093725477611,0.44729007961912254,-0.17871929292863867,0.7260356106021759,2.0865191119999973,0.2663748572701745,gencast,CHIRPS,3,north_of_10N
4416,3.9133707394581068,3.142592198756166,-0.7707785407019409,4.17203760425446,8.503958007519813,0.2826257504428424,graphcast,CHIRPS,3,south_of_10S
12788,4.642514402527202,3.8704244146009334,-0.7720899879262686,4.509339683275984,8.146060306885266,0.27792293609351315,graphcast,CHIRPS,3,10S_to_equator
