model,truth,lead_day,acc
fourcastnet,CHIRPS,1,0.3173
fourcastnet,CHIRPS,3,0.3007
fourcastnet,CHIRPS,5,0.3087
fourcastnet,CHIRPS,7,0.2518
gencast,CHIRPS,1,0.3677
gencast,CHIRPS,3,0.4102
gencast,CHIRPS,5,0.3843
gencast,CHIRPS,7,0.3572
graphcast,CHIRPS,1,0.2832
graphcast,CHIRPS,3,0.2038
graphcast,CHIRPS,5,0.1397
graphcast,CHIRPS,7,0.0643
neuralgcm,CHIRPS,1,0.3386
neuralgcm,CHIRPS,3,0.3515
neuralgcm,CHIRPS,5,0.3427
neuralgcm,CHIRPS,7,0.3284
fourcastnet,TAMSAT,1,0.277
fourcastnet,TAMSAT,3,0.2438
fourcastnet,TAMSAT,5,0.2575
fourcastnet,TAMSAT,7,0.1953
gencast,TAMSAT,1,0.3229
gencast,TAMSAT,3,0.3489
gencast,TAMSAT,5,0.3158
gencast,TAMSAT,7,0.3005
graphcast,TAMSAT,1,0.2613
graphcast,TAMSAT,3,0.1854
graphcast,TAMSAT,5,0.1265
graphcast,TAMSAT,7,0.0648
neuralgcm,TAMSAT,1,0.2898
neuralgcm,TAMSAT,3,0.2722
neuralgcm,TAMSAT,5,0.2899
neuralgcm,TAMSAT,7,0.3007
