model,obs,lead_day,threshold_mm_day,brier_score,event_rate
gencast,CHIRPS,1,1,0.17859587296195653,0.3689070991847826
gencast,CHIRPS,1,5,0.13114087975543479,0.18601392663043478
gencast,CHIRPS,1,10,0.0837553074048913,0.09209408967391304
gencast,CHIRPS,1,20,0.029271824048913042,0.025793987771739132
gencast,CHIRPS,3,1,0.17010827105978263,0.36570142663043476
gencast,CHIRPS,3,5,0.12076829993206521,0.18314792798913043
gencast,CHIRPS,3,10,0.0756485648777174,0.09052309782608696
gencast,CHIRPS,3,20,0.02521356997282609,0.025348165760869564
gencast,CHIRPS,5,1,0.16895040760869565,0.36277173913043476
gencast,CHIRPS,5,5,0.1201399031929348,0.18009086277173914
gencast,CHIRPS,5,10,0.07512270720108695,0.08820906929347826
gencast,CHIRPS,5,20,0.025167501698369565,0.024541440217391304
gencast,CHIRPS,7,1,0.17230001698369565,0.3622409986413043
gencast,CHIRPS,7,5,0.12310737941576086,0.18036684782608695
gencast,CHIRPS,7,10,0.0756937839673913,0.08854874320652174
gencast,CHIRPS,7,20,0.024748641304347826,0.024774966032608696
gencast,ERA5,1,1,0.09567763975155281,0.44209627329192547
gencast,ERA5,1,5,0.0799473602484472,0.21729813664596273
gencast,ERA5,1,10,0.05745450310559007,0.11597826086956521
gencast,ERA5,1,20,0.02494394409937888,0.03954968944099379
gencast,ERA5,3,1,0.1081472049689441,0.4386335403726708
gencast,ERA5,3,5,0.09356801242236026,0.2126552795031056
gencast,ERA5,3,10,0.06489301242236024,0.11253105590062112
gencast,ERA5,3,20,0.02823214285714285,0.03838509316770186
gencast,ERA5,5,1,0.11341459627329192,0.43600931677018634
gencast,ERA5,5,5,0.09777018633540371,0.20958074534161492
gencast,ERA5,5,10,0.06929767080745342,0.11066770186335403
gencast,ERA5,5,20,0.03031816770186336,0.037996894409937886
gencast,ERA5,7,1,0.12069596273291926,0.4339596273291925
gencast,ERA5,7,5,0.10221180124223601,0.2082608695652174
gencast,ERA5,7,10,0.07223260869565216,0.11069875776397516
gencast,ERA5,7,20,0.031591149068322985,0.03809006211180124
neuralgcm,CHIRPS,1,1,0.2053723675271739,0.3689070991847826
neuralgcm,CHIRPS,1,5,0.15783118206521737,0.18601392663043478
neuralgcm,CHIRPS,1,10,0.1001522163722826,0.09209408967391304
neuralgcm,CHIRPS,1,20,0.03089780061141304,0.025793987771739132
neuralgcm,CHIRPS,3,1,0.19611816406250002,0.36570142663043476
neuralgcm,CHIRPS,3,5,0.14134701936141306,0.18314792798913043
neuralgcm,CHIRPS,3,10,0.08660835597826087,0.09052309782608696
neuralgcm,CHIRPS,3,20,0.025665336277173913,0.025348165760869564
neuralgcm,CHIRPS,5,1,0.19404487941576085,0.36277173913043476
neuralgcm,CHIRPS,5,5,0.13822562839673913,0.18009086277173914
neuralgcm,CHIRPS,5,10,0.08215013586956524,0.08820906929347826
neuralgcm,CHIRPS,5,20,0.024386463994565212,0.024541440217391304
neuralgcm,CHIRPS,7,1,0.19903659986413044,0.3622409986413043
neuralgcm,CHIRPS,7,5,0.14010890794836958,0.18036684782608695
neuralgcm,CHIRPS,7,10,0.08501762058423912,0.08854874320652174
neuralgcm,CHIRPS,7,20,0.025077700407608695,0.024774966032608696
neuralgcm,ERA5,1,1,0.15852111801242236,0.44209627329192547
neuralgcm,ERA5,1,5,0.1336054347826087,0.21729813664596273
neuralgcm,ERA5,1,10,0.09719953416149069,0.11597826086956521
neuralgcm,ERA5,1,20,0.04057034161490682,0.03954968944099379
neuralgcm,ERA5,3,1,0.16521801242236026,0.4386335403726708
neuralgcm,ERA5,3,5,0.1237335403726708,0.2126552795031056
neuralgcm,ERA5,3,10,0.08486521739130436,0.11253105590062112
neuralgcm,ERA5,3,20,0.035614285714285716,0.03838509316770186
neuralgcm,ERA5,5,1,0.1600753105590062,0.43600931677018634
neuralgcm,ERA5,5,5,0.1225301242236025,0.20958074534161492
neuralgcm,ERA5,5,10,0.08453447204968945,0.11066770186335403
neuralgcm,ERA5,5,20,0.03496537267080745,0.037996894409937886
neuralgcm,ERA5,7,1,0.16521102484472053,0.4339596273291925
neuralgcm,ERA5,7,5,0.1249054347826087,0.2082608695652174
neuralgcm,ERA5,7,10,0.08515341614906832,0.11069875776397516
neuralgcm,ERA5,7,20,0.033293322981366454,0.03809006211180124
