hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,observed_event_rate,forecast_event_rate,model,obs,lead_day,threshold_mm_day
10690,6687,4624,25103,0.6151809863612822,0.30194593182708634,0.4858870051361302,0.8812798526788284,0.3689070991847826,0.32511039402173914,fourcastnet,CHIRPS,1,1
2585,6177,2025,36317,0.29502396713079204,0.43926247288503256,0.23964030777788078,0.5261355854827665,0.18601392663043478,0.09786854619565218,fourcastnet,CHIRPS,1,5
739,3599,1008,41758,0.17035500230520978,0.5769891242129365,0.13823419378974935,0.40272014753342555,0.09209408967391304,0.037088145380434784,fourcastnet,CHIRPS,1,10
113,1102,312,45577,0.09300411522633745,0.7341176470588235,0.07400130975769482,0.3497942386831276,0.025793987771739132,0.009022588315217392,fourcastnet,CHIRPS,1,20
12158,5219,5049,24678,0.6996604707371813,0.2934270936246876,0.5421385891376082,0.9902169534442079,0.3689070991847826,0.3652980638586957,gencast,CHIRPS,1,1
4400,4362,3467,34875,0.5021684546907099,0.44070166518367865,0.3598004742824434,0.8978543711481397,0.18601392663043478,0.16701341711956522,gencast,CHIRPS,1,5
1534,2804,2250,40516,0.35361917934532044,0.5946088794926004,0.23284760170006072,0.8722913785154449,0.09209408967391304,0.08033288043478261,gencast,CHIRPS,1,10
246,969,764,45125,0.20246913580246914,0.7564356435643564,0.12430520464881253,0.831275720164609,0.025793987771739132,0.021441915760869564,gencast,CHIRPS,1,20
12626,4751,7348,22379,0.7265926224319503,0.3678782417142285,0.5106572295247725,1.1494504229728952,0.3689070991847826,0.42404042119565216,graphcast,CHIRPS,1,1
3383,5379,3635,34707,0.3860990641406072,0.517953833000855,0.2728886020811487,0.8009586852316822,0.18601392663043478,0.14898947010869565,graphcast,CHIRPS,1,5
1083,3255,2120,40646,0.24965421853388658,0.6618794879800187,0.16769897801176836,0.7383586906408484,0.09209408967391304,0.06799847146739131,graphcast,CHIRPS,1,10
211,1004,750,45139,0.17366255144032922,0.7804370447450573,0.10737913486005089,0.7909465020576132,0.025793987771739132,0.020401664402173912,graphcast,CHIRPS,1,20
13753,3624,8701,21026,0.791448466363584,0.3875033401621092,0.5273794002607562,1.2921678080220982,0.3689070991847826,0.4766898777173913,neuralgcm,CHIRPS,1,1
4491,4271,5043,33299,0.5125542113672678,0.5289490245437382,0.3253169141615357,1.08810773795937,0.18601392663043478,0.20240319293478262,neuralgcm,CHIRPS,1,5
1200,3138,2505,40261,0.2766251728907331,0.6761133603238867,0.17536168347216133,0.8540802213001383,0.09209408967391304,0.07865574048913043,neuralgcm,CHIRPS,1,10
135,1080,526,45363,0.1111111111111111,0.7957639939485628,0.07754164273406089,0.5440329218106996,0.025793987771739132,0.014032778532608696,neuralgcm,CHIRPS,1,20
11021,6205,5518,24360,0.6397886915128295,0.3336356490718907,0.4845673584241998,0.960118425635667,0.36570142663043476,0.35111667798913043,fourcastnet,CHIRPS,3,1
2714,5913,2454,36023,0.31459371739886405,0.4748452012383901,0.24492374334446348,0.599049495769097,0.18314792798913043,0.10971467391304347,fourcastnet,CHIRPS,3,5
745,3519,1179,41661,0.174718574108818,0.6127858627858628,0.13687304795149732,0.45121951219512196,0.09052309782608696,0.040845788043478264,fourcastnet,CHIRPS,3,10
77,1117,273,45637,0.06448911222780569,0.78,0.05248807089297887,0.2931323283082077,0.025348165760869564,0.007430366847826087,fourcastnet,CHIRPS,3,20
