model,obs,lead_day,threshold_mm_day,forecast_probability,observed_frequency,count,abs_calibration_gap,weighted_abs_gap,ece
gencast,CHIRPS,1,1,0.0,0.11611553696203658,22469,0.11611553696203658,0.055388077445652176,0.14083729619565216
gencast,CHIRPS,1,1,0.1,0.29903699949315765,3946,0.19903699949315765,0.016673743206521742,0.14083729619565216
gencast,CHIRPS,1,1,0.2,0.3949013949013949,2079,0.1949013949013949,0.008602241847826087,0.14083729619565216
gencast,CHIRPS,1,1,0.3,0.4679715302491103,1686,0.16797153024911032,0.006012228260869565,0.14083729619565216
gencast,CHIRPS,1,1,0.4,0.5292207792207793,1540,0.12922077922077924,0.004224694293478262,0.14083729619565216
gencast,CHIRPS,1,1,0.5,0.5827067669172933,1330,0.08270676691729328,0.0023352581521739147,0.14083729619565216
gencast,CHIRPS,1,1,0.6,0.5909090909090909,1298,0.009090909090909038,0.00025050951086956377,0.14083729619565216
gencast,CHIRPS,1,1,0.7,0.6393312101910829,1256,0.0606687898089171,0.0016176970108695626,0.14083729619565216
gencast,CHIRPS,1,1,0.8,0.6469428007889546,1521,0.15305719921104544,0.004942255434782611,0.14083729619565216
gencast,CHIRPS,1,1,0.9,0.7240608228980322,2236,0.17593917710196783,0.008351732336956522,0.14083729619565216
gencast,CHIRPS,1,1,1.0,0.8026604675190495,7743,0.19733953248095049,0.03243885869565217,0.14083729619565216
gencast,CHIRPS,1,5,0.0,0.06467555447085024,32779,0.06467555447085024,0.04500679347826087,0.10416525135869564
gencast,CHIRPS,1,5,0.1,0.29383060299756014,2869,0.19383060299756014,0.011805791440217392,0.10416525135869564
gencast,CHIRPS,1,5,0.2,0.33799392097264436,1645,0.13799392097264435,0.004819123641304346,0.10416525135869564
gencast,CHIRPS,1,5,0.3,0.42673107890499196,1242,0.12673107890499197,0.003341542119565218,0.10416525135869564
gencast,CHIRPS,1,5,0.4,0.44655797101449274,1104,0.046557971014492716,0.001091202445652173,0.10416525135869564
gencast,CHIRPS,1,5,0.5,0.5004955401387512,1009,0.0004955401387511937,1.061480978260773e-05,0.10416525135869564
gencast,CHIRPS,1,5,0.6,0.4893162393162393,936,0.11068376068376068,0.0021993885869565216,0.10416525135869564
gencast,CHIRPS,1,5,0.7,0.5218855218855218,891,0.17811447811447811,0.003369140625,0.10416525135869564
gencast,CHIRPS,1,5,0.8,0.5135135135135135,962,0.28648648648648656,0.005850883152173915,0.10416525135869564
gencast,CHIRPS,1,5,0.9,0.5918367346938775,1127,0.3081632653061225,0.007373046875000001,0.10416525135869564
gencast,CHIRPS,1,5,1.0,0.6421259842519685,2540,0.35787401574803146,0.019297724184782608,0.10416525135869564
gencast,CHIRPS,1,10,0.0,0.039175312161769754,37881,0.039175312161769754,0.03150475543478261,0.06778405230978261
gencast,CHIRPS,1,10,0.1,0.20236156351791532,2456,0.10236156351791531,0.005337126358695652,0.06778405230978261
gencast,CHIRPS,1,10,0.2,0.24130589070262598,1409,0.04130589070262597,0.001235563858695652,0.06778405230978261
gencast,CHIRPS,1,10,0.3,0.30467899891186073,919,0.004678998911860743,9.128736413043529e-05,0.06778405230978261
gencast,CHIRPS,1,10,0.4,0.326417704011065,723,0.07358229598893501,0.0011294157608695654,0.06778405230978261
gencast,CHIRPS,1,10,0.5,0.33384615384615385,650,0.16615384615384615,0.002292798913043478,0.06778405230978261
gencast,CHIRPS,1,10,0.6,0.351493848857645,569,0.24850615114235497,0.003001868206521739,0.06778405230978261
gencast,CHIRPS,1,10,0.7,0.3950381679389313,524,0.30496183206106864,0.003392493206521739,0.06778405230978261
gencast,CHIRPS,1,10,0.8,0.3720073664825046,543,0.42799263351749545,0.004933763586956522,0.06778405230978261
gencast,CHIRPS,1,10,0.9,0.3886861313868613,548,0.5113138686131387,0.005948539402173912,0.06778405230978261
gencast,CHIRPS,1,10,1.0,0.5238095238095238,882,0.47619047619047616,0.008916440217391304,0.06778405230978261
gencast,CHIRPS,1,20,0.0,0.0146513353115727,43136,0.0146513353115727,0.01341711956521739,0.02760275135869565
gencast,CHIRPS,1,20,0.1,0.0897597977243995,1582,0.010240202275600505,0.0003439198369565217,0.02760275135869565
gencast,CHIRPS,1,20,0.2,0.129080118694362,674,0.070919881305638,0.0010147758152173917,0.02760275135869565
gencast,CHIRPS,1,20,0.3,0.16435185185185186,432,0.13564814814814813,0.001244055706521739,0.02760275135869565
gencast,CHIRPS,1,20,0.4,0.14743589743589744,312,0.25256410256410255,0.0016728940217391303,0.02760275135869565
gencast,CHIRPS,1,20,0.5,0.15948275862068967,232,0.34051724137931033,0.001677139945652174,0.02760275135869565
gencast,CHIRPS,1,20,0.6,0.18232044198895028,181,0.4176795580110497,0.0016049592391304348,0.02760275135869565
gencast,CHIRPS,1,20,0.7,0.2391304347826087,138,0.46086956521739125,0.0013502038043478259,0.02760275135869565
gencast,CHIRPS,1,20,0.8,0.26126126126126126,111,0.5387387387387388,0.00126953125,0.02760275135869565
gencast,CHIRPS,1,20,0.9,0.38524590163934425,122,0.5147540983606558,0.001333220108695652,0.02760275135869565
gencast,CHIRPS,1,20,1.0,0.31521739130434784,184,0.6847826086956521,0.002674932065217391,0.02760275135869565
gencast,CHIRPS,3,1,0.0,0.08985683825769114,19698,0.08985683825769114,0.037576426630434784,0.11486497961956522
gencast,CHIRPS,3,1,0.1,0.2424910443648388,3629,0.14249104436483878,0.010977836277173912,0.11486497961956522
gencast,CHIRPS,3,1,0.2,0.3542692939244663,2436,0.1542692939244663,0.007978091032608695,0.11486497961956522
gencast,CHIRPS,3,1,0.3,0.37915407854984895,1986,0.07915407854984896,0.0033372961956521746,0.11486497961956522
gencast,CHIRPS,3,1,0.4,0.44543928371572467,1787,0.04543928371572464,0.001723845108695651,0.11486497961956522
gencast,CHIRPS,3,1,0.5,0.5114678899082569,1744,0.011467889908256867,0.0004245923913043473,0.11486497961956522
gencast,CHIRPS,3,1,0.6,0.5380710659898477,1773,0.061928934010152314,0.0023310122282608706,0.11486497961956522
gencast,CHIRPS,3,1,0.7,0.6050632911392405,1975,0.09493670886075944,0.003980553668478258,0.11486497961956522
gencast,CHIRPS,3,1,0.8,0.6524204099433057,2293,0.1475795900566943,0.007184103260869566,0.11486497961956522
gencast,CHIRPS,3,1,0.9,0.7235449735449735,3024,0.17645502645502653,0.011328125000000005,0.11486497961956522
gencast,CHIRPS,3,1,1.0,0.8047048379937861,6759,0.19529516200621388,0.02802309782608695,0.11486497961956522
gencast,CHIRPS,3,5,0.0,0.04754955199565571,29464,0.04754955199565571,0.02974269701086956,0.07746900475543478
gencast,CHIRPS,3,5,0.1,0.22552011095700417,3605,0.12552011095700416,0.009606402853260868,0.07746900475543478
gencast,CHIRPS,3,5,0.2,0.2983447719014937,2477,0.09834477190149371,0.005171535326086955,0.07746900475543478
gencast,CHIRPS,3,5,0.3,0.3412899949212798,1969,0.04128999492127983,0.0017259680706521734,0.07746900475543478
gencast,CHIRPS,3,5,0.4,0.3993095512082854,1738,0.0006904487917146485,2.5475543478262122e-05,0.07746900475543478
gencast,CHIRPS,3,5,0.5,0.4252021563342318,1484,0.0747978436657682,0.0023564877717391305,0.07746900475543478
gencast,CHIRPS,3,5,0.6,0.47545787545787543,1365,0.12454212454212454,0.0036090353260869565,0.07746900475543478
